Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:14.98,221,Ilia Poliakov,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
5b 100m,M,0:00:27.52,0,Yaron Davidovich,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b 200m,M,0:00:33.70,31,Ilia Poliakov,ISR,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
4b 200m,M,0:00:43.10,0,Ilia Poliakov,ISR,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
5b 200m,M,0:02:00.00,0,Ilia Poliakov,ISR,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
3b 400m,M,0:01:28.22,0,Eden Katsir,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b Mile,M,0:08:18.00,0,Shahar Cohen,ISR,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 5km,M,0:20:53.00,97,Eden Katsir,ISR,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
3b Marathon,M,4:25:17.00,0,Shahar Cohen,ISR,28/02/2014,Tel Aviv Marathon,https://marathonview.net/search?query=Shahar%20Cohen  https://www.israel21c.org/israeli-juggler-sets-new-record-at-the-sea-of-galilee/
