Joggler,Giduz_Path,Giduz_Number,Nationality,Gender
Cindy Hout,"['Bill Giduz', 'Cindy Hout']",1.0,Unknown,F
Joanne Dintzis,"['Bill Giduz', 'Joanne Dintzis']",1.0,Unknown,F
Paul Williamson,"['Bill Giduz', 'Paul Williamson']",1.0,Unknown,M
Daniel Hout,"['Bill Giduz', 'Daniel Hout']",1.0,Unknown,M
Andrew Swan,"['Bill Giduz', 'Andrew Swan']",1.0,Unknown,M
Kathy Glynn,"['Bill Giduz', 'Kathy Glynn']",1.0,USA,F
Joseph Hout,"['Bill Giduz', 'Joseph Hout']",1.0,Unknown,M
Franz Roos,"['Bill Giduz', 'Franz Roos']",1.0,CHE,M
Meghan Cain,"['Bill Giduz', 'Meghan Cain']",1.0,Unknown,F
Steve Otteson,"['Bill Giduz', 'Steve Otteson']",1.0,Unknown,M
Billy Gillen,"['Bill Giduz', 'Billy Gillen']",1.0,USA,M
Owen Morse,"['Bill Giduz', 'Owen Morse']",1.0,USA,M
John Kilgust,"['Bill Giduz', 'John Kilgust']",1.0,Unknown,M
Jeff Mason,"['Bill Giduz', 'Jeff Mason']",1.0,Unknown,M
Tuey Wilson,"['Bill Giduz', 'Tuey Wilson']",1.0,USA,M
KC Canter,"['Bill Giduz', 'KC Canter']",1.0,Unknown,F
Mike Thomasen,"['Bill Giduz', 'Mike Thomasen']",1.0,Unknown,M
Chuck Hawley,"['Bill Giduz', 'Chuck Hawley']",1.0,Unknown,M
Larry Kluger,"['Bill Giduz', 'Larry Kluger']",1.0,Unknown,M
Jerome Ellis,"['Bill Giduz', 'Jerome Ellis']",1.0,Unknown,M
Kirk Swenson,"['Bill Giduz', 'Kirk Swenson']",1.0,USA,M
Marty Gardella,"['Bill Giduz', 'Marty Gardella']",1.0,Unknown,M
Lars Rohrback,"['Bill Giduz', 'Lars Rohrback']",1.0,Unknown,M
Banks Helfrich,"['Bill Giduz', 'Banks Helfrich']",1.0,Unknown,M
Andrew Head,"['Bill Giduz', 'Andrew Head']",1.0,Unknown,M
Ken Rabe,"['Bill Giduz', 'Ken Rabe']",1.0,Unknown,M
Michel Lauzière,"['Bill Giduz', 'Michel Lauzière']",1.0,CAN,M
Elizabeth Sanberg,"['Bill Giduz', 'Elizabeth Sanberg']",1.0,Unknown,F
Edward Sax,"['Bill Giduz', 'Edward Sax']",1.0,Unknown,M
Sean McLoughlin,"['Bill Giduz', 'Sean McLoughlin']",1.0,Unknown,M
Paul Williams,"['Bill Giduz', 'Paul Williams']",1.0,Unknown,M
