Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:16:34.00,552,Bob Evans,M,USA,23/06/2012,"Fishers Freedom 5km, Indiana",https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
2,0:16:48.38,517,Samuel Dean,M,USA,27/09/2025,"3 Sheeps Beer Run 5k, Fitchburg WI","https://strava.app.link/ijb4vMs5DXb
https://runsignup.com/Race/Results/93655/IndividualResult/TDSF?resultSetId=577276#U50715666"
3,0:16:49.70,514,Michael-Lucien Bergeron,M,CAN,2020,"IJA, Virtual",IJA Database
4,0:16:55.80,499,Kirk Swenson,M,USA,26/07/1986,"IJA, San Jose","http://www.juggling.org/orgs/ija/champs.txt  http://www.juggling.org/jw/86/3/joggling.html I reached out to Kirk on Linkedin. He thinks he ran 16:55.8, and the 16:58.8 is a typo."
5,0:16:56.00,499,John Baker,M,USA,28/07/2022,Time Trial,https://www.instagram.com/p/CgiOHBcBGU6/
6,0:16:57.00,497,Graydon Snider,M,CAN,18/08/2018,Frédéric Back parkrun,https://www.parkrun.ca/fredericback/news/2018/09/15/highlights-from-the-last-few-weeks/  https://www.parkrun.ca/fredericback/results/58/
7,0:17:04.00,480,Simon Hodge,M,CAN,29/08/2008,Canadian Joggle Off,https://thejoggler.blogspot.com/2008/08/canadian-running-magazine-5k-joggle-off.html
8,0:17:05.00,478,Travis Saunders,M,CAN,29/04/2007,"Limestone 5K, Kingston, Ontario",https://thejoggler.blogspot.com/2007/05/saunders-just-misses-5k-joggling-record.html
8,0:17:05.00,478,Michal Kapral,M,CAN,29/08/2008,Canadian Joggle Off,https://thejoggler.blogspot.com/2008/08/canadian-running-magazine-5k-joggle-off.html
10,0:17:08.00,471,Tyler Wishau,M,USA,2007,Time Trial,https://thejoggler.blogspot.com/2007/12/best-joggles-of-2007.html
11,0:17:19.00,446,Chris Edwin,M,GBR,23/08/2025,"Time Trial, South Leeds Stadium",https://strava.app.link/OU8nQpYEaWb
12,0:17:37.00,407,Mike Hebebrand,M,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
13,0:17:41.00,399,Jean-Marc Doiron,M,CAN,14/07/2024,Time Trial,https://www.strava.com/activities/11887871076
14,0:17:47.00,386,Aaron Scott,M,USA,03/04/2020,Time Trial,https://www.youtube.com/watch?v=NYNBRc9AKHE
15,0:17:55.00,370,Robert Slick,M,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
16,0:17:57.40,365,Charles Schweitzer,M,USA,20/07/2011,"IJA, Rochester",IJA Database
17,0:18:06.00,348,Scott Jenkins,M,GBR,19/04/2025,Edinburgh Parkrun,https://www.parkrun.org.uk/edinburgh/results/717/  https://www.strava.com/activities/14220044467
18,0:18:21.00,319,Reese Edwards,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
19,0:18:25.00,311,Dominic Lodge,M,GBR,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
20,0:18:43.00,279,Darin Marriott,M,USA,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
21,0:18:47.95,270,Marty Gardella,M,Unknown,17/07/1982,"IJA, Santa Barbara",http://www.juggling.org/orgs/ija/champs.txt
22,0:18:51.00,265,Jordan Evans,M,GBR,10/03/2018,Gloucester City Parkrun,https://www.strava.com/activities/1445037548  https://www.parkrun.org.uk/gloucestercity/results/2/
23,0:19:00.00,250,Sean McLoughlin,M,Unknown,17/07/1982,"IJA, Santa Barbara",http://www.juggling.org/orgs/ija/champs.txt
