Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,F,0:00:25.24,0,Louison Vatin,FRA,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b 400m,F,0:02:13.50,0,Louison Vatin,FRA,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b 5km,F,0:42:43.00,0,Jade Pallard,FRA,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
