Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:55.80,Eric Walter,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
2,0:00:56.06,Franz Roos,M,CHE,11/09/1997,Time Trial,https://www.youtube.com/watch?v=igd6zcLXXAU
3,0:00:56.23,David Ferman,M,USA,05/05/2011,Time Trial,https://www.youtube.com/watch?v=YhcXu01bUzE
4,0:00:57.40,Owen Morse,M,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
5,0:00:59.00,Jannik Weiss,M,DEU,21/05/2022,Time Trial,https://www.youtube.com/watch?v=H0abml3gEIQ&t=16535s
6,0:01:00.16,Albert Lucas,M,USA,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
7,0:01:00.46,Travis Saunders,M,CAN,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
8,0:01:00.60,Chris Essick,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
9,0:01:01.00,Trey Newsome,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
10,0:01:01.90,Michael-Lucien Bergeron,M,CAN,25/07/2015,"IJA, Quebec",IJA Database
11,0:01:02.40,Sterling Franklin,M,USA,2020,"IJA, Virtual",IJA Database
12,0:01:02.50,Matt Diffee,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
13,0:01:02.70,Mark Fiore,M,USA,25/07/2015,"IJA, Quebec",IJA Database
14,0:01:03.10,Chris Lovdal,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
15,0:01:03.60,Tyler Wishau,M,USA,20/07/2011,"IJA, Rochester",IJA Database
16,0:01:04.30,Jamie Whoolery,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
17,0:01:04.88,Barry Goldmeier,M,USA,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
18,0:01:05.00,Ben Fry,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
19,0:01:05.30,John Zaleskie,M,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
20,0:01:05.40,Andrew Swan,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
20,0:01:05.40,Len Ferman,M,USA,20/07/2011,"IJA, Rochester",IJA Database
22,0:01:05.70,Griffin Kelley,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
23,0:01:06.20,Ben Schoenberg,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
24,0:01:06.40,Jason Matkowksi,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
25,0:01:06.50,Perry Romanowski,M,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
26,0:01:06.70,Matthew Feldman,M,USA,24/07/2018,"IJA, Springfield",IJA Database
27,0:01:07.10,Sean McKinney,M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
28,0:01:07.20,Nicholas Souren,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
29,0:01:07.40,Curt Hoffman,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
30,0:01:07.50,Paul Arneberg,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
31,0:01:07.76,Jan Nowosad,M,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
32,0:01:08.20,Jared Janssen,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
33,0:01:08.30,Kylen McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
34,0:01:08.40,Mark Kolbus,M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
35,0:01:08.45,Mike Hout,M,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
36,0:01:08.50,Dylan Waickman,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
37,0:01:08.88,Nathan Vehse,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
38,0:01:08.97,Scott Jenkins,M,GBR,20/04/2024,"British Joggler Meetup, Darlington",Manually recorded
39,0:01:09.00,Marco Paoletti,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
39,0:01:09.00,David Hussey,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
39,0:01:09.00,Thomas Dietz,M,DEU,20/07/2013,"IJA, Bowling Green",IJA Database
42,0:01:09.13,Bill Giduz,M,USA,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
43,0:01:09.20,Andy Swan,M,Unknown,15/07/1998,"IJA, Primm",IJA Database
43,0:01:09.20,Bryan Harris,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
43,0:01:09.20,Benjamin Thompson,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
46,0:01:09.30,Nathan Lane,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
47,0:01:09.51,Richard Courter,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
48,0:01:09.80,Colin Bevis,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
49,0:01:10.00,Darren Samson,M,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
50,0:01:10.10,Cole Dunbar,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
50,0:01:10.10,Nicolas Souren,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
52,0:01:10.90,Jim Steffens,M,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
53,0:01:11.00,Gabe Jakubisin,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
54,0:01:11.06,Sam Hartford,M,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
55,0:01:11.40,Nathan Nard,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
56,0:01:11.59,Joshua Edleman,M,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
57,0:01:11.80,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
58,0:01:12.24,Nathan Seedfeldt,M,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
59,0:01:12.70,Jason Hollandsworth,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
60,0:01:12.80,David Mlakar,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
60,0:01:12.80,Mike Moore,M,USA,30/07/2016,"IJA, El Paso, Texas",IJA Database
62,0:01:13.00,Tim Hark,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
63,0:01:13.70,Andrew Hodge,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
64,0:01:14.00,Nate Seefeldt,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
65,0:01:14.11,Mike Draney,M,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
66,0:01:14.20,Darin Marriott,M,USA,15/07/1998,"IJA, Primm",IJA Database
67,0:01:14.22,Sebastian Siwiec,M,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
68,0:01:14.30,Jacob Heimer,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
69,0:01:14.59,Mark Cembrowski,M,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
70,0:01:14.70,Thomas Boiteux,M,FRA,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
71,0:01:14.80,Michael Barreto,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
72,0:01:14.90,Ben Thompson,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
73,0:01:14.91,Greg Warrington,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
74,0:01:15.10,Daniel Raum,M,AUT,25/07/2015,"IJA, Quebec",IJA Database
75,0:01:15.20,Anders Kierulf,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
76,0:01:15.40,Garrett Borawski,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
76,0:01:15.40,Kyle Albrecht,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
78,0:01:15.64,Kaupo Pilder,M,EST,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
79,0:01:15.70,Reid Johnson,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
79,0:01:15.70,Jack Levy,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
81,0:01:15.80,Chris Edwin,M,GBR,20/04/2024,"British Joggler Meetup, Darlington",Manually recorded
82,0:01:16.00,Joshua Edelman,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
82,0:01:16.00,Tom McClintock,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
84,0:01:16.20,Rory Bade,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
85,0:01:16.40,Draco Tong,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
86,0:01:16.60,Eric Gunther,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
86,0:01:16.60,Ryan Gerrity,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
88,0:01:16.66,Vaclav Peca,M,CZE,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
89,0:01:16.70,Torsten Hornemann,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
90,0:01:17.00,Sam Nerenhaus,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
