Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:34.04,10,Mark Fiore,M,USA,31/05/2025,Track Time Trial,Manually timed by Scott Jenkins & Samuel Dean. https://www.instagram.com/p/DK000HLs_30/
2,0:00:37.67,0,Matthew Feldman,M,USA,2021,IJA Virtual,IJA Database
3,0:00:54.88,0,Scott Jenkins,M,GBR,08/09/2024,British Joggler Meet Up - Leeds,Manually Timed by Chris Edwin
4,0:00:55.00,0,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
5,0:01:01.10,0,Kyle Albrecht,M,USA,29/06/2019,"IJA, Fort Wayne",IJA Database
6,0:01:05.10,0,David Pavlove Cunsolo,M,Unknown,2021,IJA Virtual,IJA Database
7,0:01:07.40,0,Bennett Santora,M,Unknown,29/06/2019,"IJA, Fort Wayne",IJA Database
8,0:01:16.80,0,Christoph Mitasch,M,AUT,2022,"IJA, Virtual",IJA Database
9,0:01:28.00,0,Mike Moore,M,USA,29/06/2019,"IJA, Fort Wayne",IJA Database
10,0:01:28.40,0,Barry Goldmeier,M,USA,29/06/2019,"IJA, Fort Wayne",IJA Database
11,0:01:38.20,0,Len Ferman,M,USA,29/06/2019,"IJA, Fort Wayne",IJA Database
12,0:01:39.00,0,Dmitry Kozlov,M,RUS,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
13,0:01:39.40,0,Sterling Franklin,M,USA,2023,"IJA, Virtual",IJA Database
14,0:01:48.15,0,Kanoa Lindiwe,M,USA,11/07/2024,"IJA, Green Bay",IJA Database
15,0:02:00.00,0,Ilia Poliakov,M,ISR,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
16,0:02:02.60,0,Nicolas Souren,M,Unknown,29/06/2019,"IJA, Fort Wayne",IJA Database
17,0:02:33.30,0,Eric Raivo,M,Unknown,11/07/2024,"IJA, Green Bay",IJA Database
18,0:02:53.29,0,Justin Sheldon,M,Unknown,11/07/2024,"IJA, Green Bay",IJA Database
19,0:04:03.42,0,Draco Tong,M,Unknown,11/07/2024,"IJA, Green Bay",IJA Database
20,0:04:51.27,0,Aaron Heilig,M,Unknown,11/07/2024,"IJA, Green Bay",IJA Database
