Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:13.39,319,Matthew Feldman,M,USA,15/06/2018,Time Trial,https://www.youtube.com/watch?v=g18oD4SjaEs
2,0:00:13.80,250,Owen Morse,M,USA,1988,Time Trial,https://www.youtube.com/watch?v=g18oD4SjaEs
3,0:00:14.37,169,Mark Fiore,M,USA,2021,IJA Virtual,IJA Database
4,0:00:15.50,54,Albert Lucas,M,USA,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
5,0:00:17.80,0,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
6,0:00:18.10,0,Sam Hartford,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
7,0:00:18.37,0,Scott Jenkins,M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
8,0:00:19.70,0,Ben Schoenberg,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
9,0:00:20.00,0,Nicolas Souren,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
10,0:00:20.10,0,Ben Thompson,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
11,0:00:20.27,0,Luca Pferdmenges,M,DEU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
12,0:00:20.73,0,Joel Hilchey,M,Unknown,2021,IJA Virtual,IJA Database
13,0:00:21.50,0,Thomas Dietz,M,DEU,20/07/2013,"IJA, Bowling Green",IJA Database
14,0:00:22.20,0,Kyler McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
15,0:00:22.35,0,Dominic Lodge,M,GBR,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
16,0:00:22.60,0,David Ferman,M,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
17,0:00:23.17,0,Michal Kapral,M,CAN,2022,"IJA, Virtual",IJA Database
18,0:00:24.00,0,Lauge Benjaminson,M,DNK,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
19,0:00:24.66,0,Eyal Bor,M,MEX,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
20,0:00:24.71,0,Nick Thomas,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
21,0:00:24.87,0,Matan Presberg,M,USA,25/07/2015,"IJA, Quebec",IJA Database
22,0:00:25.47,0,Nathan Seedfeldt,M,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
23,0:00:25.70,0,Mike Hout,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
24,0:00:26.10,0,Kevin Niittyviita,M,FIN,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
25,0:00:26.20,0,Barry Goldmeier,M,USA,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
26,0:00:26.59,0,Erik Toll,M,SWE,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
27,0:00:27.15,0,Jack Denger,M,USA,20/07/2011,"IJA, Rochester",IJA Database
28,0:00:27.52,0,Yaron Davidovich,M,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
29,0:00:27.93,0,Bennett Santora,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
30,0:00:28.10,0,Chris Lovdal,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
31,0:00:28.31,0,Jonah Botinick-Greenhouse,M,USA,25/07/2015,"IJA, Quebec",IJA Database
32,0:00:28.33,0,Karel Schuller,M,NLD,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
33,0:00:28.36,0,Vaclav Peca,M,CZE,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
34,0:00:28.66,0,Andrew Ruiz,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
35,0:00:28.76,0,Florian Huber,M,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
36,0:00:28.85,0,Kyle Albrecht,M,USA,24/07/2018,"IJA, Springfield",IJA Database
37,0:00:29.00,0,Billy Matsumoto,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
38,0:00:29.48,0,Jack Levy,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
39,0:00:29.75,0,Mike Moore,M,USA,24/07/2018,"IJA, Springfield",IJA Database
40,0:00:29.92,0,Ilia Poliakov,M,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
41,0:00:30.20,0,Davld Pavlove Cunsolo,M,Unknown,2020,"IJA, Virtual",IJA Database
42,0:00:32.40,0,Darin Marriott,M,USA,15/07/1998,"IJA, Primm",IJA Database
43,0:00:32.66,0,Marlin Ballard,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
44,0:00:32.70,0,Rory Bade,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
45,0:00:33.03,0,Andrew Hodge,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
46,0:00:33.12,0,Jheng-Yu Chiu,M,TWN,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
47,0:00:34.06,0,Daniel Eaker,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
