Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,4:02:30.00,404,Sarah Szefi,F,USA,07/10/2018,Chicago Marathon,https://chicago-history.r.mikatiming.com/2021/?pid=search
2,6:48:52.00,0,Kalia Handy Bosma,F,USA,16/02/2025,"Austin Marathon, Texas",https://www.mychiptime.com/searchevent.php?id=16292      https://www.finisherpix.com/en/photos/8745/6437
