Date,Year,Distance,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links,total_seconds,IAAF Points
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Nathan Nard,M,0,0:05:31.50,?,"IJA Database, Giduz 1500m",331.5,116
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Mark Fiore,M,USA,0:06:01.68,?,"IJA Database, Giduz 1500m",361.68,22
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Jacob Heimer,M,0,0:06:39.57,?,"IJA Database, Giduz 1500m",399.57,0
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Mikey Free,M,0,0:06:54.04,?,"IJA Database, Giduz 1500m",414.04,0
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Draco Tong,M,0,0:08:13.35,?,"IJA Database, Giduz 1500m",493.35,0
11/07/2024,2024,3b 1500m,"IJA, Green Bay",Zoe Prawda,F,USA,0:11:02.61,?,"IJA Database, Giduz 1500m",662.61,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Aaron Heilig,M,0,0:00:49.87,?,IJA Database,49.87,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Sterling Franklin,M,USA,0:00:30.38,?,IJA Database,30.38,132
11/07/2024,2024,3b 200m,"IJA, Green Bay",Eric Raivo,M,0,0:00:39.90,?,IJA Database,39.9,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Jack Hirschowitz,M,USA,0:00:58.33,?,IJA Database,58.33,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Justin Sheldon,M,0,0:00:58.78,?,IJA Database,58.78,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Mark Fiore,M,USA,0:00:28.46,?,IJA Database,28.46,251
11/07/2024,2024,3b 200m,"IJA, Green Bay",Samuel Dean,M,USA,0:00:29.39,?,IJA Database,29.39,189
11/07/2024,2024,3b 200m,"IJA, Green Bay",Jacob Heimer,M,0,0:00:34.00,?,IJA Database,34.0,11
11/07/2024,2024,3b 200m,"IJA, Green Bay",Draco Tong,M,0,0:00:35.02,?,IJA Database,35.02,1
11/07/2024,2024,3b 200m,"IJA, Green Bay",Mikey Free,M,0,0:00:53.36,?,IJA Database,53.36,0
11/07/2024,2024,3b 200m,"IJA, Green Bay",Zoe Prawda,F,USA,0:00:50.59,?,IJA Database,50.59,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Aaron Heilig,M,0,0:00:15.57,?,IJA Database,15.57,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Sterling Franklin,M,USA,0:00:08.78,?,IJA Database,8.78,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Justin Sheldon,M,0,0:00:11.44,?,IJA Database,11.44,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Eric Raivo,M,0,0:00:11.77,?,IJA Database,11.77,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Mike Hout,M,0,0:00:15.20,?,IJA Database,15.2,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Jack Hirschowitz,M,USA,0:00:16.59,?,IJA Database,16.59,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Mark Fiore,M,USA,0:00:08.41,?,IJA Database,8.41,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Draco Tong,M,0,0:00:09.97,?,IJA Database,9.97,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Jacob Heimer,M,0,0:00:10.77,?,IJA Database,10.77,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Samuel Dean,M,USA,0:00:15.32,?,IJA Database,15.32,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Kanoa Lindiwe,M,0,0:00:15.98,?,IJA Database,15.98,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Heather Marriott,F,USA,0:00:13.21,?,IJA Database,13.21,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Laura Shub,F,0,0:00:24.96,?,IJA Database,24.96,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Delaney Bayles,F,0,0:00:12.45,?,IJA Database,12.45,0
11/07/2024,2024,3b 60m,"IJA, Green Bay",Zoe Prawda,F,USA,0:00:18.15,?,IJA Database,18.15,0
