Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
45,0:01:47.78,1,Silvia Osiek,F,DEU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
46,0:01:48.50,0,Mary Holgin,F,Unknown,15/07/1998,"IJA, Primm",IJA Database
47,0:01:49.00,0,Hayley Fix,F,USA,30/07/1999,"IJA, Niagara Falls",IJA Database
48,0:01:51.60,0,Stephanie Walsh,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
49,0:01:52.00,0,Carol Mills,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
49,0:01:52.00,0,Laura Kaseman,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
51,0:01:53.00,0,Kelsey Harr,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
52,0:01:53.84,0,Tanja Schwanke,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
53,0:01:55.40,0,Kaylin Meyers,F,USA,22/07/2023,"IJA, Southbend",IJA Database
54,0:01:56.28,0,Liya Bakhrakh,F,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
55,0:01:57.10,0,Laurie Young,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
56,0:01:57.30,0,Mara Moettus,F,USA,20/07/2011,"IJA, Rochester",IJA Database
57,0:01:58.60,0,Rebecca Kresser,F,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
58,0:01:59.40,0,Katie Evans,F,Unknown,20/07/2011,"IJA, Rochester",IJA Database
59,0:01:59.60,0,Eva Hadjiyanis,F,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
60,0:02:00.30,0,JoAnn Ireland,F,USA,22/07/2023,"IJA, Southbend",IJA Database
61,0:02:00.70,0,Marla Edgecomb,F,USA,2020,"IJA, Virtual",IJA Database
62,0:02:01.00,0,Jane Birkhead,F,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
63,0:02:01.10,0,Sofia Meyer,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
64,0:02:02.10,0,Hannah Bowlin,F,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
65,0:02:04.20,0,Shivella Schwab,F,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
66,0:02:06.00,0,Sandy Amass,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
67,0:02:06.40,0,Becky Kresser,F,Unknown,24/07/2018,"IJA, Springfield",IJA Database
68,0:02:09.60,0,Susan Hubbard,F,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
69,0:02:10.10,0,Elise Johnson,F,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
70,0:02:10.83,0,Zoe Prawda,F,USA,19/07/2025,"IJA, Evansville",IJA Database
