Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
80,0:03:20.30,Quest Crothers,M,Unknown,2022,"IJA, Virtual",IJA Database
81,0:03:20.70,Neil Jordaan,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
82,0:03:21.30,Draco Tong,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
83,0:03:22.90,Barak Hirschowitz,M,USA,22/07/2023,"IJA, Southbend",IJA Database
84,0:03:23.90,Peter Brunette,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
85,0:03:24.70,Nick Pavlak,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
86,0:03:25.00,Peter Blanchard,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
87,0:03:25.90,James Auriemma,M,Unknown,2022,"IJA, Virtual",IJA Database
88,0:03:26.59,Matt Gifford,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
89,0:03:28.60,Peter Holmquist,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
90,0:03:29.00,Neelraj Arjune,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
91,0:03:30.20,Colin Revere,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
92,0:03:31.62,Danny Tomaro,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
93,0:03:32.00,Roy Fisher,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
94,0:03:33.00,Jacob Biesiada,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
95,0:03:33.10,Eric Reinhart,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
96,0:03:33.90,Gerry Daher,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
97,0:03:34.40,Jason Noyes,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
98,0:03:39.10,Jean-Guy Beaudry,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
99,0:03:39.30,Jack Hirschowitz,M,USA,02/08/2014,"IJA, West Lafayette",IJA Database
99,0:03:39.30,Martin Hiti,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
101,0:03:40.00,Markus Furtner,M,DEU,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
102,0:03:40.20,Bennett Santora,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
103,0:03:45.00,Jean Guy Beaudry,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
104,0:03:49.00,Phillip Garee,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
105,0:03:50.00,Joe Straitiff,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
106,0:03:51.60,Dean Bennett,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
107,0:03:54.00,Christopher Haaser,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
107,0:03:54.00,Derek Hahn,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
