Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:41.83,Chris Fowler,M,Unknown,2022,"IJA, Virtual","IJA Database, https://www.youtube.com/watch?v=PZ8Vb38s-do, "
2,0:00:42.50,Thomas Dietz,M,DEU,27/08/2018,Time Trial,https://twitter.com/mkapral/status/1033866958666690561
3,0:00:58.40,Lauge Benjaminson,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
4,0:01:02.50,Nicholas Thomas,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
5,0:01:02.80,Jack Denger,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
6,0:01:03.00,Giovanni Gaole,M,Unknown,2022,"IJA, Virtual",IJA Database
7,0:01:05.00,Andrew Ruiz,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
8,0:01:05.10,Matan Presberg,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
9,0:01:06.00,David Ferman,M,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
10,0:01:11.90,Nick Thomas,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
11,0:01:13.00,Austin Bruckner,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
12,0:01:17.80,Ben Thompson,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
13,0:01:21.00,Daniel Eaker,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
14,0:01:23.30,Billy Watson,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
15,0:01:30.90,Andrew Hodge,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
16,0:01:37.40,Davld Pavlove Cunsolo,M,Unknown,2020,"IJA, Virtual",IJA Database
17,0:01:37.90,Mike Moore,M,USA,24/07/2018,"IJA, Springfield",IJA Database
18,0:01:43.40,Jonah Botuinick-Greenhouse,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
19,0:01:47.50,Mark Fiore,M,USA,02/08/2014,"IJA, West Lafayette",IJA Database
20,0:01:51.90,Albert Lucas,M,USA,21/07/2012,"IJA, Winston-Salem",IJA Database
21,0:01:54.60,Jack Levy,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
22,0:02:04.30,Kyle Albrecht,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
23,0:02:06.30,Kylen McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
24,0:02:13.70,Christopher van Hoomissen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
25,0:02:22.80,Danny Gratzer,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
26,0:02:30.10,Bennett Santora,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
27,0:02:53.00,Nicolas Souren,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
28,0:02:58.00,Christopher Haaser,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
29,0:03:04.00,Chris Lovdal,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
30,0:03:10.70,Joey Spicola,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
31,0:03:20.30,Daniel van Hoomisson,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
32,0:03:53.00,Danny Hodge,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
33,0:04:00.00,Barry Goldmeier,M,USA,24/07/2018,"IJA, Springfield",IJA Database
34,0:09:18.50,Sterling Franklin,M,USA,2022,"IJA, Virtual",IJA Database
