Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,4:26:00.00,0,Colin Francome,M,GBR,1983,Swindon Marathon,"Phone call with Colin, August 2023"
2,4:49:33.00,0,Johan Swartvagher,M,FRA,05/05/2024,Loire Marathon,https://marathonview.net/result/74618499 https://jogging-international.net/actualites/il-va-courir-un-marathon-en-jonglant/ https://www.instagram.com/johanswartvagher/ First recorded club marathon!
