600m,800m,1000m,1500m,Mile,2000m,Points
1:17.68,1:49.42,2:21.45,3:44.83,4:02.61,5:09.31,1043
1:17.71,1:49.45,2:21.50,3:44.91,4:02.70,5:09.42,1042
1:17.74,1:49.49,2:21.54,3:44.99,4:02.78,5:09.52,1041
1:17.76,1:49.52,2:21.59,3:45.06,4:02.86,5:09.63,1040
1:17.79,1:49.56,2:21.64,3:45.14,4:02.95,5:09.73,1039
1:17.81,1:49.59,2:21.69,3:45.22,4:03.03,5:09.84,1038
1:17.84,1:49.63,2:21.73,3:45.29,4:03.11,5:09.94,1037
1:17.86,1:49.66,2:21.78,3:45.37,4:03.19,5:10.05,1036
1:17.89,1:49.70,2:21.83,3:45.45,4:03.28,5:10.15,1035
1:17.92,1:49.73,2:21.87,3:45.53,4:03.36,5:10.26,1034
1:17.94,1:49.77,2:21.92,3:45.60,4:03.44,5:10.36,1033
1:17.97,1:49.80,2:21.97,3:45.68,4:03.53,5:10.47,1032
1:17.99,1:49.83,2:22.02,3:45.76,4:03.61,5:10.57,1031
1:18.02,1:49.87,2:22.06,3:45.83,4:03.69,5:10.68,1030
1:18.04,1:49.90,2:22.11,3:45.91,4:03.78,5:10.78,1029
1:18.07,1:49.94,2:22.16,3:45.99,4:03.86,5:10.89,1028
1:18.10,1:49.98,2:22.21,3:46.07,4:03.94,5:11.00,1027
1:18.12,1:50.01,2:22.26,3:46.14,4:04.02,5:11.10,1026
1:18.15,1:50.05,2:22.30,3:46.22,4:04.11,5:11.21,1025
1:18.17,1:50.08,2:22.35,3:46.30,4:04.19,5:11.31,1024
1:18.20,1:50.12,2:22.40,3:46.38,4:04.28,5:11.42,1023
1:18.22,1:50.15,2:22.45,3:46.45,4:04.36,5:11.53,1022
1:18.25,1:50.19,2:22.49,3:46.53,4:04.44,5:11.63,1021
1:18.28,1:50.22,2:22.54,3:46.61,4:04.53,5:11.74,1020
1:18.30,1:50.26,2:22.59,3:46.69,4:04.61,5:11.84,1019
1:18.33,1:50.29,2:22.64,3:46.76,4:04.69,5:11.95,1018
1:18.35,1:50.33,2:22.68,3:46.84,4:04.78,5:12.06,1017
1:18.38,1:50.36,2:22.73,3:46.92,4:04.86,5:12.16,1016
1:18.41,1:50.40,2:22.78,3:47.00,4:04.94,5:12.27,1015
1:18.43,1:50.43,2:22.83,3:47.08,4:05.03,5:12.37,1014
1:18.46,1:50.47,2:22.88,3:47.15,4:05.11,5:12.48,1013
1:18.48,1:50.50,2:22.92,3:47.23,4:05.20,5:12.59,1012
1:18.51,1:50.54,2:22.97,3:47.31,4:05.28,5:12.69,1011
1:18.54,1:50.57,2:23.02,3:47.39,4:05.36,5:12.80,1010
1:18.56,1:50.61,2:23.07,3:47.47,4:05.45,5:12.91,1009
1:18.59,1:50.64,2:23.12,3:47.54,4:05.53,5:13.01,1008
1:18.61,1:50.68,2:23.16,3:47.62,4:05.62,5:13.12,1007
1:18.64,1:50.72,2:23.21,3:47.70,4:05.70,5:13.23,1006
1:18.67,1:50.75,2:23.26,3:47.78,4:05.78,5:13.33,1005
1:18.69,1:50.79,2:23.31,3:47.86,4:05.87,5:13.44,1004
1:18.72,1:50.82,2:23.36,3:47.93,4:05.95,5:13.55,1003
1:18.74,1:50.86,2:23.41,3:48.01,4:06.04,5:13.65,1002
1:18.77,1:50.89,2:23.45,3:48.09,4:06.12,5:13.76,1001
1:18.80,1:50.93,2:23.50,3:48.17,4:06.21,5:13.87,1000
1:18.82,1:50.96,2:23.55,3:48.25,4:06.29,5:13.97,999
1:18.85,1:51.00,2:23.60,3:48.33,4:06.37,5:14.08,998
1:18.87,1:51.03,2:23.65,3:48.41,4:06.46,5:14.19,997
1:18.90,1:51.07,2:23.69,3:48.48,4:06.54,5:14.30,996
1:18.93,1:51.11,2:23.74,3:48.56,4:06.63,5:14.40,995
1:18.95,1:51.14,2:23.79,3:48.64,4:06.71,5:14.51,994
1:18.98,1:51.18,2:23.84,3:48.72,4:06.80,5:14.62,993
1:19.00,1:51.21,2:23.89,3:48.80,4:06.88,5:14.73,992
1:19.03,1:51.25,2:23.94,3:48.88,4:06.97,5:14.83,991
1:19.06,1:51.28,2:23.99,3:48.96,4:07.05,5:14.94,990
1:19.08,1:51.32,2:24.03,3:49.03,4:07.14,5:15.05,989
1:19.11,1:51.36,2:24.08,3:49.11,4:07.22,5:15.16,988
1:19.14,1:51.39,2:24.13,3:49.19,4:07.31,5:15.26,987
1:19.16,1:51.43,2:24.18,3:49.27,4:07.39,5:15.37,986
1:19.19,1:51.46,2:24.23,3:49.35,4:07.48,5:15.48,985
1:19.21,1:51.50,2:24.28,3:49.43,4:07.56,5:15.59,984
1:19.24,1:51.53,2:24.33,3:49.51,4:07.65,5:15.70,983
1:19.27,1:51.57,2:24.37,3:49.59,4:07.73,5:15.80,982
1:19.29,1:51.61,2:24.42,3:49.67,4:07.82,5:15.91,981
1:19.32,1:51.64,2:24.47,3:49.75,4:07.90,5:16.02,980
1:19.35,1:51.68,2:24.52,3:49.83,4:07.99,5:16.13,979
1:19.37,1:51.71,2:24.57,3:49.90,4:08.07,5:16.24,978
1:19.40,1:51.75,2:24.62,3:49.98,4:08.16,5:16.34,977
1:19.43,1:51.79,2:24.67,3:50.06,4:08.24,5:16.45,976
1:19.45,1:51.82,2:24.72,3:50.14,4:08.33,5:16.56,975
1:19.48,1:51.86,2:24.76,3:50.22,4:08.41,5:16.67,974
1:19.50,1:51.89,2:24.81,3:50.30,4:08.50,5:16.78,973
1:19.53,1:51.93,2:24.86,3:50.38,4:08.58,5:16.89,972
1:19.56,1:51.97,2:24.91,3:50.46,4:08.67,5:17.00,971
1:19.58,1:52.00,2:24.96,3:50.54,4:08.76,5:17.10,970
1:19.61,1:52.04,2:25.01,3:50.62,4:08.84,5:17.21,969
1:19.64,1:52.07,2:25.06,3:50.70,4:08.93,5:17.32,968
1:19.66,1:52.11,2:25.11,3:50.78,4:09.01,5:17.43,967
1:19.69,1:52.15,2:25.16,3:50.86,4:09.10,5:17.54,966
1:19.72,1:52.18,2:25.21,3:50.94,4:09.19,5:17.65,965
1:19.74,1:52.22,2:25.25,3:51.02,4:09.27,5:17.76,964
1:19.77,1:52.26,2:25.30,3:51.10,4:09.36,5:17.87,963
1:19.80,1:52.29,2:25.35,3:51.18,4:09.44,5:17.98,962
1:19.82,1:52.33,2:25.40,3:51.26,4:09.53,5:18.08,961
1:19.85,1:52.36,2:25.45,3:51.34,4:09.62,5:18.19,960
1:19.88,1:52.40,2:25.50,3:51.42,4:09.70,5:18.30,959
1:19.90,1:52.44,2:25.55,3:51.50,4:09.79,5:18.41,958
1:19.93,1:52.47,2:25.60,3:51.58,4:09.87,5:18.52,957
1:19.96,1:52.51,2:25.65,3:51.66,4:09.96,5:18.63,956
1:19.98,1:52.55,2:25.70,3:51.74,4:10.05,5:18.74,955
1:20.01,1:52.58,2:25.75,3:51.82,4:10.13,5:18.85,954
1:20.04,1:52.62,2:25.80,3:51.90,4:10.22,5:18.96,953
1:20.06,1:52.65,2:25.85,3:51.98,4:10.31,5:19.07,952
1:20.09,1:52.69,2:25.90,3:52.06,4:10.39,5:19.18,951
1:20.12,1:52.73,2:25.94,3:52.14,4:10.48,5:19.29,950
1:20.14,1:52.76,2:25.99,3:52.22,4:10.57,5:19.40,949
1:20.17,1:52.80,2:26.04,3:52.30,4:10.65,5:19.51,948
1:20.20,1:52.84,2:26.09,3:52.38,4:10.74,5:19.62,947
1:20.22,1:52.87,2:26.14,3:52.46,4:10.83,5:19.73,946
1:20.25,1:52.91,2:26.19,3:52.54,4:10.91,5:19.84,945
1:20.28,1:52.95,2:26.24,3:52.62,4:11.00,5:19.95,944
1:20.30,1:52.98,2:26.29,3:52.70,4:11.09,5:20.06,943
1:20.33,1:53.02,2:26.34,3:52.79,4:11.17,5:20.17,942
1:20.36,1:53.06,2:26.39,3:52.87,4:11.26,5:20.28,941
1:20.39,1:53.09,2:26.44,3:52.95,4:11.35,5:20.39,940
1:20.41,1:53.13,2:26.49,3:53.03,4:11.43,5:20.50,939
1:20.44,1:53.17,2:26.54,3:53.11,4:11.52,5:20.61,938
1:20.47,1:53.20,2:26.59,3:53.19,4:11.61,5:20.72,937
1:20.49,1:53.24,2:26.64,3:53.27,4:11.70,5:20.83,936
1:20.52,1:53.28,2:26.69,3:53.35,4:11.78,5:20.94,935
1:20.55,1:53.31,2:26.74,3:53.43,4:11.87,5:21.05,934
1:20.57,1:53.35,2:26.79,3:53.51,4:11.96,5:21.17,933
1:20.60,1:53.39,2:26.84,3:53.60,4:12.04,5:21.28,932
1:20.63,1:53.42,2:26.89,3:53.68,4:12.13,5:21.39,931
1:20.66,1:53.46,2:26.94,3:53.76,4:12.22,5:21.50,930
1:20.68,1:53.50,2:26.99,3:53.84,4:12.31,5:21.61,929
1:20.71,1:53.53,2:27.04,3:53.92,4:12.40,5:21.72,928
1:20.74,1:53.57,2:27.09,3:54.00,4:12.48,5:21.83,927
1:20.76,1:53.61,2:27.14,3:54.08,4:12.57,5:21.94,926
1:20.79,1:53.65,2:27.19,3:54.17,4:12.66,5:22.05,925
1:20.82,1:53.68,2:27.24,3:54.25,4:12.75,5:22.17,924
1:20.85,1:53.72,2:27.29,3:54.33,4:12.83,5:22.28,923
1:20.87,1:53.76,2:27.34,3:54.41,4:12.92,5:22.39,922
1:20.90,1:53.79,2:27.39,3:54.49,4:13.01,5:22.50,921
1:20.93,1:53.83,2:27.44,3:54.57,4:13.10,5:22.61,920
1:20.95,1:53.87,2:27.49,3:54.66,4:13.19,5:22.72,919
1:20.98,1:53.90,2:27.54,3:54.74,4:13.27,5:22.83,918
1:21.01,1:53.94,2:27.59,3:54.82,4:13.36,5:22.95,917
1:21.04,1:53.98,2:27.64,3:54.90,4:13.45,5:23.06,916
1:21.06,1:54.02,2:27.69,3:54.98,4:13.54,5:23.17,915
1:21.09,1:54.05,2:27.74,3:55.06,4:13.63,5:23.28,914
1:21.12,1:54.09,2:27.79,3:55.15,4:13.71,5:23.39,913
1:21.15,1:54.13,2:27.85,3:55.23,4:13.80,5:23.51,912
1:21.17,1:54.16,2:27.90,3:55.31,4:13.89,5:23.62,911
1:21.20,1:54.20,2:27.95,3:55.39,4:13.98,5:23.73,910
1:21.23,1:54.24,2:28.00,3:55.48,4:14.07,5:23.84,909
1:21.25,1:54.28,2:28.05,3:55.56,4:14.16,5:23.96,908
1:21.28,1:54.31,2:28.10,3:55.64,4:14.25,5:24.07,907
1:21.31,1:54.35,2:28.15,3:55.72,4:14.33,5:24.18,906
1:21.34,1:54.39,2:28.20,3:55.80,4:14.42,5:24.29,905
1:21.36,1:54.43,2:28.25,3:55.89,4:14.51,5:24.41,904
1:21.39,1:54.46,2:28.30,3:55.97,4:14.60,5:24.52,903
1:21.42,1:54.50,2:28.35,3:56.05,4:14.69,5:24.63,902
1:21.45,1:54.54,2:28.40,3:56.13,4:14.78,5:24.74,901
1:21.47,1:54.58,2:28.45,3:56.22,4:14.87,5:24.86,900
1:21.50,1:54.61,2:28.50,3:56.30,4:14.96,5:24.97,899
1:21.53,1:54.65,2:28.56,3:56.38,4:15.04,5:25.08,898
1:21.56,1:54.69,2:28.61,3:56.47,4:15.13,5:25.19,897
1:21.58,1:54.73,2:28.66,3:56.55,4:15.22,5:25.31,896
1:21.61,1:54.76,2:28.71,3:56.63,4:15.31,5:25.42,895
1:21.64,1:54.80,2:28.76,3:56.71,4:15.40,5:25.53,894
1:21.67,1:54.84,2:28.81,3:56.80,4:15.49,5:25.65,893
1:21.69,1:54.88,2:28.86,3:56.88,4:15.58,5:25.76,892
1:21.72,1:54.91,2:28.91,3:56.96,4:15.67,5:25.87,891
1:21.75,1:54.95,2:28.96,3:57.05,4:15.76,5:25.99,890
1:21.78,1:54.99,2:29.01,3:57.13,4:15.85,5:26.10,889
1:21.81,1:55.03,2:29.07,3:57.21,4:15.94,5:26.21,888
1:21.83,1:55.06,2:29.12,3:57.30,4:16.03,5:26.33,887
1:21.86,1:55.10,2:29.17,3:57.38,4:16.12,5:26.44,886
1:21.89,1:55.14,2:29.22,3:57.46,4:16.21,5:26.56,885
1:21.92,1:55.18,2:29.27,3:57.55,4:16.30,5:26.67,884
1:21.94,1:55.21,2:29.32,3:57.63,4:16.39,5:26.78,883
1:21.97,1:55.25,2:29.37,3:57.71,4:16.48,5:26.90,882
1:22.00,1:55.29,2:29.42,3:57.80,4:16.57,5:27.01,881
1:22.03,1:55.33,2:29.48,3:57.88,4:16.66,5:27.13,880
1:22.06,1:55.37,2:29.53,3:57.96,4:16.75,5:27.24,879
1:22.08,1:55.40,2:29.58,3:58.05,4:16.84,5:27.35,878
1:22.11,1:55.44,2:29.63,3:58.13,4:16.93,5:27.47,877
1:22.14,1:55.48,2:29.68,3:58.21,4:17.02,5:27.58,876
1:22.17,1:55.52,2:29.73,3:58.30,4:17.11,5:27.70,875
1:22.19,1:55.56,2:29.79,3:58.38,4:17.20,5:27.81,874
1:22.22,1:55.59,2:29.84,3:58.47,4:17.29,5:27.93,873
1:22.25,1:55.63,2:29.89,3:58.55,4:17.38,5:28.04,872
1:22.28,1:55.67,2:29.94,3:58.63,4:17.47,5:28.16,871
1:22.31,1:55.71,2:29.99,3:58.72,4:17.56,5:28.27,870
1:22.33,1:55.75,2:30.04,3:58.80,4:17.65,5:28.39,869
1:22.36,1:55.78,2:30.10,3:58.89,4:17.74,5:28.50,868
1:22.39,1:55.82,2:30.15,3:58.97,4:17.83,5:28.61,867
1:22.42,1:55.86,2:30.20,3:59.05,4:17.92,5:28.73,866
1:22.45,1:55.90,2:30.25,3:59.14,4:18.01,5:28.85,865
1:22.47,1:55.94,2:30.30,3:59.22,4:18.10,5:28.96,864
1:22.50,1:55.98,2:30.35,3:59.31,4:18.19,5:29.08,863
1:22.53,1:56.01,2:30.41,3:59.39,4:18.28,5:29.19,862
1:22.56,1:56.05,2:30.46,3:59.48,4:18.37,5:29.31,861
1:22.59,1:56.09,2:30.51,3:59.56,4:18.47,5:29.42,860
1:22.62,1:56.13,2:30.56,3:59.65,4:18.56,5:29.54,859
1:22.64,1:56.17,2:30.61,3:59.73,4:18.65,5:29.65,858
1:22.67,1:56.21,2:30.67,3:59.82,4:18.74,5:29.77,857
1:22.70,1:56.24,2:30.72,3:59.90,4:18.83,5:29.88,856
1:22.73,1:56.28,2:30.77,3:59.98,4:18.92,5:30.00,855
1:22.76,1:56.32,2:30.82,4:00.07,4:19.01,5:30.12,854
1:22.78,1:56.36,2:30.88,4:00.15,4:19.10,5:30.23,853
1:22.81,1:56.40,2:30.93,4:00.24,4:19.20,5:30.35,852
1:22.84,1:56.44,2:30.98,4:00.32,4:19.29,5:30.46,851
1:22.87,1:56.47,2:31.03,4:00.41,4:19.38,5:30.58,850
1:22.90,1:56.51,2:31.08,4:00.49,4:19.47,5:30.70,849
1:22.93,1:56.55,2:31.14,4:00.58,4:19.56,5:30.81,848
1:22.95,1:56.59,2:31.19,4:00.66,4:19.65,5:30.93,847
1:22.98,1:56.63,2:31.24,4:00.75,4:19.74,5:31.04,846
1:23.01,1:56.67,2:31.29,4:00.84,4:19.84,5:31.16,845
1:23.04,1:56.71,2:31.35,4:00.92,4:19.93,5:31.28,844
1:23.07,1:56.74,2:31.40,4:01.01,4:20.02,5:31.39,843
1:23.10,1:56.78,2:31.45,4:01.09,4:20.11,5:31.51,842
1:23.12,1:56.82,2:31.50,4:01.18,4:20.20,5:31.63,841
1:23.15,1:56.86,2:31.56,4:01.26,4:20.30,5:31.74,840
1:23.18,1:56.90,2:31.61,4:01.35,4:20.39,5:31.86,839
1:23.21,1:56.94,2:31.66,4:01.43,4:20.48,5:31.98,838
1:23.24,1:56.98,2:31.72,4:01.52,4:20.57,5:32.09,837
1:23.27,1:57.02,2:31.77,4:01.60,4:20.67,5:32.21,836
1:23.30,1:57.06,2:31.82,4:01.69,4:20.76,5:32.33,835
1:23.32,1:57.09,2:31.87,4:01.78,4:20.85,5:32.45,834
1:23.35,1:57.13,2:31.93,4:01.86,4:20.94,5:32.56,833
1:23.38,1:57.17,2:31.98,4:01.95,4:21.03,5:32.68,832
1:23.41,1:57.21,2:32.03,4:02.03,4:21.13,5:32.80,831
1:23.44,1:57.25,2:32.09,4:02.12,4:21.22,5:32.92,830
1:23.47,1:57.29,2:32.14,4:02.21,4:21.31,5:33.03,829
1:23.50,1:57.33,2:32.19,4:02.29,4:21.41,5:33.15,828
1:23.52,1:57.37,2:32.24,4:02.38,4:21.50,5:33.27,827
1:23.55,1:57.41,2:32.30,4:02.46,4:21.59,5:33.39,826
1:23.58,1:57.45,2:32.35,4:02.55,4:21.68,5:33.50,825
1:23.61,1:57.48,2:32.40,4:02.64,4:21.78,5:33.62,824
1:23.64,1:57.52,2:32.46,4:02.72,4:21.87,5:33.74,823
1:23.67,1:57.56,2:32.51,4:02.81,4:21.96,5:33.86,822
1:23.70,1:57.60,2:32.56,4:02.90,4:22.06,5:33.98,821
1:23.73,1:57.64,2:32.62,4:02.98,4:22.15,5:34.09,820
1:23.76,1:57.68,2:32.67,4:03.07,4:22.24,5:34.21,819
1:23.78,1:57.72,2:32.72,4:03.16,4:22.34,5:34.33,818
1:23.81,1:57.76,2:32.78,4:03.24,4:22.43,5:34.45,817
1:23.84,1:57.80,2:32.83,4:03.33,4:22.52,5:34.57,816
1:23.87,1:57.84,2:32.88,4:03.42,4:22.62,5:34.69,815
1:23.90,1:57.88,2:32.94,4:03.50,4:22.71,5:34.81,814
1:23.93,1:57.92,2:32.99,4:03.59,4:22.80,5:34.92,813
1:23.96,1:57.96,2:33.04,4:03.68,4:22.90,5:35.04,812
1:23.99,1:58.00,2:33.10,4:03.77,4:22.99,5:35.16,811
1:24.02,1:58.03,2:33.15,4:03.85,4:23.08,5:35.28,810
1:24.04,1:58.07,2:33.20,4:03.94,4:23.18,5:35.40,809
1:24.07,1:58.11,2:33.26,4:04.03,4:23.27,5:35.52,808
1:24.10,1:58.15,2:33.31,4:04.11,4:23.37,5:35.64,807
1:24.13,1:58.19,2:33.37,4:04.20,4:23.46,5:35.76,806
1:24.16,1:58.23,2:33.42,4:04.29,4:23.55,5:35.88,805
1:24.19,1:58.27,2:33.47,4:04.38,4:23.65,5:36.00,804
1:24.22,1:58.31,2:33.53,4:04.46,4:23.74,5:36.11,803
1:24.25,1:58.35,2:33.58,4:04.55,4:23.84,5:36.23,802
1:24.28,1:58.39,2:33.63,4:04.64,4:23.93,5:36.35,801
1:24.31,1:58.43,2:33.69,4:04.73,4:24.02,5:36.47,800
1:24.34,1:58.47,2:33.74,4:04.81,4:24.12,5:36.59,799
1:24.36,1:58.51,2:33.80,4:04.90,4:24.21,5:36.71,798
1:24.39,1:58.55,2:33.85,4:04.99,4:24.31,5:36.83,797
1:24.42,1:58.59,2:33.90,4:05.08,4:24.40,5:36.95,796
1:24.45,1:58.63,2:33.96,4:05.17,4:24.50,5:37.07,795
1:24.48,1:58.67,2:34.01,4:05.25,4:24.59,5:37.19,794
1:24.51,1:58.71,2:34.07,4:05.34,4:24.69,5:37.31,793
1:24.54,1:58.75,2:34.12,4:05.43,4:24.78,5:37.43,792
1:24.57,1:58.79,2:34.18,4:05.52,4:24.88,5:37.55,791
1:24.60,1:58.83,2:34.23,4:05.61,4:24.97,5:37.67,790
1:24.63,1:58.87,2:34.28,4:05.69,4:25.07,5:37.79,789
1:24.66,1:58.91,2:34.34,4:05.78,4:25.16,5:37.92,788
1:24.69,1:58.95,2:34.39,4:05.87,4:25.26,5:38.04,787
1:24.72,1:58.99,2:34.45,4:05.96,4:25.35,5:38.16,786
1:24.75,1:59.03,2:34.50,4:06.05,4:25.45,5:38.28,785
1:24.78,1:59.07,2:34.56,4:06.14,4:25.54,5:38.40,784
1:24.81,1:59.11,2:34.61,4:06.22,4:25.64,5:38.52,783
1:24.83,1:59.15,2:34.67,4:06.31,4:25.73,5:38.64,782
1:24.86,1:59.19,2:34.72,4:06.40,4:25.83,5:38.76,781
1:24.89,1:59.23,2:34.77,4:06.49,4:25.92,5:38.88,780
1:24.92,1:59.27,2:34.83,4:06.58,4:26.02,5:39.00,779
1:24.95,1:59.31,2:34.88,4:06.67,4:26.12,5:39.13,778
1:24.98,1:59.35,2:34.94,4:06.76,4:26.21,5:39.25,777
1:25.01,1:59.39,2:34.99,4:06.85,4:26.31,5:39.37,776
1:25.04,1:59.43,2:35.05,4:06.94,4:26.40,5:39.49,775
1:25.07,1:59.47,2:35.10,4:07.02,4:26.50,5:39.61,774
1:25.10,1:59.51,2:35.16,4:07.11,4:26.59,5:39.73,773
1:25.13,1:59.55,2:35.21,4:07.20,4:26.69,5:39.86,772
1:25.16,1:59.59,2:35.27,4:07.29,4:26.79,5:39.98,771
1:25.19,1:59.63,2:35.32,4:07.38,4:26.88,5:40.10,770
1:25.22,1:59.67,2:35.38,4:07.47,4:26.98,5:40.22,769
1:25.25,1:59.72,2:35.43,4:07.56,4:27.07,5:40.34,768
1:25.28,1:59.76,2:35.49,4:07.65,4:27.17,5:40.47,767
1:25.31,1:59.80,2:35.54,4:07.74,4:27.27,5:40.59,766
1:25.34,1:59.84,2:35.60,4:07.83,4:27.36,5:40.71,765
1:25.37,1:59.88,2:35.65,4:07.92,4:27.46,5:40.83,764
1:25.40,1:59.92,2:35.71,4:08.01,4:27.56,5:40.96,763
1:25.43,1:59.96,2:35.76,4:08.10,4:27.65,5:41.08,762
1:25.46,2:00.00,2:35.82,4:08.19,4:27.75,5:41.20,761
1:25.49,2:00.04,2:35.87,4:08.28,4:27.85,5:41.32,760
1:25.52,2:00.08,2:35.93,4:08.37,4:27.94,5:41.45,759
1:25.55,2:00.12,2:35.98,4:08.46,4:28.04,5:41.57,758
1:25.58,2:00.16,2:36.04,4:08.55,4:28.14,5:41.69,757
1:25.61,2:00.20,2:36.10,4:08.64,4:28.24,5:41.81,756
1:25.64,2:00.24,2:36.15,4:08.73,4:28.33,5:41.94,755
1:25.67,2:00.29,2:36.21,4:08.82,4:28.43,5:42.06,754
1:25.70,2:00.33,2:36.26,4:08.91,4:28.53,5:42.18,753
1:25.73,2:00.37,2:36.32,4:09.00,4:28.62,5:42.31,752
1:25.76,2:00.41,2:36.37,4:09.09,4:28.72,5:42.43,751
1:25.79,2:00.45,2:36.43,4:09.18,4:28.82,5:42.56,750
1:25.82,2:00.49,2:36.48,4:09.27,4:28.92,5:42.68,749
1:25.85,2:00.53,2:36.54,4:09.36,4:29.01,5:42.80,748
1:25.88,2:00.57,2:36.60,4:09.45,4:29.11,5:42.93,747
1:25.91,2:00.61,2:36.65,4:09.54,4:29.21,5:43.05,746
1:25.94,2:00.65,2:36.71,4:09.63,4:29.31,5:43.17,745
1:25.97,2:00.70,2:36.76,4:09.72,4:29.40,5:43.30,744
1:26.00,2:00.74,2:36.82,4:09.82,4:29.50,5:43.42,743
1:26.03,2:00.78,2:36.88,4:09.91,4:29.60,5:43.55,742
1:26.06,2:00.82,2:36.93,4:10.00,4:29.70,5:43.67,741
1:26.09,2:00.86,2:36.99,4:10.09,4:29.80,5:43.80,740
1:26.12,2:00.90,2:37.04,4:10.18,4:29.89,5:43.92,739
1:26.15,2:00.94,2:37.10,4:10.27,4:29.99,5:44.04,738
1:26.18,2:00.98,2:37.16,4:10.36,4:30.09,5:44.17,737
1:26.21,2:01.03,2:37.21,4:10.45,4:30.19,5:44.29,736
1:26.24,2:01.07,2:37.27,4:10.55,4:30.29,5:44.42,735
1:26.27,2:01.11,2:37.33,4:10.64,4:30.39,5:44.54,734
1:26.30,2:01.15,2:37.38,4:10.73,4:30.48,5:44.67,733
1:26.33,2:01.19,2:37.44,4:10.82,4:30.58,5:44.79,732
1:26.37,2:01.23,2:37.49,4:10.91,4:30.68,5:44.92,731
1:26.40,2:01.28,2:37.55,4:11.00,4:30.78,5:45.04,730
1:26.43,2:01.32,2:37.61,4:11.10,4:30.88,5:45.17,729
1:26.46,2:01.36,2:37.66,4:11.19,4:30.98,5:45.30,728
1:26.49,2:01.40,2:37.72,4:11.28,4:31.08,5:45.42,727
1:26.52,2:01.44,2:37.78,4:11.37,4:31.18,5:45.55,726
1:26.55,2:01.48,2:37.83,4:11.46,4:31.28,5:45.67,725
1:26.58,2:01.53,2:37.89,4:11.56,4:31.37,5:45.80,724
1:26.61,2:01.57,2:37.95,4:11.65,4:31.47,5:45.92,723
1:26.64,2:01.61,2:38.00,4:11.74,4:31.57,5:46.05,722
1:26.67,2:01.65,2:38.06,4:11.83,4:31.67,5:46.18,721
1:26.70,2:01.69,2:38.12,4:11.92,4:31.77,5:46.30,720
1:26.73,2:01.73,2:38.17,4:12.02,4:31.87,5:46.43,719
1:26.76,2:01.78,2:38.23,4:12.11,4:31.97,5:46.55,718
1:26.79,2:01.82,2:38.29,4:12.20,4:32.07,5:46.68,717
1:26.83,2:01.86,2:38.35,4:12.29,4:32.17,5:46.81,716
1:26.86,2:01.90,2:38.40,4:12.39,4:32.27,5:46.93,715
1:26.89,2:01.94,2:38.46,4:12.48,4:32.37,5:47.06,714
1:26.92,2:01.99,2:38.52,4:12.57,4:32.47,5:47.19,713
1:26.95,2:02.03,2:38.57,4:12.67,4:32.57,5:47.31,712
1:26.98,2:02.07,2:38.63,4:12.76,4:32.67,5:47.44,711
1:27.01,2:02.11,2:38.69,4:12.85,4:32.77,5:47.57,710
1:27.04,2:02.16,2:38.75,4:12.94,4:32.87,5:47.70,709
1:27.07,2:02.20,2:38.80,4:13.04,4:32.97,5:47.82,708
1:27.10,2:02.24,2:38.86,4:13.13,4:33.07,5:47.95,707
1:27.13,2:02.28,2:38.92,4:13.22,4:33.17,5:48.08,706
1:27.17,2:02.32,2:38.97,4:13.32,4:33.27,5:48.20,705
1:27.20,2:02.37,2:39.03,4:13.41,4:33.37,5:48.33,704
1:27.23,2:02.41,2:39.09,4:13.50,4:33.47,5:48.46,703
1:27.26,2:02.45,2:39.15,4:13.60,4:33.57,5:48.59,702
1:27.29,2:02.49,2:39.21,4:13.69,4:33.67,5:48.72,701
1:27.32,2:02.54,2:39.26,4:13.79,4:33.78,5:48.84,700
1:27.35,2:02.58,2:39.32,4:13.88,4:33.88,5:48.97,699
1:27.38,2:02.62,2:39.38,4:13.97,4:33.98,5:49.10,698
1:27.42,2:02.66,2:39.44,4:14.07,4:34.08,5:49.23,697
1:27.45,2:02.71,2:39.49,4:14.16,4:34.18,5:49.36,696
1:27.48,2:02.75,2:39.55,4:14.25,4:34.28,5:49.48,695
1:27.51,2:02.79,2:39.61,4:14.35,4:34.38,5:49.61,694
1:27.54,2:02.83,2:39.67,4:14.44,4:34.48,5:49.74,693
1:27.57,2:02.88,2:39.73,4:14.54,4:34.58,5:49.87,692
1:27.60,2:02.92,2:39.78,4:14.63,4:34.69,5:50.00,691
1:27.63,2:02.96,2:39.84,4:14.73,4:34.79,5:50.13,690
1:27.67,2:03.01,2:39.90,4:14.82,4:34.89,5:50.26,689
1:27.70,2:03.05,2:39.96,4:14.91,4:34.99,5:50.39,688
1:27.73,2:03.09,2:40.02,4:15.01,4:35.09,5:50.51,687
1:27.76,2:03.13,2:40.07,4:15.10,4:35.19,5:50.64,686
1:27.79,2:03.18,2:40.13,4:15.20,4:35.30,5:50.77,685
1:27.82,2:03.22,2:40.19,4:15.29,4:35.40,5:50.90,684
1:27.86,2:03.26,2:40.25,4:15.39,4:35.50,5:51.03,683
1:27.89,2:03.31,2:40.31,4:15.48,4:35.60,5:51.16,682
1:27.92,2:03.35,2:40.37,4:15.58,4:35.70,5:51.29,681
1:27.95,2:03.39,2:40.42,4:15.67,4:35.81,5:51.42,680
1:27.98,2:03.43,2:40.48,4:15.77,4:35.91,5:51.55,679
1:28.01,2:03.48,2:40.54,4:15.86,4:36.01,5:51.68,678
