600m,800m,1000m,1500m,Mile,2000m,Points
1:11.04,1:40.38,2:09.17,3:24.88,3:41.14,4:42.07,1319
1:11.07,1:40.41,2:09.22,3:24.95,3:41.22,4:42.17,1318
1:11.09,1:40.44,2:09.26,3:25.02,3:41.29,4:42.26,1317
1:11.11,1:40.47,2:09.30,3:25.09,3:41.36,4:42.35,1316
1:11.14,1:40.50,2:09.34,3:25.16,3:41.44,4:42.45,1315
1:11.16,1:40.53,2:09.38,3:25.23,3:41.51,4:42.54,1314
1:11.18,1:40.56,2:09.43,3:25.29,3:41.59,4:42.63,1313
1:11.20,1:40.59,2:09.47,3:25.36,3:41.66,4:42.73,1312
1:11.23,1:40.62,2:09.51,3:25.43,3:41.73,4:42.82,1311
1:11.25,1:40.66,2:09.55,3:25.50,3:41.81,4:42.92,1310
1:11.27,1:40.69,2:09.60,3:25.57,3:41.88,4:43.01,1309
1:11.30,1:40.72,2:09.64,3:25.64,3:41.95,4:43.10,1308
1:11.32,1:40.75,2:09.68,3:25.71,3:42.03,4:43.20,1307
1:11.34,1:40.78,2:09.72,3:25.77,3:42.10,4:43.29,1306
1:11.36,1:40.81,2:09.76,3:25.84,3:42.18,4:43.38,1305
1:11.39,1:40.84,2:09.81,3:25.91,3:42.25,4:43.48,1304
1:11.41,1:40.87,2:09.85,3:25.98,3:42.32,4:43.57,1303
1:11.43,1:40.90,2:09.89,3:26.05,3:42.40,4:43.66,1302
1:11.46,1:40.94,2:09.93,3:26.12,3:42.47,4:43.76,1301
1:11.48,1:40.97,2:09.98,3:26.19,3:42.54,4:43.85,1300
1:11.50,1:41.00,2:10.02,3:26.26,3:42.62,4:43.95,1299
1:11.52,1:41.03,2:10.06,3:26.32,3:42.69,4:44.04,1298
1:11.55,1:41.06,2:10.10,3:26.39,3:42.77,4:44.13,1297
1:11.57,1:41.09,2:10.14,3:26.46,3:42.84,4:44.23,1296
1:11.59,1:41.12,2:10.19,3:26.53,3:42.92,4:44.32,1295
1:11.62,1:41.15,2:10.23,3:26.60,3:42.99,4:44.42,1294
1:11.64,1:41.18,2:10.27,3:26.67,3:43.06,4:44.51,1293
1:11.66,1:41.22,2:10.31,3:26.74,3:43.14,4:44.60,1292
1:11.68,1:41.25,2:10.36,3:26.81,3:43.21,4:44.70,1291
1:11.71,1:41.28,2:10.40,3:26.88,3:43.29,4:44.79,1290
1:11.73,1:41.31,2:10.44,3:26.94,3:43.36,4:44.89,1289
1:11.75,1:41.34,2:10.48,3:27.01,3:43.44,4:44.98,1288
1:11.78,1:41.37,2:10.53,3:27.08,3:43.51,4:45.08,1287
1:11.80,1:41.40,2:10.57,3:27.15,3:43.58,4:45.17,1286
1:11.82,1:41.44,2:10.61,3:27.22,3:43.66,4:45.26,1285
1:11.85,1:41.47,2:10.65,3:27.29,3:43.73,4:45.36,1284
1:11.87,1:41.50,2:10.70,3:27.36,3:43.81,4:45.45,1283
1:11.89,1:41.53,2:10.74,3:27.43,3:43.88,4:45.55,1282
1:11.91,1:41.56,2:10.78,3:27.50,3:43.96,4:45.64,1281
1:11.94,1:41.59,2:10.83,3:27.57,3:44.03,4:45.74,1280
1:11.96,1:41.62,2:10.87,3:27.64,3:44.11,4:45.83,1279
1:11.98,1:41.65,2:10.91,3:27.71,3:44.18,4:45.93,1278
1:12.01,1:41.69,2:10.95,3:27.78,3:44.25,4:46.02,1277
1:12.03,1:41.72,2:11.00,3:27.84,3:44.33,4:46.12,1276
1:12.05,1:41.75,2:11.04,3:27.91,3:44.40,4:46.21,1275
1:12.08,1:41.78,2:11.08,3:27.98,3:44.48,4:46.31,1274
1:12.10,1:41.81,2:11.12,3:28.05,3:44.55,4:46.40,1273
1:12.12,1:41.84,2:11.17,3:28.12,3:44.63,4:46.50,1272
1:12.15,1:41.88,2:11.21,3:28.19,3:44.70,4:46.59,1271
1:12.17,1:41.91,2:11.25,3:28.26,3:44.78,4:46.69,1270
1:12.19,1:41.94,2:11.30,3:28.33,3:44.85,4:46.78,1269
1:12.22,1:41.97,2:11.34,3:28.40,3:44.93,4:46.88,1268
1:12.24,1:42.00,2:11.38,3:28.47,3:45.00,4:46.97,1267
1:12.26,1:42.03,2:11.42,3:28.54,3:45.08,4:47.07,1266
1:12.28,1:42.06,2:11.47,3:28.61,3:45.15,4:47.16,1265
1:12.31,1:42.10,2:11.51,3:28.68,3:45.23,4:47.26,1264
1:12.33,1:42.13,2:11.55,3:28.75,3:45.30,4:47.35,1263
1:12.35,1:42.16,2:11.60,3:28.82,3:45.38,4:47.45,1262
1:12.38,1:42.19,2:11.64,3:28.89,3:45.45,4:47.54,1261
1:12.40,1:42.22,2:11.68,3:28.96,3:45.53,4:47.64,1260
1:12.42,1:42.25,2:11.72,3:29.03,3:45.60,4:47.73,1259
1:12.45,1:42.29,2:11.77,3:29.10,3:45.68,4:47.83,1258
1:12.47,1:42.32,2:11.81,3:29.17,3:45.75,4:47.92,1257
1:12.49,1:42.35,2:11.85,3:29.24,3:45.83,4:48.02,1256
1:12.52,1:42.38,2:11.90,3:29.31,3:45.91,4:48.12,1255
1:12.54,1:42.41,2:11.94,3:29.38,3:45.98,4:48.21,1254
1:12.56,1:42.44,2:11.98,3:29.45,3:46.06,4:48.31,1253
1:12.59,1:42.48,2:12.03,3:29.52,3:46.13,4:48.40,1252
1:12.61,1:42.51,2:12.07,3:29.59,3:46.21,4:48.50,1251
1:12.63,1:42.54,2:12.11,3:29.66,3:46.28,4:48.59,1250
1:12.66,1:42.57,2:12.16,3:29.73,3:46.36,4:48.69,1249
1:12.68,1:42.60,2:12.20,3:29.80,3:46.43,4:48.78,1248
1:12.70,1:42.64,2:12.24,3:29.87,3:46.51,4:48.88,1247
1:12.73,1:42.67,2:12.28,3:29.94,3:46.58,4:48.98,1246
1:12.75,1:42.70,2:12.33,3:30.01,3:46.66,4:49.07,1245
1:12.77,1:42.73,2:12.37,3:30.08,3:46.74,4:49.17,1244
1:12.80,1:42.76,2:12.41,3:30.15,3:46.81,4:49.26,1243
1:12.82,1:42.79,2:12.46,3:30.22,3:46.89,4:49.36,1242
1:12.84,1:42.83,2:12.50,3:30.29,3:46.96,4:49.46,1241
1:12.87,1:42.86,2:12.54,3:30.36,3:47.04,4:49.55,1240
1:12.89,1:42.89,2:12.59,3:30.43,3:47.11,4:49.65,1239
1:12.91,1:42.92,2:12.63,3:30.50,3:47.19,4:49.75,1238
1:12.94,1:42.95,2:12.67,3:30.57,3:47.27,4:49.84,1237
1:12.96,1:42.99,2:12.72,3:30.64,3:47.34,4:49.94,1236
1:12.99,1:43.02,2:12.76,3:30.71,3:47.42,4:50.03,1235
1:13.01,1:43.05,2:12.80,3:30.78,3:47.49,4:50.13,1234
1:13.03,1:43.08,2:12.85,3:30.86,3:47.57,4:50.23,1233
1:13.06,1:43.11,2:12.89,3:30.93,3:47.65,4:50.32,1232
1:13.08,1:43.15,2:12.94,3:31.00,3:47.72,4:50.42,1231
1:13.10,1:43.18,2:12.98,3:31.07,3:47.80,4:50.52,1230
1:13.13,1:43.21,2:13.02,3:31.14,3:47.87,4:50.61,1229
1:13.15,1:43.24,2:13.07,3:31.21,3:47.95,4:50.71,1228
1:13.17,1:43.27,2:13.11,3:31.28,3:48.03,4:50.81,1227
1:13.20,1:43.31,2:13.15,3:31.35,3:48.10,4:50.90,1226
1:13.22,1:43.34,2:13.20,3:31.42,3:48.18,4:51.00,1225
1:13.24,1:43.37,2:13.24,3:31.49,3:48.26,4:51.10,1224
1:13.27,1:43.40,2:13.28,3:31.56,3:48.33,4:51.19,1223
1:13.29,1:43.43,2:13.33,3:31.63,3:48.41,4:51.29,1222
1:13.32,1:43.47,2:13.37,3:31.70,3:48.48,4:51.39,1221
1:13.34,1:43.50,2:13.41,3:31.78,3:48.56,4:51.48,1220
1:13.36,1:43.53,2:13.46,3:31.85,3:48.64,4:51.58,1219
1:13.39,1:43.56,2:13.50,3:31.92,3:48.71,4:51.68,1218
1:13.41,1:43.60,2:13.55,3:31.99,3:48.79,4:51.77,1217
1:13.43,1:43.63,2:13.59,3:32.06,3:48.87,4:51.87,1216
1:13.46,1:43.66,2:13.63,3:32.13,3:48.94,4:51.97,1215
1:13.48,1:43.69,2:13.68,3:32.20,3:49.02,4:52.07,1214
1:13.50,1:43.72,2:13.72,3:32.27,3:49.10,4:52.16,1213
1:13.53,1:43.76,2:13.76,3:32.34,3:49.17,4:52.26,1212
1:13.55,1:43.79,2:13.81,3:32.42,3:49.25,4:52.36,1211
1:13.58,1:43.82,2:13.85,3:32.49,3:49.33,4:52.45,1210
1:13.60,1:43.85,2:13.90,3:32.56,3:49.40,4:52.55,1209
1:13.62,1:43.89,2:13.94,3:32.63,3:49.48,4:52.65,1208
1:13.65,1:43.92,2:13.98,3:32.70,3:49.56,4:52.75,1207
1:13.67,1:43.95,2:14.03,3:32.77,3:49.63,4:52.84,1206
1:13.69,1:43.98,2:14.07,3:32.84,3:49.71,4:52.94,1205
1:13.72,1:44.02,2:14.12,3:32.92,3:49.79,4:53.04,1204
1:13.74,1:44.05,2:14.16,3:32.99,3:49.86,4:53.14,1203
1:13.77,1:44.08,2:14.20,3:33.06,3:49.94,4:53.23,1202
1:13.79,1:44.11,2:14.25,3:33.13,3:50.02,4:53.33,1201
1:13.81,1:44.15,2:14.29,3:33.20,3:50.09,4:53.43,1200
1:13.84,1:44.18,2:14.34,3:33.27,3:50.17,4:53.53,1199
1:13.86,1:44.21,2:14.38,3:33.34,3:50.25,4:53.63,1198
1:13.88,1:44.24,2:14.42,3:33.42,3:50.33,4:53.72,1197
1:13.91,1:44.27,2:14.47,3:33.49,3:50.40,4:53.82,1196
1:13.93,1:44.31,2:14.51,3:33.56,3:50.48,4:53.92,1195
1:13.96,1:44.34,2:14.56,3:33.63,3:50.56,4:54.02,1194
1:13.98,1:44.37,2:14.60,3:33.70,3:50.64,4:54.12,1193
1:14.00,1:44.41,2:14.64,3:33.78,3:50.71,4:54.21,1192
1:14.03,1:44.44,2:14.69,3:33.85,3:50.79,4:54.31,1191
1:14.05,1:44.47,2:14.73,3:33.92,3:50.87,4:54.41,1190
1:14.08,1:44.50,2:14.78,3:33.99,3:50.94,4:54.51,1189
1:14.10,1:44.54,2:14.82,3:34.06,3:51.02,4:54.61,1188
1:14.12,1:44.57,2:14.87,3:34.13,3:51.10,4:54.70,1187
1:14.15,1:44.60,2:14.91,3:34.21,3:51.18,4:54.80,1186
1:14.17,1:44.63,2:14.95,3:34.28,3:51.25,4:54.90,1185
1:14.20,1:44.67,2:15.00,3:34.35,3:51.33,4:55.00,1184
1:14.22,1:44.70,2:15.04,3:34.42,3:51.41,4:55.10,1183
1:14.24,1:44.73,2:15.09,3:34.49,3:51.49,4:55.20,1182
1:14.27,1:44.76,2:15.13,3:34.57,3:51.56,4:55.29,1181
1:14.29,1:44.80,2:15.18,3:34.64,3:51.64,4:55.39,1180
1:14.32,1:44.83,2:15.22,3:34.71,3:51.72,4:55.49,1179
1:14.34,1:44.86,2:15.27,3:34.78,3:51.80,4:55.59,1178
1:14.36,1:44.89,2:15.31,3:34.86,3:51.88,4:55.69,1177
1:14.39,1:44.93,2:15.35,3:34.93,3:51.95,4:55.79,1176
1:14.41,1:44.96,2:15.40,3:35.00,3:52.03,4:55.89,1175
1:14.44,1:44.99,2:15.44,3:35.07,3:52.11,4:55.99,1174
1:14.46,1:45.03,2:15.49,3:35.15,3:52.19,4:56.08,1173
1:14.48,1:45.06,2:15.53,3:35.22,3:52.26,4:56.18,1172
1:14.51,1:45.09,2:15.58,3:35.29,3:52.34,4:56.28,1171
1:14.53,1:45.12,2:15.62,3:35.36,3:52.42,4:56.38,1170
1:14.56,1:45.16,2:15.67,3:35.43,3:52.50,4:56.48,1169
1:14.58,1:45.19,2:15.71,3:35.51,3:52.58,4:56.58,1168
1:14.60,1:45.22,2:15.76,3:35.58,3:52.66,4:56.68,1167
1:14.63,1:45.26,2:15.80,3:35.65,3:52.73,4:56.78,1166
1:14.65,1:45.29,2:15.84,3:35.73,3:52.81,4:56.88,1165
1:14.68,1:45.32,2:15.89,3:35.80,3:52.89,4:56.98,1164
1:14.70,1:45.35,2:15.93,3:35.87,3:52.97,4:57.07,1163
1:14.73,1:45.39,2:15.98,3:35.94,3:53.05,4:57.17,1162
1:14.75,1:45.42,2:16.02,3:36.02,3:53.12,4:57.27,1161
1:14.77,1:45.45,2:16.07,3:36.09,3:53.20,4:57.37,1160
1:14.80,1:45.49,2:16.11,3:36.16,3:53.28,4:57.47,1159
1:14.82,1:45.52,2:16.16,3:36.23,3:53.36,4:57.57,1158
1:14.85,1:45.55,2:16.20,3:36.31,3:53.44,4:57.67,1157
1:14.87,1:45.59,2:16.25,3:36.38,3:53.52,4:57.77,1156
1:14.90,1:45.62,2:16.29,3:36.45,3:53.59,4:57.87,1155
1:14.92,1:45.65,2:16.34,3:36.53,3:53.67,4:57.97,1154
1:14.94,1:45.68,2:16.38,3:36.60,3:53.75,4:58.07,1153
1:14.97,1:45.72,2:16.43,3:36.67,3:53.83,4:58.17,1152
1:14.99,1:45.75,2:16.47,3:36.75,3:53.91,4:58.27,1151
1:15.02,1:45.78,2:16.52,3:36.82,3:53.99,4:58.37,1150
1:15.04,1:45.82,2:16.56,3:36.89,3:54.07,4:58.47,1149
1:15.07,1:45.85,2:16.61,3:36.96,3:54.15,4:58.57,1148
1:15.09,1:45.88,2:16.65,3:37.04,3:54.22,4:58.67,1147
1:15.11,1:45.92,2:16.70,3:37.11,3:54.30,4:58.77,1146
1:15.14,1:45.95,2:16.74,3:37.18,3:54.38,4:58.87,1145
1:15.16,1:45.98,2:16.79,3:37.26,3:54.46,4:58.97,1144
1:15.19,1:46.02,2:16.83,3:37.33,3:54.54,4:59.07,1143
1:15.21,1:46.05,2:16.88,3:37.40,3:54.62,4:59.17,1142
1:15.24,1:46.08,2:16.92,3:37.48,3:54.70,4:59.27,1141
1:15.26,1:46.12,2:16.97,3:37.55,3:54.78,4:59.37,1140
1:15.29,1:46.15,2:17.01,3:37.62,3:54.86,4:59.47,1139
1:15.31,1:46.18,2:17.06,3:37.70,3:54.93,4:59.57,1138
1:15.33,1:46.22,2:17.10,3:37.77,3:55.01,4:59.67,1137
1:15.36,1:46.25,2:17.15,3:37.85,3:55.09,4:59.77,1136
1:15.38,1:46.28,2:17.19,3:37.92,3:55.17,4:59.87,1135
1:15.41,1:46.32,2:17.24,3:37.99,3:55.25,4:59.97,1134
1:15.43,1:46.35,2:17.28,3:38.07,3:55.33,5:00.07,1133
1:15.46,1:46.38,2:17.33,3:38.14,3:55.41,5:00.17,1132
1:15.48,1:46.42,2:17.38,3:38.21,3:55.49,5:00.27,1131
