100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
,,,30.37,43.08,46.38,36.85,1:17.48,2:52.12,1317
9.69,12.69,19.40,30.38,43.09,46.40,36.86,1:17.50,2:52.18,1316
,,19.41,30.39,43.11,46.42,36.88,1:17.53,2:52.24,1315
,12.70,,30.40,43.12,46.44,36.89,1:17.55,2:52.30,1314
,,19.42,30.41,43.13,46.46,36.90,1:17.58,2:52.37,1313
9.70,12.71,,30.42,43.15,46.48,36.91,1:17.61,2:52.43,1312
,,19.43,30.43,43.16,46.49,36.93,1:17.63,2:52.49,1311
,12.72,19.44,30.44,43.18,46.51,36.94,1:17.66,2:52.55,1310
,,,30.45,43.19,46.53,36.95,1:17.68,2:52.61,1309
9.71,12.73,19.45,30.46,43.20,46.55,36.96,1:17.71,2:52.67,1308
,,,30.47,43.22,46.57,36.98,1:17.73,2:52.74,1307
,12.74,19.46,30.48,43.23,46.59,36.99,1:17.76,2:52.80,1306
9.72,,19.47,30.49,43.24,46.61,37.00,1:17.78,2:52.86,1305
,12.75,,30.50,43.26,46.62,37.01,1:17.81,2:52.92,1304
,,19.48,30.51,43.27,46.64,37.03,1:17.83,2:52.98,1303
,12.76,19.49,30.52,43.28,46.66,37.04,1:17.86,2:53.04,1302
9.73,,,30.53,43.30,46.68,37.05,1:17.88,2:53.11,1301
,12.77,19.50,30.54,43.31,46.70,37.06,1:17.91,2:53.17,1300
,,,30.55,43.33,46.72,37.08,1:17.94,2:53.23,1299
9.74,12.78,19.51,30.56,43.34,46.74,37.09,1:17.96,2:53.29,1298
,,19.52,30.57,43.35,46.76,37.10,1:17.99,2:53.35,1297
,12.79,,30.58,43.37,46.78,37.11,1:18.01,2:53.42,1296
,,19.53,30.59,43.38,46.79,37.13,1:18.04,2:53.48,1295
9.75,12.80,,30.60,43.39,46.81,37.14,1:18.06,2:53.54,1294
,,19.54,30.61,43.41,46.83,37.15,1:18.09,2:53.60,1293
,12.81,19.55,30.62,43.42,46.85,37.16,1:18.11,2:53.66,1292
9.76,,,30.63,43.44,46.87,37.18,1:18.14,2:53.73,1291
,12.82,19.56,30.64,43.45,46.89,37.19,1:18.16,2:53.79,1290
,,19.57,30.66,43.46,46.91,37.20,1:18.19,2:53.85,1289
,12.83,,30.67,43.48,46.93,37.21,1:18.22,2:53.91,1288
9.77,,19.58,30.68,43.49,46.94,37.23,1:18.24,2:53.97,1287
,12.84,,30.69,43.50,46.96,37.24,1:18.27,2:54.04,1286
,,19.59,30.70,43.52,46.98,37.25,1:18.29,2:54.10,1285
,12.85,19.60,30.71,43.53,47.00,37.26,1:18.32,2:54.16,1284
9.78,,,30.72,43.55,47.02,37.28,1:18.34,2:54.22,1283
,12.86,19.61,30.73,43.56,47.04,37.29,1:18.37,2:54.28,1282
,,19.62,30.74,43.57,47.06,37.30,1:18.39,2:54.35,1281
9.79,12.87,,30.75,43.59,47.08,37.31,1:18.42,2:54.41,1280
,,19.63,30.76,43.60,47.10,37.33,1:18.45,2:54.47,1279
,12.88,,30.77,43.62,47.11,37.34,1:18.47,2:54.53,1278
,,19.64,30.78,43.63,47.13,37.35,1:18.50,2:54.60,1277
9.80,12.89,19.65,30.79,43.64,47.15,37.36,1:18.52,2:54.66,1276
,,,30.80,43.66,47.17,37.38,1:18.55,2:54.72,1275
,12.90,19.66,30.81,43.67,47.19,37.39,1:18.57,2:54.78,1274
9.81,,,30.82,43.68,47.21,37.40,1:18.60,2:54.85,1273
,12.91,19.67,30.83,43.70,47.23,37.42,1:18.63,2:54.91,1272
,,19.68,30.84,43.71,47.25,37.43,1:18.65,2:54.97,1271
,12.92,,30.85,43.73,47.27,37.44,1:18.68,2:55.03,1270
9.82,,19.69,30.86,43.74,47.29,37.45,1:18.70,2:55.10,1269
,12.93,19.70,30.87,43.75,47.30,37.47,1:18.73,2:55.16,1268
,,,30.88,43.77,47.32,37.48,1:18.75,2:55.22,1267
9.83,12.94,19.71,30.89,43.78,47.34,37.49,1:18.78,2:55.28,1266
,,,30.90,43.80,47.36,37.50,1:18.81,2:55.35,1265
,12.95,19.72,30.91,43.81,47.38,37.52,1:18.83,2:55.41,1264
,,19.73,30.92,43.82,47.40,37.53,1:18.86,2:55.47,1263
