100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
,14.14,21.18,33.34,47.06,51.83,40.47,1:24.86,3:10.08,1041
10.50,,21.19,33.36,47.08,51.85,40.49,1:24.89,3:10.15,1040
,14.15,,33.37,47.09,51.87,40.50,1:24.92,3:10.22,1039
,,21.20,33.38,47.11,51.89,40.52,1:24.94,3:10.28,1038
10.51,14.16,21.21,33.39,47.13,51.91,40.53,1:24.97,3:10.35,1037
,14.17,,33.40,47.14,51.94,40.54,1:25.00,3:10.42,1036
,,21.22,33.41,47.16,51.96,40.56,1:25.03,3:10.49,1035
10.52,14.18,21.23,33.42,47.17,51.98,40.57,1:25.06,3:10.56,1034
,,21.24,33.44,47.19,52.00,40.59,1:25.09,3:10.63,1033
,14.19,,33.45,47.20,52.02,40.60,1:25.11,3:10.70,1032
10.53,,21.25,33.46,47.22,52.04,40.61,1:25.14,3:10.77,1031
,14.20,21.26,33.47,47.23,52.06,40.63,1:25.17,3:10.84,1030
,,,33.48,47.25,52.08,40.64,1:25.20,3:10.91,1029
,14.21,21.27,33.49,47.26,52.10,40.66,1:25.23,3:10.98,1028
10.54,14.22,21.28,33.51,47.28,52.13,40.67,1:25.26,3:11.05,1027
,,,33.52,47.29,52.15,40.68,1:25.29,3:11.12,1026
,14.23,21.29,33.53,47.31,52.17,40.70,1:25.31,3:11.19,1025
10.55,,21.30,33.54,47.33,52.19,40.71,1:25.34,3:11.26,1024
,14.24,,33.55,47.34,52.21,40.73,1:25.37,3:11.33,1023
,,21.31,33.56,47.36,52.23,40.74,1:25.40,3:11.40,1022
10.56,14.25,21.32,33.57,47.37,52.25,40.75,1:25.43,3:11.47,1021
,14.26,21.33,33.59,47.39,52.27,40.77,1:25.46,3:11.54,1020
,,,33.60,47.40,52.29,40.78,1:25.49,3:11.61,1019
10.57,14.27,21.34,33.61,47.42,52.32,40.80,1:25.52,3:11.68,1018
,,21.35,33.62,47.43,52.34,40.81,1:25.54,3:11.75,1017
,14.28,,33.63,47.45,52.36,40.82,1:25.57,3:11.82,1016
10.58,,21.36,33.64,47.47,52.38,40.84,1:25.60,3:11.89,1015
,14.29,21.37,33.66,47.48,52.40,40.85,1:25.63,3:11.96,1014
,14.30,,33.67,47.50,52.42,40.87,1:25.66,3:12.03,1013
,,21.38,33.68,47.51,52.44,40.88,1:25.69,3:12.10,1012
10.59,14.31,21.39,33.69,47.53,52.46,40.89,1:25.72,3:12.17,1011
,,,33.70,47.54,52.49,40.91,1:25.75,3:12.24,1010
,14.32,21.40,33.71,47.56,52.51,40.92,1:25.77,3:12.31,1009
10.60,,21.41,33.73,47.57,52.53,40.94,1:25.80,3:12.38,1008
,14.33,21.42,33.74,47.59,52.55,40.95,1:25.83,3:12.45,1007
,14.34,,33.75,47.61,52.57,40.97,1:25.86,3:12.52,1006
10.61,,21.43,33.76,47.62,52.59,40.98,1:25.89,3:12.59,1005
,14.35,21.44,33.77,47.64,52.61,40.99,1:25.92,3:12.66,1004
,,,33.78,47.65,52.63,41.01,1:25.95,3:12.73,1003
10.62,14.36,21.45,33.80,47.67,52.66,41.02,1:25.98,3:12.80,1002
,,21.46,33.81,47.68,52.68,41.04,1:26.01,3:12.87,1001
,14.37,,33.82,47.70,52.70,41.05,1:26.03,3:12.94,1000
10.63,,21.47,33.83,47.71,52.72,41.07,1:26.06,3:13.01,999
,14.38,21.48,33.84,47.73,52.74,41.08,1:26.09,3:13.08,998
,14.39,21.49,33.85,47.75,52.76,41.09,1:26.12,3:13.15,997
10.64,,,33.87,47.76,52.78,41.11,1:26.15,3:13.22,996
,14.40,21.50,33.88,47.78,52.81,41.12,1:26.18,3:13.29,995
,,21.51,33.89,47.79,52.83,41.14,1:26.21,3:13.36,994
10.65,14.41,,33.90,47.81,52.85,41.15,1:26.24,3:13.43,993
,14.42,21.52,33.91,47.82,52.87,41.16,1:26.27,3:13.51,992
,,21.53,33.92,47.84,52.89,41.18,1:26.30,3:13.58,991
10.66,14.43,,33.94,47.86,52.91,41.19,1:26.32,3:13.65,990
,,21.54,33.95,47.87,52.93,41.21,1:26.35,3:13.72,989
,14.44,21.55,33.96,47.89,52.96,41.22,1:26.38,3:13.79,988
,,21.56,33.97,47.90,52.98,41.24,1:26.41,3:13.86,987
10.67,14.45,,33.98,47.92,53.00,41.25,1:26.44,3:13.93,986
,14.46,21.57,33.99,47.93,53.02,41.27,1:26.47,3:14.00,985
,,21.58,34.01,47.95,53.04,41.28,1:26.50,3:14.07,984
10.68,14.47,,34.02,47.97,53.06,41.29,1:26.53,3:14.14,983
,,21.59,34.03,47.98,53.09,41.31,1:26.56,3:14.22,982
,14.48,21.60,34.04,48.00,53.11,41.32,1:26.59,3:14.29,981
10.69,,21.61,34.05,48.01,53.13,41.34,1:26.62,3:14.36,980
,14.49,,34.07,48.03,53.15,41.35,1:26.65,3:14.43,979
,14.50,21.62,34.08,48.05,53.17,41.37,1:26.68,3:14.50,978
10.70,,21.63,34.09,48.06,53.19,41.38,1:26.70,3:14.57,977
,14.51,,34.10,48.08,53.22,41.39,1:26.73,3:14.64,976
,,21.64,34.11,48.09,53.24,41.41,1:26.76,3:14.71,975
10.71,14.52,21.65,34.12,48.11,53.26,41.42,1:26.79,3:14.79,974
,,21.66,34.14,48.12,53.28,41.44,1:26.82,3:14.86,973
,14.53,,34.15,48.14,53.30,41.45,1:26.85,3:14.93,972
10.72,14.54,21.67,34.16,48.16,53.32,41.47,1:26.88,3:15.00,971
,,21.68,34.17,48.17,53.35,41.48,1:26.91,3:15.07,970
,14.55,,34.18,48.19,53.37,41.50,1:26.94,3:15.14,969
10.73,,21.69,34.20,48.20,53.39,41.51,1:26.97,3:15.22,968
,14.56,21.70,34.21,48.22,53.41,41.52,1:27.00,3:15.29,967
,14.57,21.71,34.22,48.24,53.43,41.54,1:27.03,3:15.36,966
10.74,,,34.23,48.25,53.45,41.55,1:27.06,3:15.43,965
,14.58,21.72,34.24,48.27,53.48,41.57,1:27.09,3:15.50,964
,,21.73,34.26,48.28,53.50,41.58,1:27.12,3:15.57,963
10.75,14.59,,34.27,48.30,53.52,41.60,1:27.15,3:15.65,962
,,21.74,34.28,48.32,53.54,41.61,1:27.18,3:15.72,961
,14.60,21.75,34.29,48.33,53.56,41.63,1:27.21,3:15.79,960
10.76,14.61,21.76,34.30,48.35,53.59,41.64,1:27.24,3:15.86,959
,,,34.31,48.36,53.61,41.65,1:27.26,3:15.93,958
,14.62,21.77,34.33,48.38,53.63,41.67,1:27.29,3:16.01,957
,,21.78,34.34,48.40,53.65,41.68,1:27.32,3:16.08,956
10.77,14.63,,34.35,48.41,53.67,41.70,1:27.35,3:16.15,955
,14.64,21.79,34.36,48.43,53.69,41.71,1:27.38,3:16.22,954
,,21.80,34.37,48.44,53.72,41.73,1:27.41,3:16.29,953
10.78,14.65,21.81,34.39,48.46,53.74,41.74,1:27.44,3:16.37,952
,,,34.40,48.48,53.76,41.76,1:27.47,3:16.44,951
,14.66,21.82,34.41,48.49,53.78,41.77,1:27.50,3:16.51,950
10.79,,21.83,34.42,48.51,53.80,41.79,1:27.53,3:16.58,949
,14.67,,34.43,48.52,53.83,41.80,1:27.56,3:16.66,948
,14.68,21.84,34.45,48.54,53.85,41.82,1:27.59,3:16.73,947
10.80,,21.85,34.46,48.56,53.87,41.83,1:27.62,3:16.80,946
,14.69,21.86,34.47,48.57,53.89,41.84,1:27.65,3:16.87,945
,,,34.48,48.59,53.91,41.86,1:27.68,3:16.95,944
10.81,14.70,21.87,34.49,48.60,53.94,41.87,1:27.71,3:17.02,943
,14.71,21.88,34.51,48.62,53.96,41.89,1:27.74,3:17.09,942
,,,34.52,48.64,53.98,41.90,1:27.77,3:17.16,941
10.82,14.72,21.89,34.53,48.65,54.00,41.92,1:27.80,3:17.24,940
,,21.90,34.54,48.67,54.02,41.93,1:27.83,3:17.31,939
,14.73,21.91,34.56,48.68,54.05,41.95,1:27.86,3:17.38,938
10.83,,,34.57,48.70,54.07,41.96,1:27.89,3:17.46,937
,14.74,21.92,34.58,48.72,54.09,41.98,1:27.92,3:17.53,936
,14.75,21.93,34.59,48.73,54.11,41.99,1:27.95,3:17.60,935
10.84,,21.94,34.60,48.75,54.14,42.01,1:27.98,3:17.67,934
,14.76,,34.62,48.77,54.16,42.02,1:28.01,3:17.75,933
,,21.95,34.63,48.78,54.18,42.04,1:28.04,3:17.82,932
10.85,14.77,21.96,34.64,48.80,54.20,42.05,1:28.07,3:17.89,931
,14.78,,34.65,48.81,54.22,42.06,1:28.10,3:17.97,930
,,21.97,34.66,48.83,54.25,42.08,1:28.13,3:18.04,929
10.86,14.79,21.98,34.68,48.85,54.27,42.09,1:28.16,3:18.11,928
,,21.99,34.69,48.86,54.29,42.11,1:28.19,3:18.19,927
,14.80,,34.70,48.88,54.31,42.12,1:28.22,3:18.26,926
10.87,14.81,22.00,34.71,48.90,54.34,42.14,1:28.25,3:18.33,925
,,22.01,34.72,48.91,54.36,42.15,1:28.28,3:18.41,924
,14.82,22.02,34.74,48.93,54.38,42.17,1:28.31,3:18.48,923
10.88,,,34.75,48.94,54.40,42.18,1:28.34,3:18.55,922
,14.83,22.03,34.76,48.96,54.42,42.20,1:28.37,3:18.63,921
,14.84,22.04,34.77,48.98,54.45,42.21,1:28.40,3:18.70,920
10.89,,,34.79,48.99,54.47,42.23,1:28.43,3:18.77,919
,14.85,22.05,34.80,49.01,54.49,42.24,1:28.46,3:18.85,918
,,22.06,34.81,49.03,54.51,42.26,1:28.49,3:18.92,917
10.90,14.86,22.07,34.82,49.04,54.54,42.27,1:28.52,3:18.99,916
,14.87,,34.83,49.06,54.56,42.29,1:28.55,3:19.07,915
,,22.08,34.85,49.08,54.58,42.30,1:28.58,3:19.14,914
10.91,14.88,22.09,34.86,49.09,54.60,42.32,1:28.61,3:19.22,913
,,22.10,34.87,49.11,54.63,42.33,1:28.64,3:19.29,912
,14.89,,34.88,49.12,54.65,42.35,1:28.67,3:19.36,911
10.92,14.90,22.11,34.90,49.14,54.67,42.36,1:28.70,3:19.44,910
,,22.12,34.91,49.16,54.69,42.38,1:28.73,3:19.51,909
,14.91,22.13,34.92,49.17,54.72,42.39,1:28.76,3:19.58,908
10.93,,,34.93,49.19,54.74,42.41,1:28.80,3:19.66,907
,14.92,22.14,34.94,49.21,54.76,42.42,1:28.83,3:19.73,906
,14.93,22.15,34.96,49.22,54.78,42.44,1:28.86,3:19.81,905
10.94,,22.16,34.97,49.24,54.80,42.45,1:28.89,3:19.88,904
,14.94,,34.98,49.26,54.83,42.47,1:28.92,3:19.96,903
,,22.17,34.99,49.27,54.85,42.48,1:28.95,3:20.03,902
10.95,14.95,22.18,35.01,49.29,54.87,42.50,1:28.98,3:20.10,901
,14.96,,35.02,49.31,54.90,42.51,1:29.01,3:20.18,900
,,22.19,35.03,49.32,54.92,42.53,1:29.04,3:20.25,899
10.96,14.97,22.20,35.04,49.34,54.94,42.54,1:29.07,3:20.33,898
,,22.21,35.06,49.35,54.96,42.56,1:29.10,3:20.40,897
,14.98,,35.07,49.37,54.99,42.57,1:29.13,3:20.48,896
10.97,14.99,22.22,35.08,49.39,55.01,42.59,1:29.16,3:20.55,895
,,22.23,35.09,49.40,55.03,42.60,1:29.19,3:20.63,894
,15.00,22.24,35.10,49.42,55.05,42.62,1:29.22,3:20.70,893
10.98,,,35.12,49.44,55.08,42.63,1:29.25,3:20.77,892
,15.01,22.25,35.13,49.45,55.10,42.65,1:29.28,3:20.85,891
,15.02,22.26,35.14,49.47,55.12,42.66,1:29.32,3:20.92,890
10.99,,22.27,35.15,49.49,55.14,42.68,1:29.35,3:21.00,889
,15.03,,35.17,49.50,55.17,42.69,1:29.38,3:21.07,888
,,22.28,35.18,49.52,55.19,42.71,1:29.41,3:21.15,887
11.00,15.04,22.29,35.19,49.54,55.21,42.72,1:29.44,3:21.22,886
,15.05,22.30,35.20,49.55,55.23,42.74,1:29.47,3:21.30,885
,,,35.22,49.57,55.26,42.75,1:29.50,3:21.37,884
11.01,15.06,22.31,35.23,49.59,55.28,42.77,1:29.53,3:21.45,883
,,22.32,35.24,49.60,55.30,42.78,1:29.56,3:21.52,882
,15.07,22.33,35.25,49.62,55.33,42.80,1:29.59,3:21.60,881
11.02,15.08,,35.27,49.64,55.35,42.81,1:29.62,3:21.67,880
,,22.34,35.28,49.65,55.37,42.83,1:29.65,3:21.75,879
,15.09,22.35,35.29,49.67,55.39,42.84,1:29.69,3:21.82,878
11.03,,22.36,35.30,49.69,55.42,42.86,1:29.72,3:21.90,877
,15.10,,35.32,49.70,55.44,42.87,1:29.75,3:21.97,876
,15.11,22.37,35.33,49.72,55.46,42.89,1:29.78,3:22.05,875
11.04,,22.38,35.34,49.74,55.49,42.90,1:29.81,3:22.13,874
,15.12,22.39,35.35,49.75,55.51,42.92,1:29.84,3:22.20,873
,15.13,,35.37,49.77,55.53,42.93,1:29.87,3:22.28,872
11.05,,22.40,35.38,49.79,55.55,42.95,1:29.90,3:22.35,871
,15.14,22.41,35.39,49.80,55.58,42.96,1:29.93,3:22.43,870
11.06,,22.42,35.40,49.82,55.60,42.98,1:29.96,3:22.50,869
,15.15,,35.42,49.84,55.62,42.99,1:30.00,3:22.58,868
,15.16,22.43,35.43,49.85,55.65,43.01,1:30.03,3:22.65,867
11.07,,22.44,35.44,49.87,55.67,43.03,1:30.06,3:22.73,866
,15.17,22.45,35.45,49.89,55.69,43.04,1:30.09,3:22.81,865
,,,35.47,49.90,55.72,43.06,1:30.12,3:22.88,864
11.08,15.18,22.46,35.48,49.92,55.74,43.07,1:30.15,3:22.96,863
,15.19,22.47,35.49,49.94,55.76,43.09,1:30.18,3:23.03,862
,,22.48,35.50,49.96,55.78,43.10,1:30.21,3:23.11,861
11.09,15.20,,35.52,49.97,55.81,43.12,1:30.24,3:23.19,860
,15.21,22.49,35.53,49.99,55.83,43.13,1:30.28,3:23.26,859
,,22.50,35.54,50.01,55.85,43.15,1:30.31,3:23.34,858
11.10,15.22,22.51,35.55,50.02,55.88,43.16,1:30.34,3:23.41,857
,,,35.57,50.04,55.90,43.18,1:30.37,3:23.49,856
,15.23,22.52,35.58,50.06,55.92,43.19,1:30.40,3:23.57,855
11.11,15.24,22.53,35.59,50.07,55.95,43.21,1:30.43,3:23.64,854
,,22.54,35.61,50.09,55.97,43.22,1:30.46,3:23.72,853
,15.25,,35.62,50.11,55.99,43.24,1:30.50,3:23.80,852
11.12,,22.55,35.63,50.12,56.02,43.26,1:30.53,3:23.87,851
,15.26,22.56,35.64,50.14,56.04,43.27,1:30.56,3:23.95,850
,15.27,22.57,35.66,50.16,56.06,43.29,1:30.59,3:24.03,849
11.13,,,35.67,50.18,56.09,43.30,1:30.62,3:24.10,848
,15.28,22.58,35.68,50.19,56.11,43.32,1:30.65,3:24.18,847
,15.29,22.59,35.69,50.21,56.13,43.33,1:30.68,3:24.25,846
11.14,,22.60,35.71,50.23,56.16,43.35,1:30.72,3:24.33,845
,15.30,22.61,35.72,50.24,56.18,43.36,1:30.75,3:24.41,844
,,,35.73,50.26,56.20,43.38,1:30.78,3:24.49,843
11.15,15.31,22.62,35.74,50.28,56.23,43.39,1:30.81,3:24.56,842
,15.32,22.63,35.76,50.29,56.25,43.41,1:30.84,3:24.64,841
11.16,,22.64,35.77,50.31,56.27,43.43,1:30.87,3:24.72,840
,15.33,,35.78,50.33,56.30,43.44,1:30.90,3:24.79,839
,15.34,22.65,35.80,50.35,56.32,43.46,1:30.94,3:24.87,838
11.17,,22.66,35.81,50.36,56.34,43.47,1:30.97,3:24.95,837
,15.35,22.67,35.82,50.38,56.37,43.49,1:31.00,3:25.02,836
,,,35.83,50.40,56.39,43.50,1:31.03,3:25.10,835
11.18,15.36,22.68,35.85,50.41,56.41,43.52,1:31.06,3:25.18,834
,15.37,22.69,35.86,50.43,56.44,43.53,1:31.10,3:25.26,833
,,22.70,35.87,50.45,56.46,43.55,1:31.13,3:25.33,832
11.19,15.38,22.71,35.89,50.47,56.48,43.57,1:31.16,3:25.41,831
,15.39,,35.90,50.48,56.51,43.58,1:31.19,3:25.49,830
,,22.72,35.91,50.50,56.53,43.60,1:31.22,3:25.57,829
11.20,15.40,22.73,35.92,50.52,56.55,43.61,1:31.25,3:25.64,828
,,22.74,35.94,50.53,56.58,43.63,1:31.29,3:25.72,827
,15.41,,35.95,50.55,56.60,43.64,1:31.32,3:25.80,826
11.21,15.42,22.75,35.96,50.57,56.62,43.66,1:31.35,3:25.88,825
,,22.76,35.98,50.59,56.65,43.68,1:31.38,3:25.95,824
,15.43,22.77,35.99,50.60,56.67,43.69,1:31.41,3:26.03,823
11.22,15.44,,36.00,50.62,56.69,43.71,1:31.45,3:26.11,822
,,22.78,36.01,50.64,56.72,43.72,1:31.48,3:26.19,821
11.23,15.45,22.79,36.03,50.66,56.74,43.74,1:31.51,3:26.26,820
,,22.80,36.04,50.67,56.77,43.75,1:31.54,3:26.34,819
,15.46,22.81,36.05,50.69,56.79,43.77,1:31.57,3:26.42,818
11.24,15.47,,36.07,50.71,56.81,43.79,1:31.61,3:26.50,817
,,22.82,36.08,50.72,56.84,43.80,1:31.64,3:26.58,816
,15.48,22.83,36.09,50.74,56.86,43.82,1:31.67,3:26.65,815
11.25,15.49,22.84,36.10,50.76,56.88,43.83,1:31.70,3:26.73,814
,,,36.12,50.78,56.91,43.85,1:31.73,3:26.81,813
,15.50,22.85,36.13,50.79,56.93,43.86,1:31.77,3:26.89,812
11.26,15.51,22.86,36.14,50.81,56.95,43.88,1:31.80,3:26.97,811
,,22.87,36.16,50.83,56.98,43.90,1:31.83,3:27.05,810
,15.52,22.88,36.17,50.85,57.00,43.91,1:31.86,3:27.12,809
11.27,,,36.18,50.86,57.03,43.93,1:31.89,3:27.20,808
,15.53,22.89,36.20,50.88,57.05,43.94,1:31.93,3:27.28,807
,15.54,22.90,36.21,50.90,57.07,43.96,1:31.96,3:27.36,806
11.28,,22.91,36.22,50.92,57.10,43.97,1:31.99,3:27.44,805
,15.55,,36.23,50.93,57.12,43.99,1:32.02,3:27.52,804
11.29,15.56,22.92,36.25,50.95,57.15,44.01,1:32.06,3:27.60,803
,,22.93,36.26,50.97,57.17,44.02,1:32.09,3:27.67,802
,15.57,22.94,36.27,50.99,57.19,44.04,1:32.12,3:27.75,801
11.30,15.58,22.95,36.29,51.00,57.22,44.05,1:32.15,3:27.83,800
,,,36.30,51.02,57.24,44.07,1:32.19,3:27.91,799
,15.59,22.96,36.31,51.04,57.26,44.09,1:32.22,3:27.99,798
11.31,,22.97,36.33,51.06,57.29,44.10,1:32.25,3:28.07,797
,15.60,22.98,36.34,51.07,57.31,44.12,1:32.28,3:28.15,796
,15.61,22.99,36.35,51.09,57.34,44.13,1:32.32,3:28.23,795
11.32,,,36.37,51.11,57.36,44.15,1:32.35,3:28.31,794
,15.62,23.00,36.38,51.13,57.38,44.17,1:32.38,3:28.38,793
,15.63,23.01,36.39,51.14,57.41,44.18,1:32.41,3:28.46,792
11.33,,23.02,36.40,51.16,57.43,44.20,1:32.45,3:28.54,791
,15.64,,36.42,51.18,57.46,44.21,1:32.48,3:28.62,790
11.34,15.65,23.03,36.43,51.20,57.48,44.23,1:32.51,3:28.70,789
,,23.04,36.44,51.21,57.51,44.25,1:32.54,3:28.78,788
,15.66,23.05,36.46,51.23,57.53,44.26,1:32.58,3:28.86,787
11.35,15.67,23.06,36.47,51.25,57.55,44.28,1:32.61,3:28.94,786
,,,36.48,51.27,57.58,44.29,1:32.64,3:29.02,785
,15.68,23.07,36.50,51.28,57.60,44.31,1:32.67,3:29.10,784
11.36,,23.08,36.51,51.30,57.63,44.33,1:32.71,3:29.18,783
,15.69,23.09,36.52,51.32,57.65,44.34,1:32.74,3:29.26,782
,15.70,23.10,36.54,51.34,57.67,44.36,1:32.77,3:29.34,781
11.37,,,36.55,51.36,57.70,44.37,1:32.81,3:29.42,780
,15.71,23.11,36.56,51.37,57.72,44.39,1:32.84,3:29.50,779
,15.72,23.12,36.58,51.39,57.75,44.41,1:32.87,3:29.58,778
11.38,,23.13,36.59,51.41,57.77,44.42,1:32.90,3:29.66,777
,15.73,23.14,36.60,51.43,57.80,44.44,1:32.94,3:29.74,776
11.39,15.74,,36.62,51.44,57.82,44.45,1:32.97,3:29.82,775
,,23.15,36.63,51.46,57.84,44.47,1:33.00,3:29.90,774
,15.75,23.16,36.64,51.48,57.87,44.49,1:33.04,3:29.98,773
11.40,15.76,23.17,36.66,51.50,57.89,44.50,1:33.07,3:30.06,772
,,23.18,36.67,51.52,57.92,44.52,1:33.10,3:30.14,771
,15.77,,36.68,51.53,57.94,44.54,1:33.13,3:30.22,770
11.41,15.78,23.19,36.70,51.55,57.97,44.55,1:33.17,3:30.30,769
,,23.20,36.71,51.57,57.99,44.57,1:33.20,3:30.38,768
,15.79,23.21,36.72,51.59,58.01,44.58,1:33.23,3:30.46,767
11.42,,23.22,36.74,51.60,58.04,44.60,1:33.27,3:30.54,766
,15.80,,36.75,51.62,58.06,44.62,1:33.30,3:30.62,765
11.43,15.81,23.23,36.76,51.64,58.09,44.63,1:33.33,3:30.70,764
,,23.24,36.78,51.66,58.11,44.65,1:33.37,3:30.78,763
,15.82,23.25,36.79,51.68,58.14,44.67,1:33.40,3:30.86,762
11.44,15.83,23.26,36.80,51.69,58.16,44.68,1:33.43,3:30.95,761
,,,36.82,51.71,58.19,44.70,1:33.47,3:31.03,760
,15.84,23.27,36.83,51.73,58.21,44.71,1:33.50,3:31.11,759
11.45,15.85,23.28,36.84,51.75,58.24,44.73,1:33.53,3:31.19,758
,,23.29,36.86,51.77,58.26,44.75,1:33.57,3:31.27,757
,15.86,23.30,36.87,51.78,58.28,44.76,1:33.60,3:31.35,756
11.46,15.87,,36.88,51.80,58.31,44.78,1:33.63,3:31.43,755
,,23.31,36.90,51.82,58.33,44.80,1:33.67,3:31.51,754
11.47,15.88,23.32,36.91,51.84,58.36,44.81,1:33.70,3:31.59,753
,15.89,23.33,36.92,51.86,58.38,44.83,1:33.73,3:31.67,752
,,23.34,36.94,51.87,58.41,44.85,1:33.77,3:31.76,751
11.48,15.90,,36.95,51.89,58.43,44.86,1:33.80,3:31.84,750
,15.91,23.35,36.96,51.91,58.46,44.88,1:33.83,3:31.92,749
,,23.36,36.98,51.93,58.48,44.89,1:33.87,3:32.00,748
11.49,15.92,23.37,36.99,51.95,58.51,44.91,1:33.90,3:32.08,747
,15.93,23.38,37.00,51.96,58.53,44.93,1:33.93,3:32.16,746
11.50,,,37.02,51.98,58.56,44.94,1:33.97,3:32.25,745
,15.94,23.39,37.03,52.00,58.58,44.96,1:34.00,3:32.33,744
,15.95,23.40,37.05,52.02,58.61,44.98,1:34.03,3:32.41,743
11.51,,23.41,37.06,52.04,58.63,44.99,1:34.07,3:32.49,742
,15.96,23.42,37.07,52.06,58.66,45.01,1:34.10,3:32.57,741
,15.97,23.43,37.09,52.07,58.68,45.03,1:34.14,3:32.65,740
11.52,,,37.10,52.09,58.71,45.04,1:34.17,3:32.74,739
,15.98,23.44,37.11,52.11,58.73,45.06,1:34.20,3:32.82,738
,15.99,23.45,37.13,52.13,58.76,45.08,1:34.24,3:32.90,737
11.53,,23.46,37.14,52.15,58.78,45.09,1:34.27,3:32.98,736
,16.00,23.47,37.15,52.16,58.81,45.11,1:34.30,3:33.07,735
11.54,16.01,,37.17,52.18,58.83,45.13,1:34.34,3:33.15,734
,,23.48,37.18,52.20,58.85,45.14,1:34.37,3:33.23,733
,16.02,23.49,37.20,52.22,58.88,45.16,1:34.41,3:33.31,732
11.55,16.03,23.50,37.21,52.24,58.91,45.18,1:34.44,3:33.39,731
,,23.51,37.22,52.26,58.93,45.19,1:34.47,3:33.48,730
,16.04,23.52,37.24,52.27,58.96,45.21,1:34.51,3:33.56,729
11.56,16.05,,37.25,52.29,58.98,45.23,1:34.54,3:33.64,728
,,23.53,37.26,52.31,59.01,45.24,1:34.58,3:33.73,727
11.57,16.06,23.54,37.28,52.33,59.03,45.26,1:34.61,3:33.81,726
,16.07,23.55,37.29,52.35,59.06,45.28,1:34.64,3:33.89,725
,,23.56,37.30,52.37,59.08,45.29,1:34.68,3:33.97,724
11.58,16.08,23.57,37.32,52.38,59.11,45.31,1:34.71,3:34.06,723
,16.09,,37.33,52.40,59.13,45.33,1:34.75,3:34.14,722
,,23.58,37.35,52.42,59.16,45.34,1:34.78,3:34.22,721
11.59,16.10,23.59,37.36,52.44,59.18,45.36,1:34.81,3:34.31,720
,16.11,23.60,37.37,52.46,59.21,45.38,1:34.85,3:34.39,719
11.60,,23.61,37.39,52.48,59.23,45.39,1:34.88,3:34.47,718
,16.12,,37.40,52.49,59.26,45.41,1:34.92,3:34.56,717
,16.13,23.62,37.41,52.51,59.28,45.43,1:34.95,3:34.64,716
11.61,,23.63,37.43,52.53,59.31,45.44,1:34.98,3:34.72,715
,16.14,23.64,37.44,52.55,59.33,45.46,1:35.02,3:34.81,714
,16.15,23.65,37.46,52.57,59.36,45.48,1:35.05,3:34.89,713
11.62,,23.66,37.47,52.59,59.38,45.49,1:35.09,3:34.97,712
,16.16,,37.48,52.61,59.41,45.51,1:35.12,3:35.06,711
11.63,16.17,23.67,37.50,52.62,59.43,45.53,1:35.16,3:35.14,710
,,23.68,37.51,52.64,59.46,45.54,1:35.19,3:35.22,709
,16.18,23.69,37.53,52.66,59.49,45.56,1:35.23,3:35.31,708
11.64,16.19,23.70,37.54,52.68,59.51,45.58,1:35.26,3:35.39,707
,,23.71,37.55,52.70,59.54,45.60,1:35.29,3:35.48,706
,16.20,,37.57,52.72,59.56,45.61,1:35.33,3:35.56,705
11.65,16.21,23.72,37.58,52.74,59.59,45.63,1:35.36,3:35.64,704
,16.22,23.73,37.60,52.75,59.61,45.65,1:35.40,3:35.73,703
11.66,,23.74,37.61,52.77,59.64,45.66,1:35.43,3:35.81,702
,16.23,23.75,37.62,52.79,59.66,45.68,1:35.47,3:35.90,701
,16.24,23.76,37.64,52.81,59.69,45.70,1:35.50,3:35.98,700
11.67,,,37.65,52.83,59.71,45.71,1:35.54,3:36.06,699
,16.25,23.77,37.67,52.85,59.74,45.73,1:35.57,3:36.15,698
11.68,16.26,23.78,37.68,52.87,59.77,45.75,1:35.61,3:36.23,697
,,23.79,37.69,52.89,59.79,45.77,1:35.64,3:36.32,696
,16.27,23.80,37.71,52.90,59.82,45.78,1:35.68,3:36.40,695
11.69,16.28,23.81,37.72,52.92,59.84,45.80,1:35.71,3:36.49,694
,,23.82,37.74,52.94,59.87,45.82,1:35.74,3:36.57,693
,16.29,,37.75,52.96,59.89,45.83,1:35.78,3:36.66,692
11.70,16.30,23.83,37.76,52.98,59.92,45.85,1:35.81,3:36.74,691
,,23.84,37.78,53.00,59.95,45.87,1:35.85,3:36.83,690
11.71,16.31,23.85,37.79,53.02,59.97,45.88,1:35.88,3:36.91,689
,16.32,23.86,37.81,53.04,1:00.00,45.90,1:35.92,3:37.00,688
,,23.87,37.82,53.06,1:00.02,45.92,1:35.95,3:37.08,687
11.72,16.33,,37.83,53.07,1:00.05,45.94,1:35.99,3:37.17,686
,16.34,23.88,37.85,53.09,1:00.07,45.95,1:36.02,3:37.25,685
11.73,16.35,23.89,37.86,53.11,1:00.10,45.97,1:36.06,3:37.34,684
,,23.90,37.88,53.13,1:00.13,45.99,1:36.09,3:37.42,683
,16.36,23.91,37.89,53.15,1:00.15,46.01,1:36.13,3:37.51,682
11.74,16.37,23.92,37.90,53.17,1:00.18,46.02,1:36.16,3:37.59,681
,,23.93,37.92,53.19,1:00.20,46.04,1:36.20,3:37.68,680
,16.38,,37.93,53.21,1:00.23,46.06,1:36.23,3:37.76,679
