Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,00:14.5,Hayley Fix,F,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
2,00:15.0,Lana Bolin,F,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
3,00:16.1,Amanda Richter,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
4,00:17.0,Melinda Paas,F,Unknown,1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
5,00:17.2,Sandy Brown,F,Unknown,1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
6,00:17.5,Laura Green,F,Unknown,1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
7,00:17.7,Dorothy Finnigan,F,Unknown,1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
7,00:17.7,Bronwyn Neeser,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
9,00:18.3,Becky Provance,F,Unknown,1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
10,00:18.6,Laura Provance,F,Unknown,1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
11,00:18.8,Taylor Glenn,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
11,00:18.8,Hannah Staehr,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
11,00:18.8,Kelsey Deutch,F,Unknown,1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
14,00:18.9,Joanne Swain,F,Unknown,1992,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
14,00:18.9,Joanne Swain,F,Unknown,1992,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
16,00:19.0,Heather Marriott,F,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
17,00:19.2,Christa Rypins,F,Unknown,1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
18,00:19.5,Chloe Hirschowitz,F,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
18,00:19.5,Laura Ernst,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
20,00:19.7,KC Canter,F,Unknown,1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
21,00:19.8,Verena Rau,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
22,00:20.2,Sandy Amass,F,Unknown,1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
23,00:20.5,Anna Kruk,F,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
24,00:20.7,Lauren Rice,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
25,00:20.8,Kaylin Meyers,F,USA,14/05/2022,Time Trial,https://www.youtube.com/shorts/bB0j1avE8g4
26,00:21.3,Becky Kresser,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
27,00:21.6,Kelsey Harr,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
27,00:21.6,Elizabeth Sanberg,F,Unknown,1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
29,00:21.7,Carol Mills,F,Unknown,1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
29,00:21.7,Nicole Deese,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
31,00:21.9,Joanne Dintzis,F,Unknown,1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
32,00:22.4,Tina Fraser,F,Unknown,1988,"IJA, Denver",http://www.juggling.org/orgs/ija/champs.txt
33,00:22.8,Jane Hussey,F,Unknown,1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
34,00:23.4,Jeri Kalvan,F,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
35,00:23.6,Meghan Cain,F,Unknown,1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
36,00:24.6,Sofia Meyer,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
37,00:25.2,Louison Vatin,F,FRA,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
38,00:25.4,Karen Phariss,F,Unknown,1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
38,00:25.4,Laurie Young,F,Unknown,1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
40,00:25.6,Veronika Rieckh,F,AUT,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
41,00:26.2,Marion Caldwell,F,Unknown,1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
41,00:26.2,Aubree Kolas,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
43,00:27.8,Tanja Schwanke,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
44,00:28.7,Cindy Hout,F,Unknown,1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
45,00:29.1,Stephanie Walsh,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
46,00:32.7,Michelle Grossman,F,Unknown,1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
47,00:33.4,Corinne Ozolins,F,Unknown,1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
48,00:33.8,Silvia Osiek,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
49,00:34.4,Jowita Nowogrodzka-Ligeza,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
50,00:35.9,Jane Birkhead,F,Unknown,1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
51,00:36.0,Liana McClintock,F,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
52,00:39.7,Sophia Rosman,F,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
53,00:48.2,Rebecca Middleton,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
54,01:09.2,Joy Dean,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
55,01:22.3,Gay Shope,F,Unknown,2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
