Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,1:57:55.00,0,Jarek Widomski,M,POL,03/04/2022,"Pabianice, Poland",
2,2:24:00.00,0,Tim Butler,M,GBR,08/08/2010,Newark Half Marathon,https://www.youtube.com/watch?v=K0y6jjFVx7o  https://www.facebook.com/photo/?fbid=1467928150956&set=a.1200853594259
