Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:42.80,Heather Marriott,F,USA,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
2,0:01:05.40,Amanda Richter,F,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
3,0:01:07.50,Taylor Glenn,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
4,0:01:14.00,Joanne Swain,F,Unknown,1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
5,0:01:14.38,Lauren Rice,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
6,0:01:30.59,Dorothy Finnigan,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
7,0:01:35.00,Bronwyn Neeser,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
8,0:01:38.00,Mara Moettus,F,Unknown,2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
9,0:01:49.00,Meagan Nouis,F,Unknown,2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
10,0:01:52.00,Sofia Meyer,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
11,0:02:01.00,Laura Kaseman,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
12,0:02:17.40,Laura Ernst,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
13,0:02:39.00,Hannah Staehr,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
