Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:01:10.50,Matthew Feldman,M,USA,09/08/2011,Time Trial,https://www.youtube.com/watch?v=cLH2TQC3KiQ  https://www.guinnessworldrecords.com/world-records/fastest-400-m-joggling-with-five-objects-male
2,0:01:44.30,Ben Thompson,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
3,0:01:57.00,Matan Presberg,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
4,0:02:04.20,Nicholas Thomas,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
5,0:02:09.60,Mark Fiore,M,USA,20/07/2013,"IJA, Bowling Green",IJA Database
5,0:02:09.60,Nick Thomas,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
7,0:02:14.20,Nicolas Souren,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
8,0:02:21.02,Scott Jenkins,M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
9,0:02:25.40,Jack Denger,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
10,0:02:29.40,Kylen McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
11,0:02:31.00,Mike Moore,M,USA,24/07/2018,"IJA, Springfield",IJA Database
12,0:02:31.80,Kyle Albrecht,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
13,0:03:03.70,Davld Pavlove Cunsolo,M,Unknown,2020,"IJA, Virtual",IJA Database
14,0:03:04.20,Jared Janssen,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
15,0:03:23.40,Reid Johnson,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
16,0:03:32.40,Bennett Santora,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
17,0:03:37.40,Chris Dokler,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
18,0:03:43.60,Daniel Van Hoomissen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
19,0:03:50.50,Bryan Nguyen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
20,0:04:02.90,Christopher Haaser,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
21,0:04:03.90,Barry Goldmeier,M,USA,24/07/2018,"IJA, Springfield",IJA Database
22,0:04:04.30,Len Ferman,M,USA,24/07/2018,"IJA, Springfield",IJA Database
23,0:04:26.80,Joey Spicola,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
24,0:04:28.70,David Pavlove Cunsolo,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
25,0:04:39.10,Danny Hodge,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
26,0:04:55.30,Christopher van Hoomissen,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
27,0:05:00.00,Matt Bagley,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
28,0:05:03.70,Adam Eckman,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
29,0:05:29.80,Sterling Franklin,M,USA,2020,"IJA, Virtual",IJA Database
30,0:05:46.00,Garrett Borawski,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
31,0:06:17.70,Justice Seifert,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
32,0:06:31.00,Joshua Black,M,Unknown,2020,"IJA, Virtual",IJA Database
33,0:06:33.00,Caleb Black,M,Unknown,2020,"IJA, Virtual",IJA Database
34,0:07:19.30,Vincent Kaseman,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
35,0:07:27.60,Carter Randall,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
36,0:13:06.20,Raphael Harris,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
