Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:15.40,98,Kaupo Pilder,EST,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
3c 100m,M,0:00:18.34,0,Kaupo Pilder,EST,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
5b 100m,M,0:01:40.91,0,Kaupo Pilder,EST,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
3b 400m,M,0:01:15.64,16,Kaupo Pilder,EST,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b Mile,M,0:07:12.00,0,Kaupo Pilder,EST,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 5km,M,0:24:55.00,0,kaupo Pilder,EST,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b Half Marathon,M,2:07:07.00,0,Kaupo Pilder,EST,13/09/2025,Swedbank Tallinn marathon,https://www.jooks.ee/et/tallinna-maraton/tulemused-2025?version=20250915_112242_22&lang_id=1&competition_id=&results_competition_id=186&action=&node_client_id=598&name=Kaupo+Pilder&team=&distance_id=784&gender_id=gender_id&class_id=#rows
