Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:16.35,24,Eyal Bor,MEX,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
3c 100m,M,0:00:17.64,0,Eyal Bor,MEX,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
5b 100m,M,0:00:24.66,0,Eyal Bor,MEX,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
7b 100m,M,0:01:22.17,0,Eyal Bor,MEX,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
3b 400m,M,0:01:26.20,0,Eyal Bor,MEX,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b 10km,M,0:55:53.00,0,Jorge Vilchis,MEX,13/03/2017,SEDENA 10km,https://www.instagram.com/reel/BRlnTukgLnd/
