Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:13.97,224,Mark Fiore,M,USA,22/07/2023,"IJA, Southbend",IJA Database
2,0:00:14.84,113,Sterling Franklin,M,USA,2024,"IJA, Virtual",IJA Database
3,0:00:15.11,87,Jared Janssen,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
4,0:00:15.44,59,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
5,0:00:16.25,13,Michal Kapral,M,CAN,2022,"IJA, Virtual",IJA Database
6,0:00:16.42,8,Scott Jenkins,M,GBR,20/04/2024,"British Joggler Meetup, Darlington",Manually recorded by Chris Edwin
7,0:00:19.80,0,Caleb Black,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
8,0:00:20.00,0,Christoph Mitasch,M,Unknown,2022,"IJA, Virtual",IJA Database
9,0:00:20.20,0,Giovanni Gaole,M,Unknown,2022,"IJA, Virtual",IJA Database
10,0:00:27.33,0,Kozlov Dmitry,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
11,0:00:27.36,0,Chris Fowler,M,Unknown,2021,IJA Virtual,IJA Database
12,0:00:28.03,0,James Auriemma,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
13,0:00:30.03,0,Torsten Hornemann,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
14,0:00:31.40,0,Valentin Bolognini,M,Unknown,2021,IJA Virtual,IJA Database
15,0:00:32.30,0,Vorobey Artur,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
16,0:00:34.08,0,Orlov Vladimir,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
17,0:00:37.73,0,Draco Tong,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
18,0:00:45.42,0,Kovalenko Alexey,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
19,0:00:46.93,0,Gramotin Anton,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
20,0:01:05.70,0,Rain Pierce,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
21,0:01:24.00,0,Zyablitsky Alexander,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
22,0:01:27.00,0,Romanov Nikita,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
23,0:01:32.55,0,Yaroshenko Stepan,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
24,0:01:47.36,0,Tingaev Stanislav,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
25,0:04:53.74,0,Chris Edwin,M,GBR,08/09/2024,British Joggler Meet Up - Leeds,Manually Timed by Scott Jenkins
