Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:52:46.00,0,Jarek Widomski,M,POL,24/04/2022,"DOZ 10km, Lodz",https://live.sts-timing.pl/dozmaratonlodz2022/person.php?n=3059&dystans=2
2,1:05:37.00,0,Levent Denizci,M,TUR,2017,Ignite Istanbul,
3,1:07:07.00,0,JL Coldham,M,GBR,24/09/2023,Chester Zoo,https://www.strava.com/activities/9909388387
4,2:06:23.00,0,Tim Butler,M,GBR,06/04/2025,City of Lincoln 10k,https://www.facebook.com/1616132354/posts/pfbid0fvW3FGwCT79Q1thK8QvXJkhKRZ8cYgDANy2p6XYHWpeAWVV1aJLc7yQk6rEhyEUhl/?app=fbl       https://chiptiming.co.uk/events/run-for-all-city-of-lincoln-10k-2025-2025/4721/
