Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,F,0:00:15.90,486,Melinda Paas,CAN,30/07/1999,"IJA, Niagara Falls",IJA Database
5b 100m,F,0:01:52.60,0,Gabrielle Foran,CAN,24/07/2018,"IJA, Springfield",IJA Database
3b 200m,F,0:00:35.76,247,Gabrielle Foran,CAN,29/06/2019,"IJA, Fort Wayne",IJA Database
5b 200m,F,0:03:29.60,0,Gabrielle Foran,CAN,29/06/2019,"IJA, Fort Wayne",IJA Database
3b 400m,F,0:01:13.90,458,Gabrielle Foran,CAN,30/07/2016,"IJA, El Paso, Texas",IJA Database
3b 800m,F,0:02:38.30,582,Gabrielle Foran,CAN,24/07/2018,"IJA, Springfield",IJA Database
3b Mile,F,0:05:40.00,671,Gabrielle Foran,CAN,30/07/2016,"IJA, El Paso, Texas",IJA Database
3b 5km,F,0:18:12.00,820,Gabrielle Foran,CAN,05/07/2015,Guelph 5km,https://sites.google.com/site/guelph5kjoggling/results
3b 10km,F,0:40:06.00,763,Gabrielle Foran,CAN,04/06/2016,"Moon in June, Burlington, Ontario",http://www.recordholders.org/en/list/joggling.html
