Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:01:18.66,0,"Stijn Westerbeek, Marijn, Luuk Hofmeijer, Karel Schuller",M,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
2,0:01:19.78,0,"Kevin Niittyviita, David Lohuis, Shimon Levikov, Tamino Larisch",M,Mixed,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
3,0:01:29.69,0,"Anezka Houhova, Jan Marc Daumin, Vasek Peca, Luca Pferdmenges",M,Mixed,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
4,0:02:25.50,0,"Bosznay Balazs, Istvan Toth, Balazs Palmai, Bence Onodi",M,HUN,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
