Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:16.01,24,Stijn Westerbeek,M,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
2,0:00:16.63,24,David Lohuis,M,DEU,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
3,0:00:16.66,24,Karel Schuller,M,NLD,02/08/2026,European Joggling Championships 2026 - Day 1 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
4,0:00:16.85,24,Kevin Niittyviita,M,FIN,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
5,0:00:16.94,24,Tamino Larisch,M,DEU,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
6,0:00:17.15,0,Luca Pferdmenges,M,DEU,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
7,0:00:17.35,0,Robbe Mertens,M,BEL,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
8,0:00:17.55,0,Shimon Levikov,M,DEU,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
9,0:00:17.63,0,Jan Marc Daumin,M,DEU,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
10,0:00:17.64,0,Eyal Bor,M,MEX,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
11,0:00:18.32,0,Thom Herzmark,M,GBR,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
12,0:00:18.34,0,Kaupo Pilder,M,EST,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
13,0:00:18.38,0,Kenny Cheung,M,AUS,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
14,0:00:18.41,0,Francisco Munoz Valdes,M,CHL,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
15,0:00:19.04,0,Finn Mertens,M,BEL,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
16,0:00:19.60,0,Samuel Tittelein,M,FRA,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
17,0:00:20.00,0,Thomas Killus,M,DEU,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
18,0:00:20.32,0,Erik Toll,M,SWE,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
19,0:00:20.37,0,Oskaras Venckus,M,LTU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
20,0:00:20.53,0,Joe Kara,M,AUS,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
21,0:00:20.76,0,Marius Tritschler,M,DEU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
22,0:00:21.06,0,Gordon Wilson,M,GBR,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
23,0:00:21.78,0,Paul Adam,M,DEU,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
24,0:00:21.85,0,Luuk Hofmeijer,M,NLD,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
25,0:00:22.19,0,Jakub Tomko,M,SVK,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
26,0:00:22.97,0,Robert Harkonen,M,FIN,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
27,0:00:23.13,0,Scott Jenkins,M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
28,0:00:24.35,0,Nevio Krawowski,M,DEU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
29,0:00:24.47,0,Kanoa Lindiwe,M,USA,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
30,0:00:24.48,0,Cajus Fahrenkamp,M,DEU,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
31,0:00:24.92,0,Jean-Guy Beaudry,M,CAN,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
32,0:00:25.41,0,Felix Spiller,M,DEU,02/08/2026,European Joggling Championships 2026 - Day 1 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
