Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:04:40.23,446,Samuel Dean,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
2,0:04:54.08,336,Scott Jenkins,M,GBR,30/05/2025,Track Time Trial,Manually timed by Sam Dean. https://www.strava.com/activities/14645861689
3,0:04:59.96,293,Jonathan Abbott,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
4,0:05:03.00,273,Michel Lauzière,M,CAN,18/07/1981,"IJA, Cleveland, Ohio","Email exchange inc photo of newpaper article, http://www.juggling.org/orgs/ija/champs.txt"
5,0:05:26.00,141,Bill Giduz,M,USA,18/07/1981,"IJA, Cleveland, Ohio",https://dev.juggle.org/history/champs/champs1981.php
6,0:05:31.00,118,Calvin Staley,M,USA,01/05/2024," Pilot Butte Middle School Meet #1, Bend, Oregon","https://www.athletic.net/TrackAndField/meet/551146/results/m/3/1500m

https://youtu.be/WCAjO15PdWk?si=OthtgNMSdwFjdIQQ"
7,0:05:31.50,116,Nathan Nard,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
8,0:05:35.00,101,Daniel Raum,M,AUT,2025,"IJA, Virtual",IJA Database
9,0:05:36.00,97,Gerry Berg,M,Unknown,18/07/1981,"IJA, Cleveland, Ohio",https://dev.juggle.org/history/champs/champs1981.php
10,0:05:38.95,86,Sterling Franklin,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
11,0:05:39.20,85,Christoph Mitasch,M,AUT,2025,"IJA, Virtual",IJA Database
12,0:06:01.20,23,Eric Raivo,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
13,0:06:01.68,22,Mark Fiore,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
14,0:06:13.50,5,Craig Muhlenkamp,M,USA,2025,"IJA, Virtual",IJA Database
15,0:06:39.31,0,Barak Hirschowitz,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
16,0:06:39.57,0,Jacob Heimer,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
17,0:06:54.04,0,Mikey Free,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
18,0:08:13.35,0,Draco Tong,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
19,0:08:54.33,0,Jack Hirschowitz,M,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
20,0:09:41.04,0,Aaron Heilig,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
21,0:59:59.99,0,Mike Hout,M,Unknown,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
