Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,5:51:41.00,Barry Goldmeier,M,USA,10/10/2010,Chicago Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=67101010&Gen=B&Begin=31706&End=31805&Max=36159
2,7:07:16.00,Billy Gillen,M,USA,06/11/1988,New York City Marathon,"https://results.nyrr.org/event/881106/finishers/1329691#search=William%2520Gillen     https://www.dev.juggle.org/history/archives/jugmags/41-3/41-3,p6.htm"
