Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,F,0:00:21.67,9,Anezka Houhova,CZE,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
3c 100m,F,0:00:51.72,0,Iveta Navratilova,CZE,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
5b 100m,F,0:00:57.76,0,Daniela Palickova,CZE,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b 400m,F,0:01:33.54,96,Anezka Houhova,CZE,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
3b 5km,F,0:37:28.00,0,Katerina Matulova,CZE,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
