Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:32.70,39,Sterling Franklin,M,USA,2024,"IJA, Virtual",IJA Database
2,0:00:33.50,20,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
3,0:00:38.88,0,Matthew Feldman,M,USA,2021,IJA Virtual,IJA Database
4,0:00:40.47,0,Joel Hilchey,M,Unknown,2021,IJA Virtual,IJA Database
5,0:00:40.50,0,David Pavlove Cunsolo,M,Unknown,2021,IJA Virtual,IJA Database
6,0:00:43.10,0,Ilia Poliakov,M,ISR,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
7,0:00:46.74,0,Christoph Mitasch,M,AUT,2021,IJA Virtual,IJA Database
8,0:00:56.50,0,Dmitry Kozlov,M,RUS,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
9,0:01:36.00,0,Peter Zaitsev,M,RUS,25/7/2021,"Kalininsky District Open Joggling Championship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8154
10,0:01:49.50,0,Valentin Bolognini,M,Unknown,2021,IJA Virtual,IJA Database
