10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
32:36,49:41,53:28,1:07:02,1:10:49,1:25:13,1:43:52,2:30:37,7:01:30,1127
32:37,49:42,53:30,1:07:04,1:10:52,1:25:16,1:43:56,2:30:43,7:01:46,1126
32:38,49:44,53:32,1:07:06,1:10:54,1:25:19,1:44:00,2:30:49,7:02:02,1125
32:39,49:46,53:34,1:07:09,1:10:57,1:25:22,1:44:04,2:30:55,7:02:18,1124
32:40,49:48,53:35,1:07:11,1:10:59,1:25:25,1:44:08,2:31:01,7:02:34,1123
32:42,49:49,53:37,1:07:14,1:11:02,1:25:28,1:44:12,2:31:07,7:02:50,1122
32:43,49:51,53:39,1:07:16,1:11:04,1:25:32,1:44:16,2:31:13,7:03:06,1121
32:44,49:53,53:41,1:07:18,1:11:07,1:25:35,1:44:20,2:31:20,7:03:22,1120
32:45,49:55,53:43,1:07:21,1:11:09,1:25:38,1:44:24,2:31:26,7:03:38,1119
32:46,49:56,53:45,1:07:23,1:11:12,1:25:41,1:44:28,2:31:32,7:03:54,1118
32:47,49:58,53:47,1:07:25,1:11:14,1:25:44,1:44:32,2:31:38,7:04:10,1117
32:48,50:00,53:49,1:07:28,1:11:17,1:25:47,1:44:36,2:31:44,7:04:26,1116
32:50,50:02,53:51,1:07:30,1:11:19,1:25:50,1:44:40,2:31:50,7:04:42,1115
32:51,50:03,53:52,1:07:33,1:11:22,1:25:54,1:44:44,2:31:56,7:04:58,1114
32:52,50:05,53:54,1:07:35,1:11:24,1:25:57,1:44:48,2:32:03,7:05:14,1113
32:53,50:07,53:56,1:07:37,1:11:27,1:26:00,1:44:52,2:32:09,7:05:30,1112
32:54,50:09,53:58,1:07:40,1:11:29,1:26:03,1:44:56,2:32:15,7:05:46,1111
32:55,50:10,54:00,1:07:42,1:11:32,1:26:06,1:45:00,2:32:21,7:06:02,1110
32:56,50:12,54:02,1:07:45,1:11:34,1:26:09,1:45:04,2:32:27,7:06:18,1109
32:57,50:14,54:04,1:07:47,1:11:37,1:26:12,1:45:08,2:32:33,7:06:34,1108
32:59,50:16,54:06,1:07:49,1:11:40,1:26:16,1:45:12,2:32:39,7:06:50,1107
33:00,50:17,54:08,1:07:52,1:11:42,1:26:19,1:45:16,2:32:46,7:07:06,1106
33:01,50:19,54:09,1:07:54,1:11:45,1:26:22,1:45:20,2:32:52,7:07:22,1105
33:02,50:21,54:11,1:07:56,1:11:47,1:26:25,1:45:24,2:32:58,7:07:39,1104
33:03,50:23,54:13,1:07:59,1:11:50,1:26:28,1:45:28,2:33:04,7:07:55,1103
33:04,50:24,54:15,1:08:01,1:11:52,1:26:31,1:45:32,2:33:10,7:08:11,1102
33:05,50:26,54:17,1:08:04,1:11:55,1:26:34,1:45:36,2:33:16,7:08:27,1101
33:07,50:28,54:19,1:08:06,1:11:57,1:26:38,1:45:40,2:33:23,7:08:43,1100
33:08,50:30,54:21,1:08:08,1:12:00,1:26:41,1:45:44,2:33:29,7:08:59,1099
33:09,50:32,54:23,1:08:11,1:12:02,1:26:44,1:45:48,2:33:35,7:09:15,1098
33:10,50:33,54:25,1:08:13,1:12:05,1:26:47,1:45:52,2:33:41,7:09:31,1097
33:11,50:35,54:27,1:08:16,1:12:07,1:26:50,1:45:56,2:33:47,7:09:48,1096
33:12,50:37,54:28,1:08:18,1:12:10,1:26:53,1:46:00,2:33:54,7:10:04,1095
33:13,50:39,54:30,1:08:20,1:12:12,1:26:57,1:46:04,2:34:00,7:10:20,1094
33:15,50:40,54:32,1:08:23,1:12:15,1:27:00,1:46:08,2:34:06,7:10:36,1093
33:16,50:42,54:34,1:08:25,1:12:18,1:27:03,1:46:12,2:34:12,7:10:52,1092
33:17,50:44,54:36,1:08:28,1:12:20,1:27:06,1:46:16,2:34:18,7:11:08,1091
33:18,50:46,54:38,1:08:30,1:12:23,1:27:09,1:46:20,2:34:25,7:11:25,1090
33:19,50:47,54:40,1:08:32,1:12:25,1:27:12,1:46:24,2:34:31,7:11:41,1089
33:20,50:49,54:42,1:08:35,1:12:28,1:27:16,1:46:28,2:34:37,7:11:57,1088
33:22,50:51,54:44,1:08:37,1:12:30,1:27:19,1:46:32,2:34:43,7:12:13,1087
33:23,50:53,54:46,1:08:40,1:12:33,1:27:22,1:46:36,2:34:49,7:12:29,1086
33:24,50:55,54:48,1:08:42,1:12:35,1:27:25,1:46:40,2:34:56,7:12:46,1085
33:25,50:56,54:49,1:08:45,1:12:38,1:27:28,1:46:44,2:35:02,7:13:02,1084
33:26,50:58,54:51,1:08:47,1:12:41,1:27:31,1:46:48,2:35:08,7:13:18,1083
33:27,51:00,54:53,1:08:49,1:12:43,1:27:35,1:46:52,2:35:14,7:13:34,1082
33:28,51:02,54:55,1:08:52,1:12:46,1:27:38,1:46:56,2:35:21,7:13:51,1081
33:30,51:03,54:57,1:08:54,1:12:48,1:27:41,1:47:00,2:35:27,7:14:07,1080
33:31,51:05,54:59,1:08:57,1:12:51,1:27:44,1:47:04,2:35:33,7:14:23,1079
33:32,51:07,55:01,1:08:59,1:12:53,1:27:47,1:47:08,2:35:39,7:14:40,1078
33:33,51:09,55:03,1:09:01,1:12:56,1:27:51,1:47:12,2:35:46,7:14:56,1077
33:34,51:11,55:05,1:09:04,1:12:58,1:27:54,1:47:16,2:35:52,7:15:12,1076
33:35,51:12,55:07,1:09:06,1:13:01,1:27:57,1:47:20,2:35:58,7:15:28,1075
33:36,51:14,55:09,1:09:09,1:13:04,1:28:00,1:47:24,2:36:04,7:15:45,1074
33:38,51:16,55:11,1:09:11,1:13:06,1:28:03,1:47:28,2:36:11,7:16:01,1073
33:39,51:18,55:12,1:09:14,1:13:09,1:28:07,1:47:32,2:36:17,7:16:17,1072
33:40,51:19,55:14,1:09:16,1:13:11,1:28:10,1:47:36,2:36:23,7:16:34,1071
33:41,51:21,55:16,1:09:18,1:13:14,1:28:13,1:47:40,2:36:29,7:16:50,1070
33:42,51:23,55:18,1:09:21,1:13:16,1:28:16,1:47:44,2:36:36,7:17:06,1069
33:43,51:25,55:20,1:09:23,1:13:19,1:28:19,1:47:48,2:36:42,7:17:23,1068
33:45,51:27,55:22,1:09:26,1:13:22,1:28:23,1:47:52,2:36:48,7:17:39,1067
33:46,51:28,55:24,1:09:28,1:13:24,1:28:26,1:47:56,2:36:54,7:17:56,1066
33:47,51:30,55:26,1:09:31,1:13:27,1:28:29,1:48:00,2:37:01,7:18:12,1065
33:48,51:32,55:28,1:09:33,1:13:29,1:28:32,1:48:05,2:37:07,7:18:28,1064
33:49,51:34,55:30,1:09:35,1:13:32,1:28:35,1:48:09,2:37:13,7:18:45,1063
33:50,51:36,55:32,1:09:38,1:13:35,1:28:39,1:48:13,2:37:20,7:19:01,1062
33:52,51:37,55:34,1:09:40,1:13:37,1:28:42,1:48:17,2:37:26,7:19:18,1061
33:53,51:39,55:36,1:09:43,1:13:40,1:28:45,1:48:21,2:37:32,7:19:34,1060
33:54,51:41,55:38,1:09:45,1:13:42,1:28:48,1:48:25,2:37:38,7:19:50,1059
33:55,51:43,55:39,1:09:48,1:13:45,1:28:51,1:48:29,2:37:45,7:20:07,1058
33:56,51:45,55:41,1:09:50,1:13:47,1:28:55,1:48:33,2:37:51,7:20:23,1057
33:57,51:46,55:43,1:09:53,1:13:50,1:28:58,1:48:37,2:37:57,7:20:40,1056
33:59,51:48,55:45,1:09:55,1:13:53,1:29:01,1:48:41,2:38:04,7:20:56,1055
34:00,51:50,55:47,1:09:57,1:13:55,1:29:04,1:48:45,2:38:10,7:21:13,1054
34:01,51:52,55:49,1:10:00,1:13:58,1:29:08,1:48:49,2:38:16,7:21:29,1053
34:02,51:54,55:51,1:10:02,1:14:00,1:29:11,1:48:53,2:38:23,7:21:46,1052
34:03,51:55,55:53,1:10:05,1:14:03,1:29:14,1:48:57,2:38:29,7:22:02,1051
34:04,51:57,55:55,1:10:07,1:14:06,1:29:17,1:49:02,2:38:35,7:22:19,1050
34:06,51:59,55:57,1:10:10,1:14:08,1:29:21,1:49:06,2:38:42,7:22:35,1049
34:07,52:01,55:59,1:10:12,1:14:11,1:29:24,1:49:10,2:38:48,7:22:52,1048
34:08,52:03,56:01,1:10:15,1:14:13,1:29:27,1:49:14,2:38:54,7:23:08,1047
34:09,52:04,56:03,1:10:17,1:14:16,1:29:30,1:49:18,2:39:01,7:23:25,1046
34:10,52:06,56:05,1:10:19,1:14:19,1:29:33,1:49:22,2:39:07,7:23:41,1045
34:11,52:08,56:07,1:10:22,1:14:21,1:29:37,1:49:26,2:39:13,7:23:58,1044
34:13,52:10,56:09,1:10:24,1:14:24,1:29:40,1:49:30,2:39:20,7:24:14,1043
34:14,52:12,56:11,1:10:27,1:14:26,1:29:43,1:49:34,2:39:26,7:24:31,1042
34:15,52:13,56:13,1:10:29,1:14:29,1:29:46,1:49:38,2:39:32,7:24:48,1041
34:16,52:15,56:15,1:10:32,1:14:32,1:29:50,1:49:43,2:39:39,7:25:04,1040
34:17,52:17,56:16,1:10:34,1:14:34,1:29:53,1:49:47,2:39:45,7:25:21,1039
34:18,52:19,56:18,1:10:37,1:14:37,1:29:56,1:49:51,2:39:51,7:25:37,1038
34:20,52:21,56:20,1:10:39,1:14:39,1:29:59,1:49:55,2:39:58,7:25:54,1037
34:21,52:22,56:22,1:10:42,1:14:42,1:30:03,1:49:59,2:40:04,7:26:11,1036
34:22,52:24,56:24,1:10:44,1:14:45,1:30:06,1:50:03,2:40:11,7:26:27,1035
34:23,52:26,56:26,1:10:47,1:14:47,1:30:09,1:50:07,2:40:17,7:26:44,1034
34:24,52:28,56:28,1:10:49,1:14:50,1:30:12,1:50:11,2:40:23,7:27:00,1033
34:26,52:30,56:30,1:10:52,1:14:53,1:30:16,1:50:15,2:40:30,7:27:17,1032
34:27,52:32,56:32,1:10:54,1:14:55,1:30:19,1:50:20,2:40:36,7:27:34,1031
34:28,52:33,56:34,1:10:56,1:14:58,1:30:22,1:50:24,2:40:42,7:27:50,1030
34:29,52:35,56:36,1:10:59,1:15:00,1:30:25,1:50:28,2:40:49,7:28:07,1029
34:30,52:37,56:38,1:11:01,1:15:03,1:30:29,1:50:32,2:40:55,7:28:24,1028
34:31,52:39,56:40,1:11:04,1:15:06,1:30:32,1:50:36,2:41:02,7:28:40,1027
34:33,52:41,56:42,1:11:06,1:15:08,1:30:35,1:50:40,2:41:08,7:28:57,1026
34:34,52:42,56:44,1:11:09,1:15:11,1:30:39,1:50:44,2:41:14,7:29:14,1025
34:35,52:44,56:46,1:11:11,1:15:14,1:30:42,1:50:48,2:41:21,7:29:30,1024
34:36,52:46,56:48,1:11:14,1:15:16,1:30:45,1:50:53,2:41:27,7:29:47,1023
34:37,52:48,56:50,1:11:16,1:15:19,1:30:48,1:50:57,2:41:34,7:30:04,1022
34:39,52:50,56:52,1:11:19,1:15:21,1:30:52,1:51:01,2:41:40,7:30:21,1021
34:40,52:52,56:54,1:11:21,1:15:24,1:30:55,1:51:05,2:41:46,7:30:37,1020
34:41,52:53,56:56,1:11:24,1:15:27,1:30:58,1:51:09,2:41:53,7:30:54,1019
34:42,52:55,56:58,1:11:26,1:15:29,1:31:02,1:51:13,2:41:59,7:31:11,1018
34:43,52:57,57:00,1:11:29,1:15:32,1:31:05,1:51:17,2:42:06,7:31:28,1017
34:44,52:59,57:02,1:11:31,1:15:35,1:31:08,1:51:22,2:42:12,7:31:44,1016
34:46,53:01,57:04,1:11:34,1:15:37,1:31:11,1:51:26,2:42:19,7:32:01,1015
34:47,53:03,57:06,1:11:36,1:15:40,1:31:15,1:51:30,2:42:25,7:32:18,1014
34:48,53:04,57:08,1:11:39,1:15:43,1:31:18,1:51:34,2:42:31,7:32:35,1013
34:49,53:06,57:10,1:11:41,1:15:45,1:31:21,1:51:38,2:42:38,7:32:52,1012
34:50,53:08,57:12,1:11:44,1:15:48,1:31:25,1:51:42,2:42:44,7:33:08,1011
34:52,53:10,57:14,1:11:46,1:15:50,1:31:28,1:51:47,2:42:51,7:33:25,1010
34:53,53:12,57:16,1:11:49,1:15:53,1:31:31,1:51:51,2:42:57,7:33:42,1009
34:54,53:14,57:18,1:11:51,1:15:56,1:31:34,1:51:55,2:43:04,7:33:59,1008
34:55,53:15,57:19,1:11:54,1:15:58,1:31:38,1:51:59,2:43:10,7:34:16,1007
34:56,53:17,57:21,1:11:56,1:16:01,1:31:41,1:52:03,2:43:17,7:34:33,1006
34:58,53:19,57:23,1:11:59,1:16:04,1:31:44,1:52:07,2:43:23,7:34:50,1005
34:59,53:21,57:25,1:12:01,1:16:06,1:31:48,1:52:12,2:43:30,7:35:06,1004
35:00,53:23,57:27,1:12:04,1:16:09,1:31:51,1:52:16,2:43:36,7:35:23,1003
35:01,53:25,57:29,1:12:06,1:16:12,1:31:54,1:52:20,2:43:42,7:35:40,1002
35:02,53:27,57:31,1:12:09,1:16:14,1:31:58,1:52:24,2:43:49,7:35:57,1001
35:04,53:28,57:33,1:12:11,1:16:17,1:32:01,1:52:28,2:43:55,7:36:14,1000
35:05,53:30,57:35,1:12:14,1:16:20,1:32:04,1:52:33,2:44:02,7:36:31,999
35:06,53:32,57:37,1:12:16,1:16:22,1:32:07,1:52:37,2:44:08,7:36:48,998
35:07,53:34,57:39,1:12:19,1:16:25,1:32:11,1:52:41,2:44:15,7:37:05,997
35:08,53:36,57:41,1:12:21,1:16:28,1:32:14,1:52:45,2:44:21,7:37:22,996
35:10,53:38,57:43,1:12:24,1:16:30,1:32:17,1:52:49,2:44:28,7:37:39,995
35:11,53:39,57:45,1:12:26,1:16:33,1:32:21,1:52:54,2:44:34,7:37:56,994
35:12,53:41,57:47,1:12:29,1:16:36,1:32:24,1:52:58,2:44:41,7:38:13,993
35:13,53:43,57:49,1:12:31,1:16:38,1:32:27,1:53:02,2:44:47,7:38:30,992
35:14,53:45,57:51,1:12:34,1:16:41,1:32:31,1:53:06,2:44:54,7:38:47,991
35:16,53:47,57:53,1:12:37,1:16:44,1:32:34,1:53:10,2:45:00,7:39:04,990
35:17,53:49,57:55,1:12:39,1:16:46,1:32:37,1:53:15,2:45:07,7:39:21,989
35:18,53:51,57:57,1:12:42,1:16:49,1:32:41,1:53:19,2:45:13,7:39:38,988
35:19,53:52,57:59,1:12:44,1:16:52,1:32:44,1:53:23,2:45:20,7:39:55,987
35:20,53:54,58:01,1:12:47,1:16:54,1:32:47,1:53:27,2:45:26,7:40:12,986
35:22,53:56,58:03,1:12:49,1:16:57,1:32:51,1:53:31,2:45:33,7:40:29,985
35:23,53:58,58:05,1:12:52,1:17:00,1:32:54,1:53:36,2:45:40,7:40:46,984
35:24,54:00,58:07,1:12:54,1:17:02,1:32:57,1:53:40,2:45:46,7:41:03,983
35:25,54:02,58:09,1:12:57,1:17:05,1:33:01,1:53:44,2:45:53,7:41:20,982
35:26,54:04,58:11,1:12:59,1:17:08,1:33:04,1:53:48,2:45:59,7:41:37,981
35:28,54:06,58:13,1:13:02,1:17:11,1:33:07,1:53:53,2:46:06,7:41:54,980
35:29,54:07,58:15,1:13:04,1:17:13,1:33:11,1:53:57,2:46:12,7:42:11,979
35:30,54:09,58:17,1:13:07,1:17:16,1:33:14,1:54:01,2:46:19,7:42:28,978
35:31,54:11,58:19,1:13:09,1:17:19,1:33:17,1:54:05,2:46:25,7:42:45,977
35:32,54:13,58:22,1:13:12,1:17:21,1:33:21,1:54:09,2:46:32,7:43:02,976
35:34,54:15,58:24,1:13:15,1:17:24,1:33:24,1:54:14,2:46:39,7:43:19,975
35:35,54:17,58:26,1:13:17,1:17:27,1:33:27,1:54:18,2:46:45,7:43:37,974
35:36,54:19,58:28,1:13:20,1:17:29,1:33:31,1:54:22,2:46:52,7:43:54,973
35:37,54:21,58:30,1:13:22,1:17:32,1:33:34,1:54:26,2:46:58,7:44:11,972
35:39,54:22,58:32,1:13:25,1:17:35,1:33:38,1:54:31,2:47:05,7:44:28,971
35:40,54:24,58:34,1:13:27,1:17:37,1:33:41,1:54:35,2:47:11,7:44:45,970
35:41,54:26,58:36,1:13:30,1:17:40,1:33:44,1:54:39,2:47:18,7:45:02,969
35:42,54:28,58:38,1:13:32,1:17:43,1:33:48,1:54:43,2:47:25,7:45:20,968
35:43,54:30,58:40,1:13:35,1:17:46,1:33:51,1:54:48,2:47:31,7:45:37,967
35:45,54:32,58:42,1:13:37,1:17:48,1:33:54,1:54:52,2:47:38,7:45:54,966
35:46,54:34,58:44,1:13:40,1:17:51,1:33:58,1:54:56,2:47:44,7:46:11,965
35:47,54:36,58:46,1:13:43,1:17:54,1:34:01,1:55:00,2:47:51,7:46:28,964
35:48,54:37,58:48,1:13:45,1:17:56,1:34:05,1:55:05,2:47:58,7:46:46,963
35:50,54:39,58:50,1:13:48,1:17:59,1:34:08,1:55:09,2:48:04,7:47:03,962
35:51,54:41,58:52,1:13:50,1:18:02,1:34:11,1:55:13,2:48:11,7:47:20,961
35:52,54:43,58:54,1:13:53,1:18:05,1:34:15,1:55:18,2:48:17,7:47:37,960
35:53,54:45,58:56,1:13:55,1:18:07,1:34:18,1:55:22,2:48:24,7:47:55,959
35:54,54:47,58:58,1:13:58,1:18:10,1:34:21,1:55:26,2:48:31,7:48:12,958
35:56,54:49,59:00,1:14:01,1:18:13,1:34:25,1:55:30,2:48:37,7:48:29,957
35:57,54:51,59:02,1:14:03,1:18:15,1:34:28,1:55:35,2:48:44,7:48:47,956
35:58,54:53,59:04,1:14:06,1:18:18,1:34:32,1:55:39,2:48:50,7:49:04,955
35:59,54:54,59:06,1:14:08,1:18:21,1:34:35,1:55:43,2:48:57,7:49:21,954
36:01,54:56,59:08,1:14:11,1:18:24,1:34:38,1:55:48,2:49:04,7:49:38,953
36:02,54:58,59:10,1:14:13,1:18:26,1:34:42,1:55:52,2:49:10,7:49:56,952
36:03,55:00,59:12,1:14:16,1:18:29,1:34:45,1:55:56,2:49:17,7:50:13,951
36:04,55:02,59:14,1:14:19,1:18:32,1:34:49,1:56:00,2:49:24,7:50:30,950
36:05,55:04,59:16,1:14:21,1:18:35,1:34:52,1:56:05,2:49:30,7:50:48,949
36:07,55:06,59:18,1:14:24,1:18:37,1:34:55,1:56:09,2:49:37,7:51:05,948
36:08,55:08,59:20,1:14:26,1:18:40,1:34:59,1:56:13,2:49:44,7:51:23,947
36:09,55:10,59:22,1:14:29,1:18:43,1:35:02,1:56:18,2:49:50,7:51:40,946
36:10,55:11,59:25,1:14:31,1:18:45,1:35:06,1:56:22,2:49:57,7:51:57,945
36:12,55:13,59:27,1:14:34,1:18:48,1:35:09,1:56:26,2:50:04,7:52:15,944
36:13,55:15,59:29,1:14:37,1:18:51,1:35:12,1:56:31,2:50:10,7:52:32,943
36:14,55:17,59:31,1:14:39,1:18:54,1:35:16,1:56:35,2:50:17,7:52:50,942
36:15,55:19,59:33,1:14:42,1:18:56,1:35:19,1:56:39,2:50:24,7:53:07,941
36:17,55:21,59:35,1:14:44,1:18:59,1:35:23,1:56:43,2:50:30,7:53:24,940
36:18,55:23,59:37,1:14:47,1:19:02,1:35:26,1:56:48,2:50:37,7:53:42,939
36:19,55:25,59:39,1:14:50,1:19:05,1:35:29,1:56:52,2:50:44,7:53:59,938
36:20,55:27,59:41,1:14:52,1:19:07,1:35:33,1:56:56,2:50:50,7:54:17,937
36:21,55:29,59:43,1:14:55,1:19:10,1:35:36,1:57:01,2:50:57,7:54:34,936
36:23,55:31,59:45,1:14:57,1:19:13,1:35:40,1:57:05,2:51:04,7:54:52,935
36:24,55:32,59:47,1:15:00,1:19:16,1:35:43,1:57:09,2:51:11,7:55:09,934
36:25,55:34,59:49,1:15:03,1:19:18,1:35:47,1:57:14,2:51:17,7:55:27,933
36:26,55:36,59:51,1:15:05,1:19:21,1:35:50,1:57:18,2:51:24,7:55:44,932
36:28,55:38,59:53,1:15:08,1:19:24,1:35:53,1:57:22,2:51:31,7:56:02,931
36:29,55:40,59:55,1:15:10,1:19:27,1:35:57,1:57:27,2:51:37,7:56:19,930
36:30,55:42,59:57,1:15:13,1:19:29,1:36:00,1:57:31,2:51:44,7:56:37,929
36:31,55:44,1:00:00,1:15:16,1:19:32,1:36:04,1:57:35,2:51:51,7:56:54,928
36:33,55:46,1:00:02,1:15:18,1:19:35,1:36:07,1:57:40,2:51:58,7:57:12,927
36:34,55:48,1:00:04,1:15:21,1:19:38,1:36:11,1:57:44,2:52:04,7:57:30,926
36:35,55:50,1:00:06,1:15:23,1:19:41,1:36:14,1:57:49,2:52:11,7:57:47,925
36:36,55:52,1:00:08,1:15:26,1:19:43,1:36:17,1:57:53,2:52:18,7:58:05,924
36:38,55:54,1:00:10,1:15:29,1:19:46,1:36:21,1:57:57,2:52:25,7:58:22,923
36:39,55:55,1:00:12,1:15:31,1:19:49,1:36:24,1:58:02,2:52:31,7:58:40,922
36:40,55:57,1:00:14,1:15:34,1:19:52,1:36:28,1:58:06,2:52:38,7:58:58,921
36:41,55:59,1:00:16,1:15:37,1:19:54,1:36:31,1:58:10,2:52:45,7:59:15,920
36:43,56:01,1:00:18,1:15:39,1:19:57,1:36:35,1:58:15,2:52:52,7:59:33,919
36:44,56:03,1:00:20,1:15:42,1:20:00,1:36:38,1:58:19,2:52:58,7:59:51,918
36:45,56:05,1:00:22,1:15:44,1:20:03,1:36:42,1:58:23,2:53:05,8:00:08,917
36:46,56:07,1:00:24,1:15:47,1:20:05,1:36:45,1:58:28,2:53:12,8:00:26,916
36:48,56:09,1:00:26,1:15:50,1:20:08,1:36:49,1:58:32,2:53:19,8:00:43,915
36:49,56:11,1:00:29,1:15:52,1:20:11,1:36:52,1:58:37,2:53:25,8:01:01,914
36:50,56:13,1:00:31,1:15:55,1:20:14,1:36:55,1:58:41,2:53:32,8:01:19,913
36:51,56:15,1:00:33,1:15:58,1:20:17,1:36:59,1:58:45,2:53:39,8:01:37,912
36:53,56:17,1:00:35,1:16:00,1:20:19,1:37:02,1:58:50,2:53:46,8:01:54,911
36:54,56:19,1:00:37,1:16:03,1:20:22,1:37:06,1:58:54,2:53:53,8:02:12,910
36:55,56:21,1:00:39,1:16:05,1:20:25,1:37:09,1:58:58,2:53:59,8:02:30,909
36:56,56:23,1:00:41,1:16:08,1:20:28,1:37:13,1:59:03,2:54:06,8:02:48,908
36:58,56:24,1:00:43,1:16:11,1:20:31,1:37:16,1:59:07,2:54:13,8:03:05,907
36:59,56:26,1:00:45,1:16:13,1:20:33,1:37:20,1:59:12,2:54:20,8:03:23,906
37:00,56:28,1:00:47,1:16:16,1:20:36,1:37:23,1:59:16,2:54:27,8:03:41,905
37:01,56:30,1:00:49,1:16:19,1:20:39,1:37:27,1:59:20,2:54:33,8:03:59,904
37:03,56:32,1:00:52,1:16:21,1:20:42,1:37:30,1:59:25,2:54:40,8:04:16,903
37:04,56:34,1:00:54,1:16:24,1:20:45,1:37:34,1:59:29,2:54:47,8:04:34,902
37:05,56:36,1:00:56,1:16:27,1:20:47,1:37:37,1:59:34,2:54:54,8:04:52,901
37:07,56:38,1:00:58,1:16:29,1:20:50,1:37:41,1:59:38,2:55:01,8:05:10,900
37:08,56:40,1:01:00,1:16:32,1:20:53,1:37:44,1:59:43,2:55:08,8:05:28,899
37:09,56:42,1:01:02,1:16:34,1:20:56,1:37:48,1:59:47,2:55:14,8:05:45,898
37:10,56:44,1:01:04,1:16:37,1:20:59,1:37:51,1:59:51,2:55:21,8:06:03,897
37:12,56:46,1:01:06,1:16:40,1:21:01,1:37:55,1:59:56,2:55:28,8:06:21,896
37:13,56:48,1:01:08,1:16:42,1:21:04,1:37:58,2:00:00,2:55:35,8:06:39,895
37:14,56:50,1:01:10,1:16:45,1:21:07,1:38:02,2:00:05,2:55:42,8:06:57,894
37:15,56:52,1:01:13,1:16:48,1:21:10,1:38:05,2:00:09,2:55:49,8:07:15,893
37:17,56:54,1:01:15,1:16:50,1:21:13,1:38:09,2:00:13,2:55:55,8:07:33,892
37:18,56:56,1:01:17,1:16:53,1:21:15,1:38:12,2:00:18,2:56:02,8:07:51,891
37:19,56:58,1:01:19,1:16:56,1:21:18,1:38:16,2:00:22,2:56:09,8:08:09,890
37:20,57:00,1:01:21,1:16:58,1:21:21,1:38:19,2:00:27,2:56:16,8:08:27,889
37:22,57:02,1:01:23,1:17:01,1:21:24,1:38:23,2:00:31,2:56:23,8:08:44,888
37:23,57:03,1:01:25,1:17:04,1:21:27,1:38:26,2:00:36,2:56:30,8:09:02,887
37:24,57:05,1:01:27,1:17:06,1:21:30,1:38:30,2:00:40,2:56:37,8:09:20,886
37:26,57:07,1:01:29,1:17:09,1:21:32,1:38:33,2:00:45,2:56:44,8:09:38,885
37:27,57:09,1:01:32,1:17:12,1:21:35,1:38:37,2:00:49,2:56:51,8:09:56,884
37:28,57:11,1:01:34,1:17:14,1:21:38,1:38:40,2:00:53,2:56:57,8:10:14,883
37:29,57:13,1:01:36,1:17:17,1:21:41,1:38:44,2:00:58,2:57:04,8:10:32,882
37:31,57:15,1:01:38,1:17:20,1:21:44,1:38:47,2:01:02,2:57:11,8:10:50,881
37:32,57:17,1:01:40,1:17:22,1:21:47,1:38:51,2:01:07,2:57:18,8:11:08,880
37:33,57:19,1:01:42,1:17:25,1:21:49,1:38:54,2:01:11,2:57:25,8:11:26,879
37:34,57:21,1:01:44,1:17:28,1:21:52,1:38:58,2:01:16,2:57:32,8:11:44,878
37:36,57:23,1:01:46,1:17:30,1:21:55,1:39:01,2:01:20,2:57:39,8:12:02,877
37:37,57:25,1:01:49,1:17:33,1:21:58,1:39:05,2:01:25,2:57:46,8:12:21,876
37:38,57:27,1:01:51,1:17:36,1:22:01,1:39:09,2:01:29,2:57:53,8:12:39,875
37:40,57:29,1:01:53,1:17:39,1:22:04,1:39:12,2:01:34,2:58:00,8:12:57,874
37:41,57:31,1:01:55,1:17:41,1:22:06,1:39:16,2:01:38,2:58:07,8:13:15,873
37:42,57:33,1:01:57,1:17:44,1:22:09,1:39:19,2:01:43,2:58:14,8:13:33,872
37:43,57:35,1:01:59,1:17:47,1:22:12,1:39:23,2:01:47,2:58:20,8:13:51,871
37:45,57:37,1:02:01,1:17:49,1:22:15,1:39:26,2:01:52,2:58:27,8:14:09,870
37:46,57:39,1:02:04,1:17:52,1:22:18,1:39:30,2:01:56,2:58:34,8:14:27,869
37:47,57:41,1:02:06,1:17:55,1:22:21,1:39:33,2:02:01,2:58:41,8:14:45,868
37:49,57:43,1:02:08,1:17:57,1:22:24,1:39:37,2:02:05,2:58:48,8:15:04,867
37:50,57:45,1:02:10,1:18:00,1:22:26,1:39:41,2:02:10,2:58:55,8:15:22,866
37:51,57:47,1:02:12,1:18:03,1:22:29,1:39:44,2:02:14,2:59:02,8:15:40,865
37:52,57:49,1:02:14,1:18:06,1:22:32,1:39:48,2:02:19,2:59:09,8:15:58,864
37:54,57:51,1:02:16,1:18:08,1:22:35,1:39:51,2:02:23,2:59:16,8:16:16,863
37:55,57:53,1:02:19,1:18:11,1:22:38,1:39:55,2:02:28,2:59:23,8:16:35,862
37:56,57:55,1:02:21,1:18:14,1:22:41,1:39:58,2:02:32,2:59:30,8:16:53,861
37:58,57:57,1:02:23,1:18:16,1:22:44,1:40:02,2:02:37,2:59:37,8:17:11,860
37:59,57:59,1:02:25,1:18:19,1:22:47,1:40:05,2:02:41,2:59:44,8:17:29,859
38:00,58:01,1:02:27,1:18:22,1:22:49,1:40:09,2:02:46,2:59:51,8:17:48,858
38:01,58:03,1:02:29,1:18:24,1:22:52,1:40:13,2:02:50,2:59:58,8:18:06,857
38:03,58:05,1:02:31,1:18:27,1:22:55,1:40:16,2:02:55,3:00:05,8:18:24,856
38:04,58:07,1:02:34,1:18:30,1:22:58,1:40:20,2:02:59,3:00:12,8:18:42,855
