Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:34.34,Lana Bolin,F,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
2,0:00:39.40,Heather Marriott,F,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
3,0:00:41.53,Amanda Richter,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
4,0:00:44.60,Dorothy Finnigan,F,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
5,0:00:44.75,Sofia Meyer,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
6,0:00:46.60,Nicole Deese,F,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
7,0:00:50.16,Hannah Staehr,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
8,0:00:51.73,Zoe Roy,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
9,0:00:52.22,Chloe Hirschowitz,F,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
10,0:00:52.23,Laura Ernst,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
11,0:01:01.40,Aubree Kolas,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
12,0:01:04.96,Amy Barnes,F,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
13,0:01:08.40,Hannah Bowlin,F,Unknown,2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
14,0:01:11.75,J Butler,F,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
15,0:01:15.72,Rebecca Middleton,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
16,0:01:21.40,Rhonda Samkoff,F,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
17,0:01:36.70,Muffy Roy,F,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
18,0:02:21.80,Joy Dean,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
