Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 5km,M,0:21:51.00,46,Eivind Dragsjo,NOR,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
3b Marathon,M,3:20:49.00,240,Paul-Erik Lillholm,NOR,10/08/2000,"Karlsruhe, Germany",
