Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1081,89,3b 100m,0:00:19.10,Heather Marriott,F,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
1082,89,3b 100m,0:00:19.40,Erika Randall,F,0,30/07/1999,?,IJA Database
1083,89,3b 100m,0:00:19.90,Hayley Fix,F,USA,30/07/1999,?,IJA Database
1084,89,3b 100m,0:00:19.10,Dorothy Finnigan,F,0,15/07/1998,?,IJA Database
1085,89,3b 100m,0:00:19.20,Christa Rypins,F,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
1086,89,3b 100m,0:00:19.70,KC Canter,F,0,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
1087,89,3b 100m,0:00:19.43,Logan Pearce,F,0,2022,?,IJA Database
1088,88,3b Marathon,3:44:09.00,James McDiarmid,M,GBR,28/09/2025,?,"https://lochnessmarathon.com/results/1/2025/?epage=1&sort=Position&text-search=Mcdiarmid&filter=
https://www.facebook.com/100057529806384/posts/pfbid0E2BiCPBHynW7Pjy9XXfdX9bYmw6q8MuAk38ujHqfapTSWuSLUhpNaMsS1WXwZjt3l/?app=fbl"
1089,88,3b 5km,0:21:02.00,Tim Ebersole,M,USA,25/11/2021,?,https://falconracetiming.com/racetimes/SMT%20Turkey%20Trot%20AG%202021.htm
1090,87,3b 800m,0:02:41.60,Kanoa Lindiwe,M,USA,11/07/2024,?,IJA Database
1091,87,3b 800m,0:02:41.50,Kyler McClintock,M,0,02/08/2014,?,IJA Database
1092,87,3b Mile,0:06:05.00,Keith Baker,M,0,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
1093,87,3b 5km,0:21:03.00,Keith Baker,M,0,13/08/1994,?,"https://dev.juggle.org/history/champs/champs1994.php, Billy Gillen Memorial 5km"
1094,87,3b 5km,0:29:31.90,Kay Caskey,F,0,24/07/1993,?,http://www.juggling.org/orgs/ija/champs.txt
1095,86,3b Half Marathon,1:41:40.00,Chris Edwin,M,GBR,10/07/2022,0,
1096,86,3b 5km,0:21:04.00,Scott Jenkins,M,GBR,04/12/2021,?,
1097,86,3b 5km,0:21:04.00,Tyler Wishau,M,USA,20/10/2018,0,https://www.facebook.com/profile/100064067107732/search/?q=joggling
1098,86,3b Mile,0:08:14.00,Mary Holgin,F,0,15/07/1998,?,IJA Database
1099,86,3b 1500m,0:05:39.20,Christoph Mitasch,M,AUT,2025,?,IJA Database
1100,85,3b Marathon,3:44:42.00,Ivan Schleppenbach,M,USA,18/05/2019,?,https://www.mtecresults.com/runner/show?race=8184&rid=1211
1101,85,3b Marathon,3:44:46.00,Perry Romanowski,M,USA,08/11/2015,?,
1102,85,3b 400m,0:01:34.30,Maggie Armstrong,F,0,21/07/2012,?,IJA Database
1103,85,3b 400m,0:01:34.00,Melinda Paas,F,CAN,30/07/1999,?,IJA Database
1104,85,3b 400m,0:01:34.10,Julia Snyder,F,0,15/07/1998,?,IJA Database
1105,85,3b 400m,0:01:34.10,Kelsey Deutch,F,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
1106,84,3b 5km,0:21:06.00,Kacper Suchora,M,POL,06/09/2025,?,https://www.parkrun.pl/mlynowkakrolewska/results/
1107,84,3b 5km,0:21:06.00,Scott Jenkins,M,GBR,06/04/2024,0,https://www.strava.com/activities/11120625198
1108,84,3b Mile,0:06:06.21,Mike Draney,M,0,28/07/2001,?,https://dev.juggle.org/history/champs/champs2001.php
1109,84,3b 5km,0:21:06.80,Christoph Mitasch,M,AUT,2023,?,IJA Database
1110,83,3b Marathon,3:45:13.00,Perry Romanowski,M,USA,07/10/2018,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
1111,83,3b 5km,0:21:07.00,Jordan Evans,M,GBR,09/09/2017,?,https://www.parkrun.org.uk/hadleigh/news/2017/09/13/hadleigh-parkrun-45-the-parkrun-juggler-or-should-we-call-him-the-parkrun-joggler/
1112,82,3b 400m,0:01:10.72,Finn Mertens,M,BEL,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
1113,82,3b 400m,0:01:10.53,Karel Schuller,M,NLD,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
1114,82,3b 400m,0:01:10.83,Nathan Nard,M,0,19/07/2025,?,IJA Database
1115,82,3b 400m,0:01:10.15,Sterling Franklin,M,USA,19/07/2025,?,IJA Database
1116,82,3b 400m,0:01:10.81,Dominic Lodge,M,GBR,13/07/2025,0,Witnessed and manually timed by Chris Edwin with stop watch
1117,82,3b Mile,0:08:16.00,Karly Swaim,F,USA,04/02/2024,0, Galloway Magic Mile (time trial for group training program)
1118,82,3b 5km,0:21:08.00,Jake Lodge,M,GBR,05/08/2023,1,https://www.strava.com/activities/9585611785
1119,82,3b 400m,0:01:10.10,Cole Dunbar,M,0,25/07/2015,?,IJA Database
1120,82,3b 400m,0:01:10.10,Nicolas Souren,M,0,21/07/2012,?,IJA Database
1121,82,5b 400m,0:01:10.50,Matthew Feldman,M,USA,09/08/2011,0,https://www.youtube.com/watch?v=cLH2TQC3KiQ  https://www.guinnessworldrecords.com/world-records/fastest-400-m-joggling-with-five-objects-male
1122,82,3b 400m,0:01:10.68,Ben Fry,M,0,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
1123,82,3b 400m,0:01:10.97,Chris Lovdal,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
1124,82,3b 400m,0:01:10.00,Trey Newsome,M,USA,13/07/2004,?,https://dev.juggle.org/history/champs/champs2004.php
1125,82,3b 400m,0:01:10.60,Andrew Swan,M,0,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
1126,82,3b 400m,0:01:10.00,Darren Samson,M,0,13/08/1994,?,https://dev.juggle.org/history/champs/champs1994.php
1127,82,3b 400m,0:01:10.50,Bill Giduz,M,USA,24/07/1993,?,http://www.juggling.org/orgs/ija/champs.txt
1128,82,3b 400m,0:01:10.90,Jim Steffens,M,0,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
1129,82,3b 400m,0:01:10.10,Samuel Dean,M,USA,2024,?,IJA Database
1130,81,3b 5km,0:21:09.00,James McDiarmid,M,GBR,15/07/2023,2,
1131,81,3b 5km,0:21:09.00,Larry Kluger,M,0,18/07/1981,?,https://dev.juggle.org/history/champs/champs1981.php
1132,80,3b 5km,0:21:10.00,Kacper Suchora,M,POL,11/10/2025,0,Finished First! https://www.parkrun.pl/mlynowkakrolewska/results/105/
1133,80,3b Mile,0:06:07.00,Tim Ebersole,M,USA,12/06/2024,?,https://strava.app.link/gAaPIIDQLLb
1134,80,3b 5km,0:21:10.00,Scott Jenkins,M,GBR,30/12/2023,0,https://www.strava.com/activities/10460699704
1135,80,3b Mile,0:06:07.00,Adam Griffin,M,0,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
1136,80,3b Mile,0:06:07.00,Troy Fitzgerald,M,0,24/07/1993,?,http://www.juggling.org/orgs/ija/champs.txt
