Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1,886,3b 100m,0:00:11.90,Owen Morse,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
2,886,3b 100m,0:00:11.68,Owen Morse,M,USA,1989,0,https://www.guinnessworldrecords.com/world-records/fastest-100m-joggling-with-three-objects-men
3,820,3b 5km,0:18:12.00,Gabrielle Foran,F,CAN,05/07/2015,?,https://sites.google.com/site/guelph5kjoggling/results
4,798,3b 5km,0:18:26.00,Gabrielle Foran,F,CAN,2016,?,https://sites.google.com/site/guelph5kjoggling/results
5,763,3b 10km,0:40:06.00,Gabrielle Foran,F,CAN,04/06/2016,?,http://www.recordholders.org/en/list/joggling.html
6,730,3b 5km,0:19:09.00,Gabrielle Foran,F,CAN,2018,?,https://sites.google.com/site/guelph5kjoggling/results
7,726,3b 5km,0:19:12.00,Gabrielle Foran,F,CAN,2017,?,https://sites.google.com/site/guelph5kjoggling/results
8,700,3b 5km,0:19:29.70,Gabrielle Foran,F,CAN,15/07/2017,?,"IJA Database, https://www.juggle.org/enewsletter/2017-07"
9,681,3b 10km,0:33:34.00,Henry Wellenstein,M,USA,05/11/2022,?,https://www.strava.com/activities/8074621672
10,678,3b Mile,0:04:36.80,Caleb Williams,M,USA,14/08/2023,?,"IJA Database, https://www.youtube.com/watch?v=ubG4stsEwPw"
11,671,3b Mile,0:05:40.00,Gabrielle Foran,F,CAN,30/07/2016,?,IJA Database
12,670,3b 1000m,0:02:41.67,Jannik Weiss,M,DEU,01/08/2018,0,https://www.youtube.com/watch?v=gI1bCx23-cc
13,649,3b Mile,0:04:39.00,Henry Wellenstein,M,USA,23/05/2022,0,https://www.strava.com/activities/7136444528
14,643,3b 10km,0:42:58.00,Trish Evans,F,USA,12/11/2011,?,http://www.recordholders.org/en/list/joggling.html
15,640,3b 5km,0:20:10.00,Trish Evans,F,USA,23/06/2012,?,https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
16,634,3b 100m,0:00:14.48,Hayley Fix,F,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
17,634,3b 100m,0:00:14.96,Lana Bolin,F,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
18,621,3b Half Marathon,1:35:03.00,Dana Giuglielmo,F,USA,16/11/2013,?,https://www.huffpost.com/entry/the-invention-of-joggling_b_6512928  https://www.albanyrunningexchange.org/results/search.php?ID=3667
19,620,3b Mile,0:04:42.00,Will Howard,M,USA,01/02/2003,?,http://www.atlantajugglers.org/aja-media/articles-by-our-members/86-joggling-world-record
20,615,3b 100m,0:00:12.74,Albert Lucas,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
21,615,3b 100m,0:00:12.72,Chris Essick,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
22,615,3b 100m,0:00:12.16,Albert Lucas,M,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
23,615,3b 100m,0:00:12.90,Albert Lucas,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
24,615,3b 100m,0:00:12.10,Owen Morse,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
25,615,3b 100m,0:00:12.00,Albert Lucas,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
26,615,3b 100m,0:00:12.12,Owen Morse,M,USA,18/07/1987,?,http://www.juggling.org/orgs/ija/champs.txt
27,615,3b 100m,0:00:12.03,Owen Morse,M,USA,26/07/1986,?,http://www.juggling.org/orgs/ija/champs.txt
28,615,3b 100m,0:00:12.67,Albert Lucas,M,USA,21/07/1984,?,http://www.juggling.org/orgs/ija/champs.txt
29,611,3b Mile,0:04:43.00,Zach Prescott,M,USA,08/05/2018,?,https://www.runnersworld.com/runners-stories/a20732918/joggler-sets-a-world-record-in-the-mile/
30,611,3b Mile,0:04:43.80,Kirk Swenson,M,USA,26/07/1986,1,http://www.juggling.org/orgs/ija/champs.txt http://www.juggling.org/jw/86/3/joggling.html
31,597,3b 10km,0:34:47.00,Michael-Lucien Bergeron,M,CAN,10/07/2022,?,IJA Database
32,597,3b 5km,0:20:40.00,Dana Giuglielmo,F,USA,06/04/2014,3,https://tomahawktiming.com/road-races/2014-season/46-codependency-5k-cooper-river/  https://medium.com/the-moorestown-sun/dana-guglielmo-breaks-guinness-world-record-for-joggling-8f1a107d5774
33,594,3b 5km,0:20:42.00,Gabrielle Foran,F,CAN,2019,?,https://sites.google.com/site/guelph5kjoggling/results
34,593,3b Half Marathon,1:16:47.34,Chris Edwin,M,GBR,16/11/2025,0,"World Record, and P1! https://watchtree.co.uk/wp-content/uploads/2025/11/provisional-resultshalf-marathon-2025-Google-Sheets.pdf https://www.strava.com/activities/16474995238"
35,588,3b 10km,0:34:55.00,Samuel Dean,M,USA,23/05/2026,0,"https://results.itsracetime.com/myresults.aspx?uid=17095-4507-2-426032
https://www.strava.com/activities/18622127956/overview
"
36,588,3b 400m,0:00:55.80,Eric Walter,M,USA,20/07/2013,?,IJA Database
37,586,3b Half Marathon,1:17:03.00,Chris Edwin,M,GBR,26/04/2026,0,https://www.fyldecoastrunners.com/uploads/5/2/4/9/52490083/festhalf26.pdf
38,583,3b Marathon,2:47:52.00,Benjamin Balbeur,M,BEL,06/04/2025,16,WR. https://www.instagram.com/p/DIJbAZ_Npul/ https://www.chronocompetition.com/wp-content/glive/g-live.html?f=../2025/NAMUR/BNM25.clax https://www.lavenir.net/regions/namur/2025/04/06/namur-benjamin-balbeur-boucler-son-marathon-en-jonglant-et-soffre-un-record-vers-la-fin-cetait-un-combat-3HVIO5AMONDO3M4YSKO2DORYG4/ https://www.sportograf.com/fr/event/13509/search/327
39,583,3b Half Marathon,1:17:09.00,Michael-Lucien Bergeron,M,CAN,21/10/2018,?,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
40,582,3b Half Marathon,1:17:11.00,Graydon Snider,M,CAN,21/10/2018,?,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
41,582,3b 800m,0:02:38.30,Gabrielle Foran,F,CAN,24/07/2018,?,IJA Database
42,581,3b 10km,0:35:01.83,Samuel Dean,M,USA,28/09/2025,0,"https://strava.app.link/Bnx8bwJ5DXb
https://runsignup.com/Race/Results/74716/IndividualResult/TkTT?resultSetId=577557#U50715666"
43,575,3b Mile,0:04:47.00,Samuel Dean,M,USA,14/02/2026,1,"https://www.movinshoesrc.com/_files/ugd/bed08b_edcfa7e6e17d48c4963243a19a51f131.pdf
https://www.strava.com/activities/17399323443/overview"
44,575,3b Mile,0:04:47.51,Kirk Swenson,M,USA,20/07/1985,?,http://www.juggling.org/orgs/ija/champs.txt
45,574,3b Mile,0:05:58.00,Emily Beaver,F,USA,15/05/2013,?,https://missouristatebears.com/news/2013/5/15/Emily_Beaver_Sets_World_Record_for_Joggling https://www.guinnessworldrecords.com/world-records/fastest-mile-joggling-with-three-objects-women
46,572,3b 10km,0:35:09.00,Samuel Dean,M,USA,14/03/2026,0,"https://www.bikesignup.com/Race/Results/38267/IndividualResult/Yctf?resultSetId=632716#U50715666
https://www.strava.com/activities/17720388890/overview"
47,569,3b 800m,0:02:39.70,Gabrielle Foran,F,CAN,25/07/2015,?,IJA Database
48,566,3b Mile,0:04:48.00,Samuel Dean,M,USA,31/07/2025,0,https://www.strava.com/activities/15303133543/overview
49,565,3b Half Marathon,1:17:45.47,Samuel Dean,M,USA,21/09/2025,0,"https://strava.app.link/7VEl0nT4DXb
https://www.givesignup.org/Race/Results/28060/IndividualResult/TMTN?resultSetId=576059#U50715666"
50,563,3b Half Marathon,1:17:49.00,Jean-Marc Doiron,M,CAN,08/09/2024,3,https://sportstats.one/results/142048/1214  https://www.strava.com/activities/12358680496
51,559,3b 1000m,0:03:29.10,Gabrielle Foran,F,CAN,29/06/2019,?,IJA Database
52,557,3b Marathon,2:49:56.00,Samuel Dean,M,USA,06/12/2025,14,"https://sportstats.one/event/st-jude-marathon-weekend/leaderboard/145472
https://www.strava.com/activities/16668884158/overview"
53,556,3b 800m,0:02:09.29,Jannik Weiss,M,DEU,26/05/2015,0,https://www.youtube.com/watch?v=-29JenoyYgg
54,554,3b Marathon,2:50:10.00,Samuel Dean,M,USA,09/11/2025,7,"https://results.raceroster.com/v3/events/4eek2t7xx2swa2nt/race/246734/participant/mq9r3keug9ypfuwp?filter_search=
https://www.strava.com/activities/16407254490/overview"
55,554,3b Marathon,2:50:12.00,Michal Kapral,M,CAN,30/09/2007,2,
56,552,3b 5km,0:16:34.00,Bob Evans,M,USA,23/06/2012,?,https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
57,550,3b Half Marathon,1:18:16.00,Samuel Dean,M,USA,18/10/2025,0,"https://strava.app.link/wfXgNYi4DXb
https://results.itsracetime.com/myresults.aspx?uid=17095-4485-3-393793"
58,544,3b 800m,0:02:41.90,Gabrielle Foran,F,CAN,02/08/2014,?,IJA Database
59,543,3b 10km,0:35:36.00,Michael-Lucien Bergeron,M,CAN,19/08/2018,?,https://athleticsillustrated.com/michael-lucien-bergerons-ballsy-joggling-nets-him-a-world-10k-record/    https://runningmagazine.ca/the-scene/canadian-runs-5000m-joggling-world-record-of-1650/
60,540,3b 400m,0:00:56.23,David Ferman,M,USA,05/05/2011,0,https://www.youtube.com/watch?v=YhcXu01bUzE
61,540,3b 400m,0:00:56.06,Franz Roos,M,CHE,11/09/1997,0,https://www.youtube.com/watch?v=igd6zcLXXAU
62,537,3b 10km,0:35:41.00,Bob Evans,M,USA,12/11/2011,?,http://1stplacesports.com/man11gradedres.htm
63,535,3b 800m,0:02:10.90,Caleb Williams,M,USA,2021,?,IJA Database
64,533,3b 10km,0:35:45.00,Mike Hebebrand,M,USA,1990,?,From Email exchange with Mike (April 2023)
65,532,3b 5km,0:16:42.00,Bob Evans,M,USA,04/03/2012,?,https://thejoggler.blogspot.com/2012/03/bob-evans-lowers-5k-joggling-record-to.html
66,530,3b Half Marathon,1:19:00.00,Michel Lauziere,M,CAN,1982,?,Email exchange
67,529,3b 10km,0:35:49.00,Chris Edwin,M,GBR,06/09/2025,0,https://strava.app.link/bkLuYnB4rWb
68,529,3b Marathon,2:52:15.00,Zach Warren,M,USA,19/11/2006,?,
69,524,3b Marathon,2:52:39.00,Jean-Marc Doiron,M,CAN,12/05/2024,?,https://results.raceroster.com/v2/en-CA/results/mgba2wayykp2qux2/results  https://www.instagram.com/p/C64QdY6uqnH/
70,523,3b 2 Miles,0:10:32.00,Samuel Dean,M,USA,13/06/2026,0,"https://results.performancetiming.com/myresults.aspx?uid=16541-897-2-406106
https://www.strava.com/activities/18905674915/overview"
71,518,3b 5km,0:16:48.38,Samuel Dean,M,USA,27/09/2025,0,"https://strava.app.link/ijb4vMs5DXb
https://runsignup.com/Race/Results/93655/IndividualResult/TDSF?resultSetId=577276#U50715666"
72,516,3b 5km,0:16:49.70,Michael-Lucien Bergeron,M,CAN,2020,?,IJA Database
73,515,3b 10km,0:36:02.00,Chris Edwin,M,GBR,2022,0,
74,514,3b Marathon,2:53:28.00,Michal Kapral,M,CAN,21/04/2007,4,
75,511,3b 5km,0:16:51.00,Bob Evans,M,USA,29/10/2011,?,https://www.prweb.com/releases/catchitearly/joggling-world-record/prweb8929941.htm
76,509,3b 5km,0:21:46.30,Trish Evans,F,USA,20/07/2011,?,IJA Database
77,508,3b Half Marathon,1:19:48.00,Samuel Dean,M,USA,04/07/2026,1,"https://runsignup.com/Race/Results/125778/IndividualResult/RRkPs?resultSetId=667510#U50715666
https://www.strava.com/activities/19177992898/overview"
78,508,3b 800m,0:02:44.40,Gabrielle Foran,F,CAN,30/07/2016,?,IJA Database
79,508,3b 800m,0:02:44.70,Trish Evans,F,USA,20/07/2011,?,IJA Database
80,501,3b 5km,0:16:55.80,Kirk Swenson,M,USA,26/07/1986,1,"http://www.juggling.org/orgs/ija/champs.txt  http://www.juggling.org/jw/86/3/joggling.html I reached out to Kirk on Linkedin. He thinks he ran 16:55.8, and the 16:58.8 is a typo."
81,499,3b 5km,0:16:56.00,John Baker,M,USA,28/07/2022,?,https://www.instagram.com/p/CgiOHBcBGU6/
82,497,3b 5km,0:16:57.00,Graydon Snider,M,CAN,18/08/2018,0,https://www.parkrun.ca/fredericback/news/2018/09/15/highlights-from-the-last-few-weeks/  https://www.parkrun.ca/fredericback/results/58/
83,497,3b 800m,0:02:45.80,Gabrielle Foran,F,CAN,15/07/2017,?,IJA Database
84,497,3b Mile,0:04:56.01,Kirk Swenson,M,USA,21/07/1984,?,http://www.juggling.org/orgs/ija/champs.txt
85,495,3b 10km,0:36:22.00,Samuel Dean,M,USA,29/09/2024,2,"https://www.strava.com/activities/12533116223
"
86,495,3b 800m,0:02:12.90,Eric Walter,M,USA,29/06/2019,?,IJA Database
87,494,3b 400m,0:00:57.66,Eric Walter,M,USA,20/07/2011,?,IJA Database
88,494,3b 400m,0:00:57.40,Owen Morse,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
89,491,3b Marathon,2:55:25.00,Michal Kapral,M,CAN,09/10/2016,0,https://chicago-history.r.mikatiming.com/2021/?pid=search
90,490,3b Half Marathon,1:20:27.00,Chris Edwin,M,GBR,08/05/2022,1,
91,490,3b 10km,0:36:27.00,Michal Kapral,M,CAN,10/09/2006,?,
92,488,3b Mile,0:04:57.01,Samuel Dean,M,USA,19/07/2025,?,IJA Database
93,488,3b 600m,0:02:00.40,Gabrielle Foran,F,CAN,29/06/2019,?,IJA Database
94,487,3b 5km,0:17:01.00,Michael-Lucien Bergeron,M,CAN,19/05/2018,?,https://www.sportstats.ca/display-results.xhtml?raceid=93319     https://www.facebook.com/664250217053533/posts/pfbid0219Yu1yTQzrGpqUzeYuti47oUfMr1RHohS3bhUrdxFH89RQh6iLr4qMkCR7Wacb9Rl/?app=fbl
95,486,3b 100m,0:00:15.90,Lana Bolin,F,USA,30/07/1999,?,IJA Database
96,486,3b 100m,0:00:15.90,Melinda Paas,F,CAN,30/07/1999,?,IJA Database
97,484,3b Half Marathon,1:20:40.00,Michal Kapral,M,CAN,19/10/2014,?,
98,483,3b Half Marathon,1:20:42.06,Samuel Dean,M,USA,14/06/2025,0,https://runsignup.com/Race/Results/40689/IndividualResult/hpLh?resultSetId=557311#U50715666
99,483,3b Half Marathon,1:20:42.00,Samuel Dean,M,USA,2025,?,IJA Database
100,480,3b Mile,0:04:58.00,Samuel Dean,M,USA,14/08/2023,?,https://www.strava.com/activities/9648987682
101,480,3b Half Marathon,1:20:50.00,Michael-Lucien Bergeron,M,CAN,11/05/2018,?,https://www.saltwire.com/nova-scotia/sports/video-bergeron-combines-running-and-juggling-243982/   https://results.raceroster.com/en-CA/results/detail/chxvfrgp4wa9fz63
102,480,3b 5km,0:17:04.00,Simon Hodge,M,CAN,29/08/2008,5,https://thejoggler.blogspot.com/2008/08/canadian-running-magazine-5k-joggle-off.html
103,480,3b Mile,0:06:17.00,Kathy Glynn,F,USA,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
104,478,3b 5km,0:17:05.00,Michal Kapral,M,CAN,29/08/2008,0,https://thejoggler.blogspot.com/2008/08/canadian-running-magazine-5k-joggle-off.html
105,478,3b 5km,0:17:05.00,Travis Saunders,M,CAN,29/04/2007,?,https://thejoggler.blogspot.com/2007/05/saunders-just-misses-5k-joggling-record.html
106,475,3b 800m,0:02:13.20,Eric Walter,M,USA,20/07/2011,?,IJA Database
107,473,3b 800m,0:02:47.40,Grace Boatman,F,0,20/07/2011,?,IJA Database
108,473,3b Marathon,2:57:02.00,Zach Warren,M,USA,21/04/2007,?,
109,471,3b 200m,0:00:31.87,Grace Boatman,F,0,20/07/2011,?,IJA Database
110,471,3b 200m,0:00:31.83,Trish Evans,F,USA,20/07/2011,?,IJA Database
111,471,3b 5km,0:17:08.00,Tyler Wishau,M,USA,2007,0,https://thejoggler.blogspot.com/2007/12/best-joggles-of-2007.html
112,469,3b 5km,0:17:09.00,Samuel Dean,M,USA,23/08/2025,0,"https://strava.app.link/8nrJUKS6rWb
https://runsignup.com/Race/Results/45009#resultSetId-569984;perpage:100"
113,469,3b 5km,0:17:09.00,Samuel Dean,M,USA,02/08/2025,0,https://www.parkrun.us/howardteminlakeshorepath/results/225/ 
114,466,3b 10km,0:36:50.00,Jean-Marc Doiron,M,CAN,06/10/2024,0,"https://strava.app.link/FFc2zVbFzOb
https://www.instagram.com/reel/DA4AOVQxmNo/?igsh=aTloNnlpa2Q2em1x
https://results.raceroster.com/v2/en-CA/results/ectbajxgxrmkxvdg/detail/g4fvecyjeb73eng9"
115,466,3b 10km,0:36:50.00,Michal Kapral,M,CAN,21/09/2008,?,https://thejoggler.blogspot.com/2008/09/joggling-longboat-10k-again.html
116,465,3b Marathon,2:57:44.00,Michal Kapral,M,CAN,24/09/2006,8,
117,462,3b 5km,0:17:12.00,Samuel Dean,M,USA,31/01/2026,0,"https://www.movinshoesrc.com/_files/ugd/bed08b_3fe2fce690a8440e8895999b43d20ce9.pdf
https://www.strava.com/activities/17242788321/overview"
118,461,3b Half Marathon,1:21:34.00,Michael-Lucien Bergeron,M,CAN,15/10/2017,6,https://runningmagazine.ca/sections/runs-races/michael-bergeron-2017-pei-half-marathon/     https://peiroadrunners.ca/results/2017/pei-marathon/13.1mi/
119,458,3b 400m,0:01:13.90,Gabrielle Foran,F,CAN,30/07/2016,?,IJA Database
120,458,3b 200m,0:00:26.81,Eric Walter,M,USA,20/07/2011,?,IJA Database
121,458,3b Marathon,2:58:23.00,Zach Warren,M,USA,17/04/2006,?,
122,458,3b 200m,0:00:26.50,Chris Essick,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
123,458,3b 200m,0:00:26.61,Albert Lucas,M,USA,27/05/2001,?,https://www.flashresults.com/2001_Meets/outdoor/pre/pre.htm
124,458,3b 200m,0:00:26.19,Chris Essick,M,USA,27/05/2001,?,https://www.flashresults.com/2001_Meets/outdoor/pre/pre.htm
125,458,3b 200m,0:00:26.78,Travis Saunders,M,CAN,27/05/2001,?,https://www.flashresults.com/2001_Meets/outdoor/pre/pre.htm
126,453,3b 5km,0:17:16.00,Michael-Lucien Bergeron,M,CAN,08/06/2019,?,https://www.sportstats.ca/display-results.xhtml?raceid=100727&status=results&lastname=Bergeron    https://www.facebook.com/664250217053533/posts/pfbid02AgUtA5gMLKM8xnTKednYBmKC4xshKLLrVbZs8PcD2xoLobwPAifzwaotF4kj43N2l/?app=fbl
127,448,3b 1500m,0:04:40.23,Samuel Dean,M,USA,11/07/2024,?,"IJA Database, Giduz 1500m"
128,448,3b Mile,0:05:02.31,Samuel Dean,M,USA,2024,?,IJA Database
129,446,3b 5km,0:17:19.00,Chris Edwin,M,GBR,23/08/2025,0,https://strava.app.link/OU8nQpYEaWb
130,445,3b Marathon,2:59:32.00,Michal Kapral,M,CAN,07/10/2012,?,https://www.nlaa.ca/results/rr/2012/20121007traplinemarathon.php
131,442,3b Half Marathon,1:22:18.00,Chris Edwin,M,GBR,16/07/2023,0,https://www.sportstimingsolutions.co.uk/rd.php?id=484
132,441,3b Half Marathon,1:22:19.00,Chris Edwin,M,GBR,19/03/2023,0,
133,440,3b Mile,0:05:03.50,Scott Jenkins,M,GBR,31/08/2025,0,https://www.strava.com/activities/15647865208
134,438,3b Marathon,3:00:06.00,Chris Edwin,M,GBR,15/10/2023,1,https://www.strava.com/activities/10042614562/
135,438,3b Marathon,3:00:06.00,Michael-Lucien Bergeron,M,CAN,15/10/2023,?,https://www.strava.com/activities/10044512008
136,437,3b 800m,0:02:15.50,Tristan Heinicke,M,USA,20/05/2024,1,https://www.strava.com/activities/11460278327
137,437,3b 800m,0:02:15.61,Michal Kapral,M,CAN,25/08/2013,0,https://www.youtube.com/watch?v=Odw5gytllio
138,435,3b 5km,0:17:24.00,Michael-Lucien Bergeron,M,CAN,27/05/2023,?,https://www.strava.com/activities/9152812476
139,434,3b Half Marathon,1:22:37.00,Samuel Dean,M,USA,19/10/2024,2,https://www.strava.com/activities/12694368106
140,434,3b 400m,0:01:14.80,Gabrielle Foran,F,CAN,24/07/2018,?,IJA Database
141,432,3b 5km,0:22:48.00,Summer Cooper,F,USA,21/07/2024,0,https://runsignup.com/Race/Results/21507/?resultSetId=473898#resultSetId-473898;perpage:100       https://x.com/TimYoder24/status/1815089986099986624?t=NH7L7hCXvvbrsSzivo68Yw&s=19
142,431,3b 5km,0:17:26.00,Samuel Dean,M,USA,05/10/2025,0,"https://strava.app.link/BMJ5th15DXb
"
143,429,3b 800m,0:02:51.00,Gabrielle Foran,F,CAN,20/07/2013,?,IJA Database
144,424,3b 2 Miles,0:10:59.80,Samuel Dean,M,USA,07/06/2025,0,https://results.performancetiming.com/myresults.aspx?uid=16541-826-2-365180
145,424,3b Half Marathon,1:22:59.00,Benjamin Balbeur,M,BEL,06/04/2025,?,"Split in the Namur marathon, https://www.instagram.com/p/DIJbAZ_Npul/ https://www.chronocompetition.com/wp-content/glive/g-live.html?f=../2025/NAMUR/BNM25.clax https://www.lavenir.net/regions/namur/2025/04/06/namur-benjamin-balbeur-boucler-son-marathon-en-jonglant-et-soffre-un-record-vers-la-fin-cetait-un-combat-3HVIO5AMONDO3M4YSKO2DORYG4/ https://www.sportograf.com/fr/event/13509/search/327"
146,418,3b 800m,0:02:16.34,Scott Jenkins,M,GBR,17/05/2026,0,https://youtu.be/D1KIrWOAHVk?si=NvL0KhhhqLO8HpO3
147,418,3b Marathon,3:01:57.00,Jean-Marc Doiron,M,CAN,19/10/2025,?,"https://sportstats.one/event/toronto-waterfront-marathon/leaderboard/144989
https://marathonphotos.live/Event/Sports%2FSTCA%2F2025%2FToronto%20Waterfront%20Marathon/2278"
148,417,3b Half Marathon,1:23:18.61,Scott Jenkins,M,GBR,16/11/2025,0,P4! https://watchtree.co.uk/wp-content/uploads/2025/11/provisional-resultshalf-marathon-2025-Google-Sheets.pdf https://www.strava.com/activities/16474703376
149,417,3b Mile,0:05:06.00,Charlie Freeman,M,USA,22/08/2020,1,https://www.tiktok.com/@cfreeman77/video/6863613020333985029
150,417,3b Mile,0:05:06.00,Banks Helfrich,M,0,20/07/1985,?,http://www.juggling.org/orgs/ija/champs.txt
151,417,3b Mile,0:05:06.95,Jim Piaskowy,M,0,21/07/1984,?,http://www.juggling.org/orgs/ija/champs.txt
152,414,3b Half Marathon,1:23:23.00,Samuel Dean,M,USA,09/08/2025,0,"https://strava.app.link/Tgzoq0r7rWb
https://runsignup.com/Race/Results/131236/IndividualResult/cLYC?resultSetId=570293#U50715666"
153,413,3b 10km,0:37:45.00,Jean-Marc Doiron,M,CAN,08/06/2024,?,https://results.raceroster.com/v2/en-US/results/c2fsjcbar2gm22u4/detail/jq6esmxk6peqs9hm
154,410,3b 400m,0:01:15.50,Gabrielle Foran,F,CAN,25/07/2015,?,IJA Database
155,408,3b 400m,0:00:59.00,Jannik Weiss,M,DEU,21/05/2022,?,https://www.youtube.com/watch?v=H0abml3gEIQ&t=16535s
156,407,3b 2 Miles,0:11:04.20,Samuel Dean,M,USA,08/06/2024,0,https://www.strava.com/activities/11604611750
157,407,3b 5km,0:17:37.00,Mike Hebebrand,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
158,404,3b Marathon,4:02:30.00,Sarah Szefi,F,USA,07/10/2018,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
159,404,3b Half Marathon,1:23:49.00,Michal Kapral,M,CAN,19/04/2009,2,http://thejoggler.blogspot.com/2009/04/half-marathon-joggling-record.html
160,399,3b 5km,0:17:41.00,Samuel Dean,M,USA,24/08/2024,0,https://www.strava.com/activities/12230983636/overview
161,399,3b 5km,0:17:41.00,Jean-Marc Doiron,M,CAN,14/07/2024,?,https://www.strava.com/activities/11887871076
162,399,3b 10km,0:38:01.90,Samuel Dean,M,USA,25/05/2024,1,https://www.strava.com/activities/11494825025  https://results.itsracetime.com/results.aspx?CId=17095&RId=4417&EId=2
163,399,3b 1000m,0:02:59.30,Samuel Dean,M,USA,2023,?,IJA Database
164,398,3b 1500m,0:04:46.50,Samuel Dean,M,USA,30/05/2025,0,Manually timed by Scott Jenkins. https://www.strava.com/activities/14646922597
165,398,3b 1500m,0:04:46.00,Samuel Dean,M,USA,2025,?,IJA Database
166,396,3b 5km,0:17:42.00,Graydon Snider,M,CAN,21/05/2016,?,https://www.sportstats.ca/display-results.xhtml?raceid=29483
167,394,3b 100m,0:00:13.57,Scott Jenkins,M,GBR,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
168,394,3b 100m,0:00:13.97,Stijn Westerbeek,M,NLD,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
169,394,3b 100m,0:00:13.88,Scott Jenkins,M,GBR,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
170,394,3b 100m,0:00:13.92,Dominic Lodge,M,GBR,09/08/2025,?,EJC results in Joggler's United Group
171,394,3b 100m,0:00:13.53,Mark Fiore,M,USA,09/08/2025,?,EJC results in Joggler's United Group
172,394,3b 10km,0:38:06.00,Chris Edwin,M,GBR,09/06/2024,0,https://www.strava.com/activities/11610045382
173,394,4b 100m,0:00:13.97,Mark Fiore,M,USA,22/07/2023,?,IJA Database
174,394,5b 100m,0:00:13.39,Matthew Feldman,M,USA,15/06/2018,0,https://www.youtube.com/watch?v=g18oD4SjaEs
175,394,3b 100m,0:00:13.39,Barry Goldmeier,M,USA,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
176,394,3b 100m,0:00:13.99,Christopher van Hoomissen,M,0,25/07/2015,?,IJA Database
177,394,3b 100m,0:00:13.85,Mark Fiore,M,USA,25/07/2015,?,IJA Database
178,394,3b 100m,0:00:13.16,Matan Presberg,M,USA,25/07/2015,?,IJA Database
179,394,3b 100m,0:00:13.57,Michael-Lucien Bergeron,M,CAN,25/07/2015,?,IJA Database
180,394,3b 100m,0:00:13.42,Mike Hout,M,USA,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
181,394,3b 100m,0:00:13.90,Jared Janssen,M,0,02/08/2014,?,IJA Database
182,394,3b 100m,0:00:13.90,Chris Lovdal,M,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
183,394,3b 100m,0:00:13.90,Tyler Wishau,M,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
184,394,3b 100m,0:00:13.91,David Ferman,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
185,394,3b 100m,0:00:13.22,Travis Saunders,M,CAN,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
186,394,3b 100m,0:00:13.90,David Hussey,M,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
187,394,3b 100m,0:00:13.10,Albert Lucas,M,USA,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
188,394,3b 100m,0:00:13.20,Albert Lucas,M,USA,13/08/1994,?,https://dev.juggle.org/history/champs/champs1994.php
189,394,3b 100m,0:00:13.75,Mike Hout,M,USA,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
190,394,3b 100m,0:00:13.20,Jeff Mason,M,USA,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
191,394,3b 100m,0:00:13.90,Tom Sparough,M,0,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
