Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,F,0:00:25.56,0,Veronika Rieckh,AUT,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b Mile,F,0:11:08.00,0,Romana Brosch,AUT,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3c Mile,F,0:16:09.00,0,Sophie Mrazek,AUT,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 5km,F,0:40:51.00,0,Romana Brosch,AUT,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
